Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,141.09,142.04,140.93,141.62,8455700,0.0,0
2019-02-06,141.05,141.51,140.15,140.59,6146900,0.0,0
2019-02-07,139.03,140.16,138.32,139.28,10675300,0.0,0
2019-02-08,137.81,139.5,137.64,139.49,5950700,0.0,0
2019-02-11,140.36,141.38,139.55,139.9,7600100,0.0,0
2019-02-12,140.89,141.89,140.35,141.08,6090000,0.0,0
2019-02-13,141.98,143.78,141.96,142.58,6885600,0.0,0
2019-02-14,142.32,142.81,141.74,142.5,6314000,0.25,0
2019-02-15,143.88,144.24,143.15,144.24,6536000,0.0,0
2019-02-19,143.75,144.21,143.35,143.77,8406700,0.0,0
2019-02-20,143.68,144.17,142.85,144.06,5283100,0.0,0
2019-02-21,143.68,144.36,142.52,143.33,8573400,0.0,0
2019-02-22,143.75,145.6,143.75,145.19,9680800,0.0,0
2019-02-25,146.23,146.52,145.13,145.38,9731200,0.0,0
2019-02-26,144.53,146.72,144.35,146.36,7332500,0.0,0
2019-02-27,145.82,146.81,145.24,146.54,9731200,0.0,0
2019-02-28,146.58,148.13,146.55,147.43,6250200,0.0,0
2019-03-01,148.77,149.23,147.69,148.78,7016800,0.0,0
2019-03-04,149.37,149.49,146.27,147.27,6979700,0.0,0
2019-03-05,147.31,148.6,147.14,147.26,9678600,0.0,0
2019-03-06,147.31,147.83,146.74,147.12,8186400,0.0,0
2019-03-07,146.58,147.12,145.36,146.15,8761700,0.0,0
2019-03-08,144.76,146.8,143.83,146.67,5168100,0.0,0
2019-03-11,147.42,150.27,147.33,149.97,9361500,0.0,0
2019-03-12,150.3,152.43,150.17,151.03,9465100,0.0,0
2019-03-13,151.59,153.33,151.33,151.76,8308900,0.0,0
2019-03-14,151.85,153.97,151.59,153.48,9364900,0.0,0
2019-03-15,153.01,156.09,152.65,154.74,20162000,0.0,0
2019-03-18,155.2,155.68,153.7,154.24,9689400,0.0,0
2019-03-19,155.23,155.23,153.42,153.87,9236100,0.0,0
2019-03-20,153.62,154.15,152.0,153.04,6391400,0.0,0
2019-03-21,152.61,155.95,152.6,155.08,7027100,0.0,0
2019-03-22,154.27,154.96,152.14,152.36,8119800,0.0,0
2019-03-25,151.65,153.34,150.84,152.32,7568000,0.0,0
2019-03-26,153.06,154.88,153.06,154.58,15594400,0.0,0
2019-03-27,154.75,155.14,152.65,153.5,12253800,0.0,0
2019-03-28,154.21,154.36,152.9,153.95,16902200,0.0,0
2019-03-29,155.01,155.56,154.21,155.47,12164400,0.0,0
2019-04-01,156.8,157.0,155.82,156.53,6420100,0.0,0
2019-04-02,156.93,157.42,156.02,157.05,6215100,0.0,0
2019-04-03,157.81,158.37,157.12,157.72,8211700,0.0,0
2019-04-04,157.79,157.95,155.8,156.91,5100200,0.0,0
2019-04-05,157.27,157.89,156.5,156.92,4178300,0.0,0
2019-04-08,156.82,157.12,155.59,157.02,5604700,0.0,0
2019-04-09,155.83,157.26,155.74,156.76,6364100,0.0,0
2019-04-10,157.26,158.04,156.79,157.82,3918600,0.0,0
2019-04-11,158.37,158.56,156.71,157.13,5771400,0.0,0
2019-04-12,157.97,158.9,157.13,158.9,6745100,0.0,0
2019-04-15,159.09,159.74,158.45,159.7,8142800,0.0,0
2019-04-16,160.29,160.35,158.81,159.49,6021400,0.0,0
2019-04-17,160.12,160.32,159.57,159.7,4609100,0.0,0
2019-04-18,160.18,160.35,158.26,159.42,7859400,0.0,0
2019-04-22,158.46,159.74,158.33,159.66,4602600,0.0,0
2019-04-23,160.25,161.13,159.13,160.91,6522900,0.0,0
2019-04-24,161.0,161.28,159.9,160.74,7376500,0.0,0
2019-04-25,159.77,160.85,157.81,160.27,8862500,0.0,0
2019-04-26,160.51,162.27,159.66,162.17,7525400,0.0,0
2019-04-29,162.45,163.74,162.34,163.39,10003600,0.0,0
2019-04-30,164.21,164.93,163.16,163.67,6432700,0.0,0
2019-05-01,164.77,164.97,161.99,162.03,5248100,0.0,0
2019-05-02,161.35,162.32,159.69,160.37,6054900,0.0,0
2019-05-03,161.55,161.98,160.43,161.29,4317500,0.0,0
2019-05-06,157.48,161.9,157.47,161.53,10442400,0.0,0
2019-05-07,160.2,161.03,157.94,159.47,6413600,0.0,0
2019-05-08,159.03,160.95,158.78,160.01,5445900,0.0,0
2019-05-09,158.12,159.11,156.44,159.07,6813700,0.0,0
2019-05-10,158.12,160.65,156.54,159.96,5192500,0.0,0
2019-05-13,156.46,157.98,155.69,156.6,9730000,0.0,0
2019-05-14,157.37,160.77,157.21,159.47,9756700,0.0,0
2019-05-15,158.58,162.4,158.36,162.03,7547000,0.0,0
2019-05-16,162.94,165.08,162.35,164.36,9745500,0.25,0
2019-05-17,162.78,164.69,162.69,163.58,4582500,0.0,0
2019-05-20,162.84,164.23,161.83,162.96,4747400,0.0,0
2019-05-21,164.07,164.35,162.68,163.35,9095700,0.0,0
2019-05-22,163.09,165.11,162.94,163.73,5416400,0.0,0
2019-05-23,162.99,163.74,160.32,161.01,6138000,0.0,0
2019-05-24,162.24,162.9,161.22,162.13,4105600,0.0,0
2019-05-28,162.89,165.25,162.82,163.2,10202300,0.0,0
2019-05-29,162.79,162.99,160.98,162.22,6456000,0.0,0
2019-05-30,162.29,162.99,161.44,162.25,4750600,0.0,0
2019-05-31,160.41,161.63,160.06,160.83,5079000,0.0,0
2019-06-03,161.04,162.32,156.26,158.11,8034600,0.0,0
2019-06-04,159.79,161.86,158.16,161.83,6684800,0.0,0
2019-06-05,162.99,164.89,162.18,164.88,7769300,0.0,0
2019-06-06,165.36,166.88,164.43,166.4,13738500,0.0,0
2019-06-07,167.48,171.08,167.28,169.52,10528800,0.0,0
2019-06-10,171.31,171.48,169.98,170.29,7565900,0.0,0
2019-06-11,171.42,171.64,167.9,169.78,6082900,0.0,0
2019-06-12,169.85,171.09,169.17,171.06,6756200,0.0,0
2019-06-13,171.6,171.66,168.2,168.82,6901400,0.0,0
