Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,7.6,7.64,7.53,7.63,6496700,0.0,0
2019-02-06,7.62,7.66,7.58,7.63,7738800,0.0,0
2019-02-07,7.62,7.71,7.6,7.71,18225100,0.0,0
2019-02-08,7.69,7.75,7.66,7.71,9183200,0.0,0
2019-02-11,7.72,7.86,7.7,7.84,9781000,0.0,0
2019-02-12,7.86,7.88,7.77,7.79,13426300,0.0,0
2019-02-13,7.78,7.81,7.7,7.72,7398400,0.0,0
2019-02-14,7.74,7.81,7.71,7.78,5170100,0.0,0
2019-02-15,7.79,7.8,7.75,7.78,3137800,0.0,0
2019-02-19,7.78,7.84,7.72,7.77,8435100,0.0,0
2019-02-20,7.76,7.76,7.66,7.68,7545500,0.0,0
2019-02-21,7.69,7.71,7.56,7.62,12143300,0.0,0
2019-02-22,7.67,7.72,7.59,7.63,9317900,0.0,0
2019-02-25,7.61,7.65,7.54,7.58,10377000,0.0,0
2019-02-26,7.6,7.61,7.48,7.5,7631300,0.0,0
2019-02-27,7.47,7.55,7.42,7.52,10279600,0.0,0
2019-02-28,7.49,7.63,7.46,7.5,6236100,0.0,0
2019-03-01,7.51,7.53,7.33,7.44,6690700,0.0,0
2019-03-04,7.45,7.52,7.4,7.52,8900700,0.0,0
2019-03-05,7.48,7.6,7.47,7.57,7574800,0.0,0
2019-03-06,7.56,7.58,7.49,7.5,7298200,0.0,0
2019-03-07,7.53,7.62,7.48,7.54,5677800,0.0,0
2019-03-08,7.48,7.6,7.46,7.59,8307400,0.0,0
2019-03-11,7.61,7.68,7.56,7.68,9489100,0.0,0
2019-03-12,7.7,7.78,7.7,7.76,6880700,0.0,0
2019-03-13,7.75,7.86,7.73,7.82,6186700,0.0,0
2019-03-14,7.83,7.84,7.77,7.78,9058700,0.0,0
2019-03-15,7.8,7.85,7.74,7.74,9947000,0.0,0
2019-03-18,7.77,7.82,7.65,7.69,7173900,0.0,0
2019-03-19,7.68,7.73,7.65,7.7,5713300,0.0,0
2019-03-20,7.71,7.78,7.59,7.69,11316200,0.0,0
2019-03-21,7.67,7.94,7.65,7.92,16527100,0.0,0
2019-03-22,7.9,7.98,7.87,7.93,9979700,0.0,0
2019-03-25,7.93,8.01,7.87,8.0,7763700,0.0,0
2019-03-26,8.01,8.04,7.97,8.0,6852700,0.0,0
2019-03-27,8.03,8.05,7.9,7.97,8844600,0.0,0
2019-03-28,8.01,8.06,7.95,8.06,6010400,0.138,0
2019-03-29,8.08,8.1,7.97,8.01,7753600,0.0,0
2019-04-01,8.01,8.05,7.89,8.03,8117100,0.0,0
2019-04-02,8.07,8.07,7.96,8.05,11423700,0.0,0
2019-04-03,8.05,8.07,7.91,7.96,13940500,0.0,0
2019-04-04,7.94,7.98,7.89,7.98,8454900,0.0,0
2019-04-05,8.0,8.0,7.92,7.96,7655700,0.0,0
2019-04-08,7.97,7.98,7.9,7.92,6242700,0.0,0
2019-04-09,7.92,7.92,7.81,7.81,7337700,0.0,0
2019-04-10,7.86,7.99,7.83,7.97,9773000,0.0,0
2019-04-11,7.98,8.01,7.91,7.97,4926200,0.0,0
2019-04-12,8.01,8.01,7.89,7.99,3654700,0.0,0
2019-04-15,7.99,8.01,7.93,7.97,6781500,0.0,0
2019-04-16,8.01,8.01,7.77,7.78,7578200,0.0,0
2019-04-17,7.8,7.83,7.58,7.65,9969900,0.0,0
2019-04-18,7.68,7.74,7.66,7.72,4548500,0.0,0
2019-04-22,7.71,7.72,7.61,7.67,8448300,0.0,0
2019-04-23,7.71,7.8,7.66,7.79,6031200,0.0,0
2019-04-24,7.84,7.93,7.81,7.85,4490500,0.0,0
2019-04-25,7.84,7.92,7.81,7.86,4833700,0.0,0
2019-04-26,7.9,7.98,7.86,7.94,3713800,0.0,0
2019-04-29,7.91,7.96,7.83,7.83,3544400,0.0,0
2019-04-30,7.85,7.92,7.79,7.9,4866100,0.0,0
2019-05-01,7.93,7.99,7.86,7.87,6054000,0.0,0
2019-05-02,7.87,7.99,7.87,7.95,7775800,0.0,0
2019-05-03,7.96,8.02,7.9,8.01,7277500,0.0,0
2019-05-06,7.92,8.02,7.9,7.99,5344400,0.0,0
2019-05-07,7.94,7.99,7.82,7.83,10198400,0.0,0
2019-05-08,7.84,7.96,7.84,7.88,5577500,0.0,0
2019-05-09,7.92,7.92,7.79,7.86,7919300,0.0,0
2019-05-10,7.87,8.04,7.87,8.03,5699300,0.0,0
2019-05-13,7.95,8.12,7.95,8.1,8261200,0.0,0
2019-05-14,8.09,8.17,8.07,8.14,7193300,0.0,0
2019-05-15,8.14,8.27,8.12,8.24,9717700,0.0,0
2019-05-16,8.23,8.33,8.22,8.29,5950000,0.0,0
2019-05-17,8.26,8.29,8.22,8.28,5994800,0.0,0
2019-05-20,8.28,8.28,8.07,8.12,7308200,0.0,0
2019-05-21,8.14,8.22,8.11,8.18,6007400,0.0,0
2019-05-22,8.16,8.26,8.14,8.24,3552300,0.0,0
2019-05-23,8.2,8.3,8.18,8.3,8575500,0.0,0
2019-05-24,8.32,8.37,8.27,8.27,5326400,0.0,0
2019-05-28,8.29,8.32,8.21,8.21,16412800,0.0,0
2019-05-29,8.22,8.23,8.09,8.14,13930100,0.0,0
2019-05-30,8.17,8.28,8.15,8.26,14115000,0.0,0
2019-05-31,8.23,8.49,8.23,8.49,19807400,0.0,0
2019-06-03,8.55,8.61,8.41,8.51,13546000,0.0,0
2019-06-04,8.51,8.51,8.29,8.38,11019000,0.0,0
2019-06-05,8.44,8.61,8.36,8.61,8147500,0.0,0
2019-06-06,8.54,8.66,8.5,8.63,12586600,0.0,0
2019-06-07,8.67,8.73,8.63,8.65,13285400,0.0,0
2019-06-10,8.65,8.67,8.55,8.64,15290900,0.0,0
2019-06-11,8.82,8.87,8.75,8.85,15415000,0.0,0
2019-06-12,8.88,8.98,8.85,8.97,8783000,0.0,0
2019-06-13,8.87,9.11,8.85,9.09,24896400,0.0,0
2019-06-14,9.09,9.22,9.05,9.11,15478300,0.0,0
2019-06-17,9.15,9.27,9.13,9.24,11896400,0.0,0
2019-06-18,9.28,9.3,9.14,9.16,10411400,0.0,0
2019-06-19,9.14,9.22,9.08,9.19,13900900,0.0,0
2019-06-20,9.27,9.28,9.19,9.22,8555100,0.0,0
2019-06-21,9.18,9.24,9.01,9.09,15558000,0.0,0
2019-06-24,9.13,9.13,8.95,9.0,12113700,0.0,0
2019-06-25,9.01,9.06,8.82,8.83,13425300,0.0,0
2019-06-26,8.85,8.85,8.51,8.55,18654400,0.0,0
2019-06-27,8.6,8.68,8.58,8.64,9459300,0.138,0
2019-06-28,8.64,8.8,8.63,8.75,15971900,0.0,0
2019-07-01,8.8,8.8,8.53,8.67,10397600,0.0,0
2019-07-02,8.69,8.8,8.66,8.79,9949400,0.0,0
2019-07-03,8.82,8.92,8.78,8.9,4654600,0.0,0
2019-07-05,8.82,8.94,8.7,8.9,5810600,0.0,0
2019-07-08,8.9,8.93,8.82,8.89,4758700,0.0,0
2019-07-09,8.87,8.95,8.82,8.87,6094200,0.0,0
2019-07-10,8.93,9.12,8.88,9.07,13140600,0.0,0
2019-07-11,9.11,9.13,8.86,8.91,11380400,0.0,0
2019-07-12,8.91,8.92,8.83,8.87,7930300,0.0,0
2019-07-15,8.89,8.96,8.85,8.92,8727700,0.0,0
2019-07-16,8.87,8.89,8.78,8.85,8386800,0.0,0
2019-07-17,8.88,8.94,8.72,8.82,10514900,0.0,0
