Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,33.31,33.93,31.93,33.89,46400,0.0,0
2019-02-06,33.96,34.25,33.23,34.12,53300,0.0,0
2019-02-07,33.89,34.12,33.09,33.49,25300,0.0,0
2019-02-08,33.37,33.87,33.15,33.87,17900,0.0,0
2019-02-11,34.06,34.06,33.44,33.56,22400,0.0,0
2019-02-12,33.73,33.8,33.39,33.47,19300,0.0,0
2019-02-13,33.55,34.1,33.42,34.1,20700,0.0,0
2019-02-14,33.93,34.69,33.93,34.2,17700,0.0,0
2019-02-15,34.31,34.44,33.76,33.92,28000,0.0,0
2019-02-19,33.92,34.33,33.66,34.23,19500,0.0,0
2019-02-20,34.34,34.68,34.2,34.35,13500,0.0,0
2019-02-21,34.34,34.34,33.83,33.94,20600,0.0,0
2019-02-22,33.97,34.28,33.79,34.01,21400,0.0,0
2019-02-25,34.1,34.11,33.55,33.95,21600,0.0,0
2019-02-26,33.94,33.97,33.37,33.68,15600,0.0,0
2019-02-27,33.35,33.7,32.91,33.41,40500,0.0,0
2019-02-28,33.43,33.52,33.3,33.51,14100,0.0,0
2019-03-01,33.96,34.09,33.6,33.86,15100,0.0,0
2019-03-04,33.86,33.86,33.34,33.36,13600,0.0,0
2019-03-05,33.52,34.05,33.24,33.8,28700,0.0,0
2019-03-06,33.5,34.17,33.47,34.12,10800,0.0,0
2019-03-07,33.62,34.04,33.09,33.24,9500,0.0,0
2019-03-08,32.8,32.97,32.7,32.96,8400,0.0,0
2019-03-11,32.92,33.38,32.9,33.36,12300,0.0,0
2019-03-12,33.6,33.71,33.25,33.56,14600,0.0,0
2019-03-13,33.76,33.83,32.91,33.05,25500,0.0,0
2019-03-14,33.44,33.91,32.87,33.7,20500,0.2,0
2019-03-15,34.03,34.55,33.27,33.43,83300,0.0,0
2019-03-18,33.55,33.8,32.82,32.9,36800,0.0,0
2019-03-19,32.98,33.33,32.39,32.51,25700,0.0,0
2019-03-20,32.04,32.09,30.73,31.08,48600,0.0,0
2019-03-21,31.07,31.15,30.6,30.97,33800,0.0,0
2019-03-22,30.87,30.9,30.17,30.46,29700,0.0,0
2019-03-25,31.52,32.69,31.52,32.28,44100,0.0,0
2019-03-26,32.6,34.96,32.6,34.63,58700,0.0,0
2019-03-27,34.49,34.55,31.94,32.1,123500,0.0,0
2019-03-28,32.19,32.58,32.08,32.52,37000,0.0,0
2019-03-29,32.78,32.78,31.96,32.04,87300,0.0,0
