Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,153.4,156.68,153.0,156.2,1125000,0,0
2019-02-06,156.2,157.34,154.47,157.02,1184100,0,0
2019-02-07,155.69,156.41,153.76,156.3,663800,0,0
2019-02-08,155.18,158.46,155.18,157.71,1077500,0,0
2019-02-11,158.41,160.56,156.91,158.97,1495000,0,0
2019-02-12,160.49,165.5,160.15,165.34,2266700,0,0
2019-02-13,165.42,167.65,163.33,167.03,1825500,0,0
2019-02-14,166.16,170.11,165.93,167.98,1366200,0,0
2019-02-15,168.29,169.7,167.12,169.68,1208700,0,0
2019-02-19,169.45,170.56,167.81,170.04,1223000,0,0
2019-02-20,169.85,171.12,168.85,170.76,1220100,0,0
2019-02-21,170.15,172.58,168.69,170.79,1237700,0,0
2019-02-22,171.5,173.45,170.43,173.38,1136300,0,0
2019-02-25,174.6,175.7,173.18,174.15,1218200,0,0
2019-02-26,173.84,176.06,171.93,175.12,2136700,0,0
2019-02-27,175.24,176.66,173.59,176.01,1359700,0,0
2019-02-28,175.07,175.7,171.26,171.81,2417600,0,0
2019-03-01,177.87,183.41,175.65,178.2,2909900,0,0
2019-03-04,177.5,178.04,167.62,172.32,2509700,0,0
2019-03-05,172.0,173.78,170.61,172.69,1064300,0,0
2019-03-06,165.83,170.31,165.43,170.12,1700100,0,0
2019-03-07,170.0,171.99,168.2,169.05,1210000,0,0
2019-03-08,166.25,169.62,166.0,169.13,1374500,0,0
2019-03-11,169.54,173.52,169.25,173.37,1369200,0,0
2019-03-12,173.77,176.09,172.5,175.13,1377600,0,0
2019-03-13,176.2,179.28,175.7,176.8,1450900,0,0
2019-03-14,176.33,179.86,176.0,179.26,1005800,0,0
2019-03-15,179.07,182.48,179.0,181.56,1786300,0,0
2019-03-18,181.71,183.9,180.81,182.67,1167800,0,0
2019-03-19,183.2,184.05,181.73,183.55,824900,0,0
2019-03-20,183.15,185.48,181.36,184.85,1184200,0,0
2019-03-21,184.43,188.51,184.43,188.24,740700,0,0
2019-03-22,187.4,187.75,183.15,183.7,956700,0,0
2019-03-25,182.38,182.99,179.35,180.34,1458100,0,0
2019-03-26,182.73,183.16,180.84,181.44,872700,0,0
2019-03-27,181.72,182.42,176.66,177.0,1521100,0,0
2019-03-28,178.46,178.96,176.76,178.0,1065700,0,0
2019-03-29,180.0,181.05,177.76,180.51,1238900,0,0
2019-04-01,182.62,184.5,180.75,184.29,1003400,0,0
2019-04-02,184.68,185.2,181.98,185.05,952500,0,0
2019-04-03,185.76,187.51,184.26,186.23,1150700,0,0
2019-04-04,185.28,185.77,179.01,181.39,1391500,0,0
2019-04-05,182.92,186.82,182.57,185.79,1420200,0,0
2019-04-08,185.0,186.98,183.57,186.52,1044200,0,0
2019-04-09,185.14,186.58,184.49,185.7,646800,0,0
2019-04-10,186.5,190.61,186.0,189.31,883400,0,0
2019-04-11,190.99,192.75,189.28,192.44,963100,0,0
2019-04-12,192.79,193.6,191.32,192.81,640200,0,0
2019-04-15,192.68,194.24,191.21,192.14,769000,0,0
