Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,25.04,25.12,24.63,24.7,2689400,0.0,0
2019-02-06,24.66,24.95,24.59,24.76,2268100,0.0,0
2019-02-07,24.75,25.11,24.67,25.03,2210100,0.0,0
2019-02-08,24.99,25.43,24.98,25.42,3836100,0.0,0
2019-02-11,25.49,25.65,25.38,25.59,2210800,0.0,0
2019-02-12,25.73,26.08,25.68,25.77,3827600,0.0,0
2019-02-13,25.75,26.03,25.5,25.61,3822500,0.0,0
2019-02-14,25.62,25.92,25.55,25.79,2292600,0.0,0
2019-02-15,25.91,26.03,25.72,25.99,3044200,0.0,0
2019-02-19,25.95,26.18,25.88,26.06,3671800,0.0,0
2019-02-20,26.03,26.25,25.91,26.11,3886400,0.0,0
2019-02-21,25.99,26.33,25.91,26.23,2699600,0.0,0
2019-02-22,26.24,26.48,26.19,26.36,2100600,0.0,0
2019-02-25,26.36,26.37,25.88,26.03,2567300,0.0,0
2019-02-26,26.08,26.08,25.64,25.76,4181600,0.0,0
2019-02-27,25.76,25.91,25.53,25.63,3589200,0.0,0
2019-02-28,25.47,25.98,25.11,25.53,4580200,0.0,0
2019-03-01,25.65,26.09,25.48,26.03,3233900,0.0,0
2019-03-04,26.15,26.22,24.54,24.93,7132300,0.0,0
2019-03-05,24.84,25.2,24.48,24.98,5089800,0.0,0
2019-03-06,24.93,25.03,24.63,24.73,4467900,0.0,0
2019-03-07,24.81,24.94,24.35,24.45,3579100,0.0,0
2019-03-08,24.27,24.64,24.08,24.63,3973000,0.0,0
2019-03-11,24.66,24.83,24.55,24.75,3277400,0.0,0
2019-03-12,24.82,25.41,24.65,25.37,4597900,0.0,0
2019-03-13,25.45,25.89,25.42,25.51,5225600,0.0,0
2019-03-14,25.48,25.48,25.12,25.17,2368000,0.125,0
2019-03-15,25.17,25.47,24.93,25.21,3760700,0.0,0
2019-03-18,25.2,25.4,25.14,25.4,2922700,0.0,0
2019-03-19,25.42,25.58,25.11,25.2,2720900,0.0,0
