Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,114.22,118.14,114.22,117.0,2948300,0,0
2019-02-06,117.13,120.29,116.71,119.65,1828200,0,0
2019-02-07,117.99,117.99,114.31,116.61,1484200,0,0
2019-02-08,116.06,121.47,115.94,120.42,2103300,0,0
2019-02-11,121.11,121.49,118.89,119.44,1760900,0,0
2019-02-12,120.81,121.47,119.83,120.92,2063900,0,0
2019-02-13,120.6,121.37,117.51,119.77,1945000,0,0
2019-02-14,118.54,121.35,116.71,120.08,1987200,0,0
2019-02-15,121.14,122.47,120.26,122.11,1594000,0,0
2019-02-19,121.78,124.24,120.11,120.13,2245600,0,0
2019-02-20,120.34,121.44,116.99,117.99,2792200,0,0
2019-02-21,117.82,118.98,115.67,117.28,2550700,0,0
2019-02-22,141.54,156.78,141.2,149.95,12382400,0,0
2019-02-25,151.3,162.74,151.3,160.28,7815700,0,0
2019-02-26,158.1,164.26,157.0,163.51,4241500,0,0
2019-02-27,162.01,165.72,161.48,163.85,3034300,0,0
2019-02-28,162.92,166.13,161.76,165.68,2085400,0,0
2019-03-01,167.5,170.99,164.43,169.83,2807100,0,0
2019-03-04,168.71,169.4,161.34,166.49,2873400,0,0
2019-03-05,165.73,169.8,165.04,166.23,2120700,0,0
2019-03-06,165.9,167.33,163.5,164.97,1524900,0,0
2019-03-07,164.59,165.9,161.04,163.27,1907600,0,0
2019-03-08,160.52,165.25,159.01,165.1,1464100,0,0
2019-03-11,165.8,171.85,164.5,170.17,2225900,0,0
2019-03-12,170.67,172.79,168.77,171.57,1632400,0,0
2019-03-13,172.0,172.05,167.54,168.72,2549100,0,0
2019-03-14,169.01,169.75,164.5,165.32,2670100,0,0
2019-03-15,164.31,166.52,163.38,166.01,2004200,0,0
2019-03-18,165.96,169.85,164.91,169.25,1713000,0,0
2019-03-19,170.22,170.8,167.85,168.32,1275200,0,0
2019-03-20,170.0,173.0,167.67,171.14,1372100,0,0
2019-03-21,172.31,173.72,169.88,171.37,1283300,0,0
2019-03-22,170.02,171.52,158.41,158.5,2719700,0,0
2019-03-25,157.27,164.02,156.63,161.55,2907300,0,0
2019-03-26,163.62,164.07,158.0,158.5,1644300,0,0
2019-03-27,158.81,159.05,149.2,150.32,3376800,0,0
2019-03-28,151.93,153.16,148.76,149.79,2331900,0,0
2019-03-29,150.12,153.15,148.2,148.45,1851700,0,0
2019-04-01,149.63,150.15,146.75,149.0,1776400,0,0
2019-04-02,149.1,151.66,148.75,149.39,1573600,0,0
2019-04-03,150.2,157.11,149.67,156.04,2053100,0,0
2019-04-04,156.08,157.38,151.2,155.03,1355900,0,0
2019-04-05,156.39,156.84,151.61,152.5,1190700,0,0
2019-04-08,151.35,152.35,148.27,149.92,1068000,0,0
2019-04-09,148.86,149.98,145.39,145.63,1229600,0,0
2019-04-10,146.28,149.77,145.16,146.94,1697700,0,0
2019-04-11,146.85,148.94,146.15,147.52,1448100,0,0
2019-04-12,149.0,149.82,144.63,147.23,1289600,0,0
2019-04-15,146.02,149.29,143.54,148.03,1448500,0,0
2019-04-16,149.06,150.74,146.76,149.53,984900,0,0
2019-04-17,150.0,150.18,144.52,145.75,1485200,0,0
2019-04-18,146.45,146.94,143.45,145.21,1284900,0,0
2019-04-22,144.26,148.48,143.63,147.86,1103500,0,0
2019-04-23,148.6,152.2,147.29,151.09,1162600,0,0
2019-04-24,151.72,153.18,151.02,152.05,1936600,0,0
2019-04-25,151.85,153.96,150.55,153.75,1214600,0,0
2019-04-26,154.52,154.69,152.94,154.49,3025700,0,0
2019-04-29,155.0,162.38,154.05,161.54,2530200,0,0
2019-04-30,160.47,163.97,158.73,162.15,2332700,0,0
2019-05-01,162.48,165.7,161.11,163.53,2384400,0,0
2019-05-02,147.61,156.51,143.7,151.96,6642400,0,0
2019-05-03,150.51,150.87,147.0,148.82,1860000,0,0
2019-05-06,144.6,152.7,144.56,151.82,1978000,0,0
2019-05-07,150.07,151.92,143.42,145.94,2074200,0,0
2019-05-08,145.75,149.9,144.92,148.87,1061500,0,0
2019-05-09,146.28,148.98,143.52,147.89,1212400,0,0
2019-05-10,144.69,147.77,139.2,145.27,1830500,0,0
2019-05-13,139.44,142.22,135.21,137.78,1697900,0,0
2019-05-14,139.5,141.98,138.23,141.8,1759400,0,0
2019-05-15,140.63,144.52,139.9,144.22,1025700,0,0
2019-05-16,144.87,149.78,144.52,148.26,913800,0,0
2019-05-17,148.0,151.3,146.16,150.4,1492700,0,0
2019-05-20,148.36,153.44,147.35,152.74,1317200,0,0
2019-05-21,154.09,154.73,151.35,152.28,1342900,0,0
2019-05-22,151.26,154.01,150.96,151.2,761800,0,0
2019-05-23,149.03,150.45,141.44,142.9,1136700,0,0
2019-05-24,145.0,146.35,141.35,143.2,1264700,0,0
2019-05-28,144.11,145.85,143.43,144.73,1025700,0,0
2019-05-29,143.23,144.19,138.05,141.56,1097800,0,0
2019-05-30,141.49,145.41,141.49,144.5,734500,0,0
2019-05-31,142.99,144.36,140.79,144.01,692800,0,0
2019-06-03,143.33,144.01,139.93,141.53,1277300,0,0
2019-06-04,142.4,144.87,138.87,144.82,1162800,0,0
2019-06-05,145.87,154.01,145.5,153.89,1485300,0,0
2019-06-06,154.46,156.86,149.7,153.29,1233700,0,0
2019-06-07,154.02,156.96,152.87,154.28,878200,0,0
2019-06-10,156.35,159.85,155.0,155.32,1021400,0,0
2019-06-11,157.22,160.35,155.6,157.3,954300,0,0
2019-06-12,157.3,159.65,155.73,158.91,742600,0,0
2019-06-13,160.35,163.4,160.35,161.71,1322400,0,0
2019-06-14,160.82,162.74,156.13,158.21,977500,0,0
2019-06-17,156.61,159.98,155.62,158.48,754100,0,0
2019-06-18,161.0,162.23,154.19,156.33,1489000,0,0
2019-06-19,156.94,162.75,153.91,162.47,1014600,0,0
2019-06-20,164.99,166.4,149.56,153.42,2465400,0,0
2019-06-21,153.24,155.63,152.27,153.77,1161100,0,0
2019-06-24,153.23,155.09,151.35,152.41,1341000,0,0
2019-06-25,153.3,153.3,143.48,144.4,1970000,0,0
2019-06-26,145.42,148.68,144.51,145.81,1125100,0,0
2019-06-27,146.85,148.11,144.35,147.65,1243400,0,0
2019-06-28,147.24,149.34,144.63,146.0,1260700,0,0
2019-07-01,149.75,149.91,143.0,143.1,1378700,0,0
2019-07-02,144.25,144.26,140.49,143.51,1328500,0,0
2019-07-03,143.55,143.95,141.18,142.95,800200,0,0
2019-07-05,142.0,146.15,141.46,145.15,1480300,0,0
2019-07-08,144.52,144.72,139.79,140.51,1185100,0,0
2019-07-09,140.37,147.77,140.37,147.31,1289700,0,0
2019-07-10,148.0,151.49,145.55,150.18,1559100,0,0
2019-07-11,150.05,153.1,149.76,150.18,1012900,0,0
2019-07-12,151.27,151.81,146.63,150.11,584700,0,0
2019-07-15,148.75,151.48,146.51,151.02,898100,0,0
2019-07-16,151.49,152.12,149.51,149.95,711800,0,0
2019-07-17,150.1,154.41,150.04,152.0,1163400,0,0
2019-07-18,149.71,150.48,138.15,143.1,3141600,0,0
2019-07-19,143.28,146.27,141.1,145.38,1910000,0,0
2019-07-22,146.0,146.98,141.58,145.0,921800,0,0
2019-07-23,146.87,147.38,141.94,144.82,1032600,0,0
2019-07-24,143.7,144.79,139.78,140.15,2283300,0,0
2019-07-25,140.0,141.64,134.11,134.59,2221000,0,0
2019-07-26,135.39,138.79,132.71,138.06,1799000,0,0
2019-07-29,138.11,138.52,132.02,134.0,1733200,0,0
2019-07-30,134.0,135.0,131.9,132.45,1598600,0,0
2019-07-31,133.13,135.37,128.08,131.16,2561000,0,0
2019-08-01,129.15,138.66,125.0,129.6,5399700,0,0
2019-08-02,127.72,128.0,123.16,127.34,2774700,0,0
2019-08-05,123.44,126.61,120.5,123.18,2629200,0,0
2019-08-06,124.33,126.6,119.57,122.59,2355100,0,0
2019-08-07,120.9,123.2,119.3,122.82,977900,0,0
2019-08-08,123.24,125.89,119.63,125.14,1990900,0,0
2019-08-09,124.22,125.99,123.0,124.91,1708400,0,0
2019-08-12,124.82,125.67,123.11,124.07,1939900,0,0
2019-08-13,124.51,125.47,121.81,125.0,1530500,0,0
2019-08-14,121.35,122.0,112.06,112.06,5132000,0,0
2019-08-15,110.3,110.7,106.04,107.34,4941200,0,0
2019-08-16,107.81,110.57,107.58,110.42,2883000,0,0
2019-08-19,112.25,112.72,108.4,112.06,2793400,0,0
2019-08-20,112.33,114.12,111.06,112.3,2116600,0,0
2019-08-21,113.84,115.75,112.58,115.09,1554800,0,0
2019-08-22,120.02,121.24,114.04,117.2,2652200,0,0
2019-08-23,115.44,115.57,108.65,110.17,1993600,0,0
2019-08-26,110.93,111.52,107.08,108.3,1688000,0,0
2019-08-27,109.6,113.08,107.73,108.23,1636600,0,0
2019-08-28,108.35,115.14,108.35,113.63,2049600,0,0
2019-08-29,114.0,117.0,113.19,113.92,1734800,0,0
2019-08-30,114.38,114.38,110.82,112.74,1604900,0,0
2019-09-03,114.0,114.0,108.01,109.28,2612300,0,0
2019-09-04,116.22,120.52,113.54,118.1,3063400,0,0
2019-09-05,118.19,120.49,117.48,119.6,1848300,0,0
2019-09-06,120.01,120.01,115.73,116.8,1236100,0,0
2019-09-09,117.6,125.5,117.6,124.0,2688600,0,0
