Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,71.0,72.31,70.96,72.21,1014500,0.0,0
2019-02-06,72.03,72.54,71.63,72.22,747900,0.0,0
2019-02-07,71.99,72.95,71.38,72.93,724700,0.12,0
2019-02-08,72.41,73.11,71.26,73.05,991400,0.0,0
2019-02-11,73.75,73.95,73.0,73.51,686500,0.0,0
2019-02-12,74.09,74.54,70.08,70.22,1610300,0.0,0
2019-02-13,70.49,73.1,70.49,73.02,1290200,0.0,0
2019-02-14,72.82,73.12,71.35,71.71,1013500,0.0,0
2019-02-15,71.95,74.64,71.95,74.56,1029600,0.0,0
2019-02-19,74.09,75.38,73.9,74.21,1043600,0.0,0
2019-02-20,74.6,75.38,73.64,74.72,843900,0.0,0
2019-02-21,74.46,74.95,72.75,73.23,1271600,0.0,0
2019-02-22,72.38,73.77,71.91,73.01,1805100,0.0,0
2019-02-25,73.1,80.08,73.1,77.69,4839400,0.0,0
2019-02-26,75.97,77.2,72.85,73.61,27636600,0.0,0
2019-02-27,73.12,75.85,71.88,74.94,5232900,0.0,0
2019-02-28,74.89,74.89,70.85,72.91,4279700,0.0,0
2019-03-01,72.41,73.76,70.82,72.07,3778800,0.0,0
2019-03-04,71.66,73.63,71.66,73.29,2354500,0.0,0
2019-03-05,72.69,73.1,71.91,72.7,2548000,0.0,0
2019-03-06,72.17,72.31,68.28,68.68,3602000,0.0,0
2019-03-07,68.46,69.41,67.76,69.4,2003800,0.0,0
2019-03-08,68.57,69.93,68.04,69.79,2321300,0.0,0
2019-03-11,69.37,71.0,69.22,70.77,1972700,0.0,0
2019-03-12,70.76,71.98,70.42,71.45,1935600,0.0,0
2019-03-13,71.45,72.33,71.26,72.12,2533800,0.0,0
2019-03-14,71.81,72.36,71.66,71.91,1803800,0.0,0
2019-03-15,71.7,72.46,70.66,70.78,2060200,0.0,0
2019-03-18,70.99,72.0,70.69,71.76,1398000,0.0,0
2019-03-19,72.14,72.44,71.64,71.99,2122000,0.0,0
2019-03-20,71.45,72.66,70.66,72.13,3080900,0.0,0
2019-03-21,71.95,74.15,71.66,73.52,2107300,0.0,0
2019-03-22,73.01,73.45,69.3,69.72,2942100,0.0,0
2019-03-25,69.67,70.36,68.98,69.69,1460600,0.0,0
2019-03-26,70.26,71.98,69.92,71.84,1657600,0.0,0
2019-03-27,72.0,72.76,71.4,71.65,1626900,0.0,0
2019-03-28,71.33,72.67,71.08,72.6,2015500,0.0,0
2019-03-29,72.85,74.07,71.71,73.37,2523600,0.0,0
2019-04-01,73.78,74.41,73.07,74.31,1876500,0.0,0
2019-04-02,74.24,75.06,73.84,74.4,1028200,0.0,0
2019-04-03,74.7,75.13,73.83,74.62,1181900,0.0,0
2019-04-04,74.71,75.73,74.44,75.72,1133100,0.0,0
2019-04-05,76.04,76.43,75.68,75.88,1050200,0.0,0
2019-04-08,75.64,75.74,74.69,75.06,1138700,0.0,0
2019-04-09,74.48,74.55,73.5,73.6,972000,0.0,0
2019-04-10,73.65,74.17,73.13,74.0,840500,0.0,0
2019-04-11,74.0,74.62,73.47,74.59,906200,0.0,0
2019-04-12,75.29,76.65,75.12,76.41,1144900,0.0,0
2019-04-15,76.25,76.46,74.79,75.29,883000,0.0,0
2019-04-16,75.42,76.62,75.16,76.6,1042000,0.0,0
2019-04-17,76.8,77.46,76.32,76.69,1563300,0.0,0
2019-04-18,77.1,77.98,76.67,77.56,1436900,0.0,0
2019-04-22,77.13,77.27,76.01,76.13,929600,0.0,0
2019-04-23,76.25,76.56,75.84,76.37,974800,0.0,0
2019-04-24,75.83,76.94,75.08,76.21,1167100,0.0,0
