Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,69.2,69.54,68.66,69.13,7128600,0.0,0
2019-02-06,68.83,69.52,68.71,69.29,4336400,0.0,0
2019-02-07,68.98,69.19,68.23,69.02,4631200,0.0,0
2019-02-08,68.64,68.73,67.4,67.98,4139400,0.0,0
2019-02-11,68.1,68.38,67.89,68.32,3482300,0.0,0
2019-02-12,68.98,69.78,68.54,69.37,3980000,0.0,0
2019-02-13,69.65,70.49,69.56,70.22,3856900,0.0,0
2019-02-14,69.91,70.66,69.53,70.33,3855100,0.44,0
2019-02-15,71.11,72.01,70.87,71.62,4670400,0.0,0
2019-02-19,71.68,73.09,71.59,72.6,6374600,0.0,0
2019-02-20,71.18,71.45,69.78,70.03,7882400,0.0,0
2019-02-21,69.86,69.93,68.53,68.73,4482200,0.0,0
2019-02-22,68.69,68.86,68.1,68.69,4928700,0.0,0
2019-02-25,69.18,69.89,69.0,69.55,4308200,0.0,0
2019-02-26,69.75,69.95,69.13,69.72,3498700,0.0,0
2019-02-27,69.34,69.83,69.14,69.61,3959900,0.0,0
2019-02-28,69.65,70.11,69.22,69.44,7775000,0.0,0
2019-03-01,69.1,69.43,64.45,64.97,10298900,0.0,0
2019-03-04,65.31,65.35,62.71,63.14,10870500,0.0,0
2019-03-05,63.26,63.45,61.42,61.84,11956100,0.0,0
2019-03-06,61.95,62.18,59.39,59.59,15392500,0.0,0
2019-03-07,59.47,59.65,58.1,58.32,9695800,0.0,0
2019-03-08,58.39,59.32,57.87,58.42,9909500,0.0,0
2019-03-11,58.71,59.58,58.37,59.18,5638000,0.0,0
2019-03-12,59.47,59.72,59.18,59.5,5638400,0.0,0
2019-03-13,59.89,60.44,59.52,60.37,5720000,0.0,0
2019-03-14,60.5,60.83,59.96,60.3,5792300,0.0,0
2019-03-15,60.43,61.15,60.19,61.09,9773500,0.0,0
2019-03-18,61.16,61.54,60.77,61.53,5296800,0.0,0
2019-03-19,61.89,62.6,61.73,62.2,5880900,0.0,0
2019-03-20,62.06,62.22,60.98,61.24,5171700,0.0,0
2019-03-21,61.15,62.24,60.9,62.03,3795200,0.0,0
2019-03-22,62.06,62.36,60.85,60.87,4855400,0.0,0
2019-03-25,60.79,60.86,59.84,60.17,4567200,0.0,0
2019-03-26,60.34,61.22,60.1,60.39,5582400,0.0,0
2019-03-27,60.18,60.77,59.63,60.7,5180900,0.0,0
2019-03-28,60.8,61.89,60.75,60.97,5768300,0.0,0
2019-03-29,61.2,62.19,61.1,61.71,4993100,0.0,0
2019-04-01,61.98,62.53,61.58,61.93,6328600,0.0,0
2019-04-02,54.46,55.05,53.64,54.0,36877800,0.0,0
2019-04-03,54.17,54.33,53.14,53.49,17901900,0.0,0
2019-04-04,53.46,53.64,52.52,52.82,14150500,0.0,0
2019-04-05,53.02,53.86,52.96,53.34,10509500,0.0,0
2019-04-08,53.37,54.03,53.16,53.7,7121000,0.0,0
2019-04-09,53.43,53.67,53.02,53.16,8987700,0.0,0
2019-04-10,53.17,53.38,53.02,53.17,5483200,0.0,0
2019-04-11,53.24,53.45,52.01,52.12,8194100,0.0,0
2019-04-12,52.45,52.67,52.08,52.13,7298800,0.0,0
2019-04-15,52.25,53.12,52.25,52.9,5963500,0.0,0
2019-04-16,53.23,53.61,52.64,53.49,7912100,0.0,0
2019-04-17,53.64,53.89,52.75,53.78,10103100,0.0,0
2019-04-18,53.86,54.02,53.23,53.28,7991300,0.0,0
2019-04-22,53.24,53.57,52.75,52.77,5445800,0.0,0
2019-04-23,52.97,53.01,51.86,51.91,8327000,0.0,0
2019-04-24,51.88,52.66,51.88,52.15,5997200,0.0,0
2019-04-25,52.03,52.1,51.34,51.38,6641200,0.0,0
2019-04-26,51.42,51.65,50.96,51.55,7253700,0.0,0
2019-04-29,51.62,52.39,51.48,52.24,5095200,0.0,0
2019-04-30,52.35,52.54,51.73,52.25,8175400,0.0,0
2019-05-01,52.25,52.77,52.18,52.36,5954200,0.0,0
2019-05-02,52.48,52.57,51.67,52.46,5301800,0.0,0
2019-05-03,52.84,52.99,52.51,52.75,5517000,0.0,0
2019-05-06,52.4,52.77,51.83,52.59,5520900,0.0,0
2019-05-07,52.18,52.54,51.37,51.64,6446200,0.0,0
2019-05-08,51.65,52.52,51.1,52.18,5347400,0.0,0
2019-05-09,51.93,52.48,51.37,52.24,4661200,0.0,0
2019-05-10,52.16,52.28,51.23,52.1,5039100,0.0,0
2019-05-13,51.64,51.78,50.68,50.84,5670200,0.0,0
2019-05-14,50.94,51.78,50.77,51.28,5458500,0.0,0
2019-05-15,50.94,51.65,50.51,51.44,4570200,0.0,0
2019-05-16,51.69,52.12,51.02,51.21,4722300,0.0,0
2019-05-17,51.37,51.97,51.08,51.41,4812300,0.44,0
2019-05-20,51.18,51.86,51.02,51.4,4641700,0.0,0
2019-05-21,51.54,51.98,51.31,51.89,4267700,0.0,0
2019-05-22,51.9,52.14,51.53,52.07,3372200,0.0,0
2019-05-23,51.63,51.64,50.52,50.76,5041400,0.0,0
2019-05-24,50.93,50.99,50.32,50.92,4296000,0.0,0
2019-05-28,50.99,51.42,50.78,50.87,6457800,0.0,0
2019-05-29,50.72,50.75,49.96,50.29,4208800,0.0,0
2019-05-30,50.39,50.45,49.38,49.72,3844400,0.0,0
2019-05-31,49.47,49.48,48.5,48.53,6568200,0.0,0
2019-06-03,48.71,49.82,48.71,49.09,6024200,0.0,0
2019-06-04,49.67,50.78,49.52,50.66,5978000,0.0,0
2019-06-05,50.98,51.02,49.67,49.97,4507500,0.0,0
2019-06-06,50.08,50.32,49.55,50.14,3418200,0.0,0
2019-06-07,50.4,51.25,49.97,51.12,4217700,0.0,0
2019-06-10,51.25,51.83,51.02,51.43,3673800,0.0,0
