Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,53.87,53.95,53.17,53.78,469200,0.0,0
2019-02-06,53.46,54.01,53.25,53.41,330700,0.0,0
2019-02-07,54.33,55.06,53.48,54.07,537500,0.0,0
2019-02-08,53.96,54.25,53.09,53.74,631900,0.0,0
2019-02-11,53.58,54.17,53.07,53.14,654900,0.33,0
2019-02-12,53.5,54.17,53.37,53.81,309800,0.0,0
2019-02-13,54.06,54.39,53.59,53.85,322700,0.0,0
2019-02-14,53.2,53.68,52.91,53.39,399000,0.0,0
2019-02-15,53.93,54.67,53.81,54.57,250000,0.0,0
2019-02-19,54.13,55.65,54.13,55.21,398200,0.0,0
2019-02-20,55.32,55.75,55.08,55.64,422400,0.0,0
2019-02-21,55.62,55.71,54.88,55.11,299700,0.0,0
2019-02-22,55.01,55.51,54.92,55.4,348800,0.0,0
2019-02-25,55.74,56.15,55.04,55.15,309900,0.0,0
2019-02-26,54.83,55.52,54.75,54.93,398300,0.0,0
2019-02-27,55.02,56.27,55.02,56.07,583200,0.0,0
2019-02-28,55.97,56.38,55.85,56.06,698900,0.0,0
2019-03-01,56.44,56.87,55.85,56.66,407500,0.0,0
2019-03-04,56.68,56.81,55.8,56.22,532600,0.0,0
2019-03-05,56.09,56.39,55.39,56.19,363700,0.0,0
2019-03-06,56.02,56.11,54.87,55.02,411900,0.0,0
2019-03-07,54.65,54.78,53.65,53.92,352800,0.0,0
2019-03-08,53.45,54.08,53.39,53.78,371800,0.0,0
2019-03-11,53.89,54.33,53.58,54.28,255500,0.0,0
2019-03-12,54.33,54.56,53.73,54.12,339100,0.0,0
2019-03-13,54.41,54.46,53.85,54.21,502200,0.0,0
2019-03-14,54.2,54.49,54.01,54.33,290500,0.0,0
2019-03-15,54.23,54.6,53.82,53.9,641800,0.0,0
2019-03-18,54.14,55.21,54.14,55.18,431000,0.0,0
2019-03-19,55.31,55.37,53.57,53.67,357200,0.0,0
2019-03-20,52.66,53.84,51.3,51.45,803500,0.0,0
2019-03-21,50.94,51.41,50.45,50.71,560500,0.0,0
2019-03-22,49.95,50.23,47.52,47.66,1037300,0.0,0
2019-03-25,47.71,49.28,47.31,48.02,493900,0.0,0
2019-03-26,48.54,49.28,48.15,49.25,603800,0.0,0
2019-03-27,48.87,49.38,48.48,49.05,393500,0.0,0
2019-03-28,49.22,49.96,48.78,49.69,334800,0.0,0
2019-03-29,50.18,50.41,49.3,49.47,322900,0.0,0
2019-04-01,49.74,51.54,49.74,51.44,603300,0.0,0
2019-04-02,51.15,52.05,50.94,51.55,559500,0.0,0
2019-04-03,52.19,52.47,51.38,51.51,403400,0.0,0
2019-04-04,51.45,52.42,51.18,52.41,459100,0.0,0
2019-04-05,52.42,52.73,52.0,52.52,341400,0.0,0
2019-04-08,52.43,52.84,52.22,52.4,256700,0.0,0
2019-04-09,52.06,52.29,51.34,51.68,325100,0.0,0
2019-04-10,51.67,52.38,50.85,52.32,324500,0.0,0
2019-04-11,52.68,53.02,51.95,52.4,280000,0.0,0
2019-04-12,53.22,53.63,52.37,53.55,456200,0.0,0
2019-04-15,53.66,53.78,52.25,52.45,295400,0.0,0
2019-04-16,52.6,53.45,51.97,53.43,443200,0.0,0
2019-04-17,53.59,53.59,51.69,51.81,1388700,0.0,0
2019-04-18,51.64,51.81,49.1,50.44,1035700,0.0,0
2019-04-22,50.47,51.24,50.05,50.38,711600,0.0,0
2019-04-23,50.66,52.04,50.33,51.98,612900,0.0,0
2019-04-24,51.74,52.15,51.21,51.86,303500,0.0,0
2019-04-25,51.55,51.68,50.58,50.7,485800,0.0,0
2019-04-26,50.63,51.69,50.44,51.6,389200,0.0,0
2019-04-29,51.89,53.02,51.89,52.65,353400,0.0,0
2019-04-30,52.73,52.73,51.67,51.88,403500,0.0,0
2019-05-01,51.96,52.47,50.86,51.09,499100,0.0,0
2019-05-02,51.3,52.26,50.92,51.82,339400,0.0,0
2019-05-03,52.15,52.85,51.96,52.72,287400,0.4,0
2019-05-06,51.62,53.05,51.62,52.6,430500,0.0,0
2019-05-07,52.14,52.41,51.35,51.61,303200,0.0,0
2019-05-08,51.39,51.86,50.82,50.83,317600,0.0,0
2019-05-09,50.25,50.87,49.86,50.67,257400,0.0,0
2019-05-10,50.76,51.07,49.97,50.99,395100,0.0,0
2019-05-13,49.95,50.22,48.6,48.78,402700,0.0,0
2019-05-14,48.99,49.51,48.78,49.07,362600,0.0,0
2019-05-15,48.53,48.53,47.68,48.2,553700,0.0,0
2019-05-16,48.66,49.36,48.51,48.89,556100,0.0,0
2019-05-17,48.42,49.02,48.16,48.28,341100,0.0,0
2019-05-20,47.98,48.79,47.98,48.57,625600,0.0,0
2019-05-21,48.74,49.18,48.74,49.02,404500,0.0,0
2019-05-22,48.81,48.92,47.94,48.0,389400,0.0,0
2019-05-23,47.49,47.71,45.78,46.25,877600,0.0,0
2019-05-24,46.4,47.23,46.4,46.98,838100,0.0,0
2019-05-28,46.91,47.08,45.86,45.89,607100,0.0,0
2019-05-29,45.33,45.87,45.03,45.61,1716700,0.0,0
2019-05-30,45.6,46.0,44.84,45.17,623600,0.0,0
2019-05-31,44.27,44.44,43.24,43.56,683000,0.0,0
2019-06-03,43.55,45.13,43.51,44.78,861600,0.0,0
2019-06-04,45.46,46.93,45.35,46.86,559200,0.0,0
2019-06-05,46.74,47.12,46.03,47.0,702900,0.0,0
2019-06-06,46.87,47.17,46.35,46.83,523100,0.0,0
2019-06-07,46.57,46.68,45.86,45.86,372100,0.0,0
2019-06-10,46.18,46.71,45.76,45.83,361200,0.0,0
2019-06-11,46.14,46.32,45.11,45.29,714300,0.0,0
2019-06-12,45.33,45.55,44.84,45.11,641600,0.0,0
2019-06-13,45.33,45.74,45.24,45.51,478200,0.0,0
2019-06-14,45.5,45.91,44.98,45.73,454900,0.0,0
2019-06-17,45.68,45.81,45.06,45.19,392000,0.0,0
2019-06-18,45.24,46.3,45.11,45.94,400700,0.0,0
2019-06-19,46.1,46.59,45.47,45.56,429500,0.0,0
