Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,14.39,14.74,14.39,14.56,813100,0,0
2019-02-06,14.53,14.77,14.45,14.7,919800,0,0
2019-02-07,14.56,14.65,14.35,14.49,817500,0,0
2019-02-08,14.45,14.74,14.37,14.71,1214600,0,0
2019-02-11,14.67,14.95,14.25,14.44,1986100,0,0
2019-02-12,14.52,15.09,14.52,14.95,1534300,0,0
2019-02-13,14.98,15.06,14.74,14.81,1345500,0,0
2019-02-14,14.76,15.05,14.74,14.99,1903100,0,0
2019-02-15,15.12,15.38,14.94,15.23,4416100,0,0
2019-02-19,14.93,16.33,14.85,15.85,2489300,0,0
2019-02-20,15.75,16.09,15.56,16.07,2271900,0,0
2019-02-21,16.0,16.36,15.32,15.85,2911500,0,0
2019-02-22,15.93,16.24,15.84,15.98,1649000,0,0
2019-02-25,16.25,16.38,15.89,15.9,1051300,0,0
2019-02-26,15.85,16.22,15.71,16.05,1477600,0,0
2019-02-27,16.0,16.29,15.72,15.93,2027200,0,0
2019-02-28,15.95,16.08,15.88,15.97,2552200,0,0
2019-03-01,16.1,16.17,15.81,15.96,1220400,0,0
2019-03-04,16.01,16.08,15.7,15.95,1690400,0,0
2019-03-05,15.95,16.03,15.79,15.86,969200,0,0
2019-03-06,15.84,15.9,15.62,15.62,1545800,0,0
2019-03-07,15.6,15.63,15.26,15.45,1175900,0,0
2019-03-08,15.27,15.4,15.13,15.34,730500,0,0
2019-03-11,15.37,15.48,15.23,15.4,1480400,0,0
2019-03-12,15.42,15.49,15.19,15.44,869500,0,0
2019-03-13,15.48,15.59,15.42,15.45,1135300,0,0
2019-03-14,15.45,15.61,15.35,15.53,1260400,0,0
2019-03-15,15.54,15.87,15.52,15.7,1751000,0,0
2019-03-18,15.73,16.05,15.71,15.98,1080400,0,0
2019-03-19,16.0,16.38,15.94,16.32,1445700,0,0
2019-03-20,16.28,16.34,16.03,16.05,1102300,0,0
2019-03-21,16.01,16.37,16.01,16.32,705800,0,0
2019-03-22,16.28,16.34,15.63,15.7,936300,0,0
2019-03-25,15.62,15.89,15.53,15.61,1256200,0,0
2019-03-26,15.73,16.07,15.65,16.01,971700,0,0
2019-03-27,16.0,16.1,15.73,16.0,655800,0,0
2019-03-28,15.96,16.28,15.94,16.2,756400,0,0
2019-03-29,16.31,16.5,16.22,16.38,895500,0,0
2019-04-01,16.48,16.86,16.42,16.55,1060100,0,0
2019-04-02,16.54,16.58,16.36,16.47,963500,0,0
2019-04-03,16.58,16.66,16.36,16.48,681500,0,0
2019-04-04,16.49,16.87,16.48,16.87,664000,0,0
2019-04-05,16.94,17.04,16.81,16.99,1544400,0,0
2019-04-08,16.78,16.85,16.52,16.71,897300,0,0
2019-04-09,16.61,16.69,16.38,16.4,958000,0,0
2019-04-10,16.44,16.67,16.35,16.56,624000,0,0
2019-04-11,16.57,16.78,16.5,16.52,656200,0,0
2019-04-12,16.65,16.91,16.64,16.76,622300,0,0
2019-04-15,16.77,17.04,16.69,16.99,779000,0,0
2019-04-16,17.08,17.16,16.97,17.05,658100,0,0
2019-04-17,17.13,17.31,17.1,17.2,706000,0,0
2019-04-18,17.32,17.37,17.11,17.21,972500,0,0
2019-04-22,17.13,17.13,16.95,17.04,503900,0,0
2019-04-23,17.06,17.29,17.05,17.19,750700,0,0
2019-04-24,17.16,17.37,17.16,17.24,863800,0,0
2019-04-25,17.09,17.12,16.57,16.6,766800,0,0
2019-04-26,16.54,16.97,16.5,16.9,1012000,0,0
2019-04-29,17.04,17.1,16.83,16.85,633100,0,0
2019-04-30,16.91,16.96,16.59,16.83,770800,0,0
2019-05-01,16.9,16.96,16.53,16.55,805100,0,0
2019-05-02,16.47,16.69,16.39,16.61,1636400,0,0
2019-05-03,16.76,17.13,16.74,17.11,1429200,0,0
2019-05-06,16.75,17.3,16.58,17.27,1620000,0,0
2019-05-07,16.45,16.96,15.76,16.53,3817900,0,0
2019-05-08,16.4,16.47,15.81,16.36,2560500,0,0
2019-05-09,16.24,16.44,16.03,16.39,1542600,0,0
2019-05-10,16.3,16.42,15.82,16.06,1627300,0,0
2019-05-13,15.72,16.02,15.58,15.97,1533800,0,0
2019-05-14,16.02,16.28,16.0,16.18,1285900,0,0
2019-05-15,16.08,16.8,16.08,16.79,1401400,0,0
2019-05-16,16.85,16.9,16.55,16.72,1083500,0,0
2019-05-17,16.6,16.77,16.45,16.45,668300,0,0
2019-05-20,16.32,16.51,16.21,16.44,1098900,0,0
2019-05-21,16.6,16.68,16.51,16.63,591100,0,0
2019-05-22,16.52,16.77,16.48,16.48,493400,0,0
2019-05-23,16.28,16.34,15.91,15.93,593900,0,0
2019-05-24,15.99,16.17,15.87,16.01,518000,0,0
2019-05-28,16.1,16.1,15.57,15.6,672000,0,0
2019-05-29,15.51,15.89,15.43,15.77,1166000,0,0
2019-05-30,15.8,16.14,15.73,15.8,883200,0,0
2019-05-31,15.6,15.68,15.38,15.43,1605500,0,0
2019-06-03,15.45,15.65,15.16,15.27,1274500,0,0
2019-06-04,15.44,15.8,15.3,15.8,1646600,0,0
2019-06-05,15.94,16.21,15.7,15.87,3273400,0,0
2019-06-06,15.93,16.1,15.55,15.7,1070100,0,0
2019-06-07,15.82,15.97,15.68,15.93,860700,0,0
2019-06-10,16.0,16.2,15.66,15.67,1045800,0,0
2019-06-11,15.79,15.93,15.62,15.8,1405300,0,0
2019-06-12,15.76,15.78,15.56,15.69,791400,0,0
2019-06-13,15.8,16.13,15.8,16.13,824600,0,0
2019-06-14,16.11,16.13,15.68,16.0,1213400,0,0
2019-06-17,15.99,16.04,15.8,15.82,804600,0,0
2019-06-18,15.94,16.09,15.64,15.72,1106400,0,0
2019-06-19,15.78,15.82,15.36,15.45,754500,0,0
2019-06-20,15.66,15.99,15.6,15.82,666800,0,0
2019-06-21,15.78,15.98,15.68,15.78,892500,0,0
2019-06-24,15.7,16.18,15.7,16.0,1109400,0,0
2019-06-25,16.01,16.24,15.94,16.08,1023800,0,0
2019-06-26,16.05,16.12,15.64,15.97,1985800,0,0
2019-06-27,16.01,16.49,16.01,16.4,1696100,0,0
2019-06-28,16.4,16.78,16.4,16.7,14786000,0,0
2019-07-01,16.96,17.16,16.7,17.0,1447100,0,0
2019-07-02,16.95,16.95,16.17,16.27,1251500,0,0
2019-07-03,16.3,16.36,16.22,16.3,677600,0,0
2019-07-05,16.2,16.26,15.91,16.24,644600,0,0
2019-07-08,16.17,16.19,15.84,15.95,942500,0,0
2019-07-09,15.86,16.06,15.82,15.94,1214600,0,0
2019-07-10,16.39,16.54,15.88,16.0,2012200,0,0
2019-07-11,16.21,16.63,16.08,16.27,1581300,0,0
2019-07-12,16.35,16.88,16.34,16.82,1154400,0,0
2019-07-15,16.85,16.99,16.66,16.96,995000,0,0
2019-07-16,16.86,17.15,16.77,16.96,1058100,0,0
2019-07-17,16.89,16.97,16.41,16.54,1058900,0,0
2019-07-18,16.5,16.61,16.33,16.52,707200,0,0
2019-07-19,16.52,16.87,16.52,16.71,1067600,0,0
2019-07-22,16.73,16.88,16.5,16.56,825000,0,0
2019-07-23,16.59,16.77,16.22,16.52,1123200,0,0
2019-07-24,16.38,16.59,16.2,16.51,1381800,0,0
2019-07-25,16.54,16.54,15.98,15.99,739200,0,0
2019-07-26,16.02,16.02,15.66,15.9,941300,0,0
2019-07-29,15.87,16.07,15.74,16.02,1262100,0,0
2019-07-30,15.87,16.52,15.76,16.51,1080500,0,0
2019-07-31,16.5,16.69,16.3,16.42,1030300,0,0
2019-08-01,16.41,16.56,16.0,16.04,1130600,0,0
2019-08-02,15.9,16.15,15.73,16.1,1029900,0,0
2019-08-05,15.76,15.86,15.51,15.55,2172400,0,0
2019-08-06,16.8,17.07,16.16,16.38,2590000,0,0
2019-08-07,16.11,16.62,16.0,16.33,1805500,0,0
2019-08-08,16.38,16.56,16.2,16.35,1582600,0,0
2019-08-09,16.32,16.33,16.11,16.15,790400,0,0
2019-08-12,16.01,16.08,15.81,15.9,1000300,0,0
2019-08-13,15.76,16.18,15.76,15.97,1042700,0,0
2019-08-14,15.66,15.76,15.21,15.27,1137100,0,0
2019-08-15,15.26,15.47,15.05,15.45,1227900,0,0
2019-08-16,15.55,15.89,15.38,15.8,926100,0,0
2019-08-19,16.04,16.11,15.72,15.78,728900,0,0
2019-08-20,15.75,15.85,15.61,15.7,1081700,0,0
2019-08-21,15.8,15.85,15.59,15.75,1006400,0,0
2019-08-22,15.84,15.92,15.52,15.52,919100,0,0
2019-08-23,15.43,15.5,14.96,15.0,1029400,0,0
2019-08-26,15.15,15.26,14.61,14.72,1176600,0,0
2019-08-27,14.84,14.84,14.43,14.73,1539700,0,0
2019-08-28,14.68,14.92,14.48,14.79,800700,0,0
2019-08-29,14.97,15.22,14.97,15.14,448600,0,0
2019-08-30,15.53,15.77,15.39,15.74,1820200,0,0
2019-09-03,15.57,15.68,15.08,15.32,1211500,0,0
2019-09-04,15.44,15.73,15.35,15.72,1171400,0,0
2019-09-05,15.79,16.26,15.79,16.0,1051200,0,0
2019-09-06,16.0,16.04,15.83,15.9,936100,0,0
2019-09-09,15.97,16.34,15.91,16.04,2022200,0,0
2019-09-10,16.03,16.49,16.0,16.46,769300,0,0
2019-09-11,16.5,17.0,16.36,16.99,1119300,0,0
2019-09-12,16.99,17.09,16.52,16.92,1227800,0,0
2019-09-13,17.01,17.28,16.86,17.17,871600,0,0
2019-09-16,17.05,17.45,17.0,17.2,1138800,0,0
2019-09-17,17.2,17.25,16.95,17.2,914000,0,0
2019-09-18,17.19,17.34,17.08,17.31,842500,0,0
2019-09-19,17.33,17.58,17.18,17.24,796500,0,0
2019-09-20,17.22,17.35,16.82,16.87,1376100,0,0
2019-09-23,16.72,17.19,16.69,17.08,1268800,0,0
2019-09-24,17.05,17.09,16.79,17.0,1673800,0,0
2019-09-25,16.93,17.23,16.91,16.94,1292200,0,0
2019-09-26,16.91,17.03,16.87,16.98,1488000,0,0
2019-09-27,17.0,17.19,16.66,16.72,554300,0,0
2019-09-30,16.71,16.98,16.7,16.86,857100,0,0
2019-10-01,16.98,17.26,16.56,16.6,1951000,0,0
2019-10-02,16.54,16.69,16.29,16.49,1318300,0,0
2019-10-03,16.38,16.69,16.23,16.63,1188300,0,0
2019-10-04,16.64,16.72,16.46,16.66,1108000,0,0
2019-10-07,16.62,16.68,16.48,16.6,923300,0,0
2019-10-08,16.41,16.53,16.24,16.31,941300,0,0
2019-10-09,16.5,16.52,16.33,16.36,692700,0,0
2019-10-10,16.39,16.58,16.37,16.51,575200,0,0
2019-10-11,16.76,17.18,16.76,17.04,1574800,0,0
2019-10-14,16.94,17.21,16.92,17.11,921400,0,0
2019-10-15,17.24,17.59,17.08,17.4,1184700,0,0
2019-10-16,17.37,17.74,17.34,17.64,1100700,0,0
2019-10-17,17.7,18.0,17.62,17.96,762000,0,0
2019-10-18,17.87,18.08,17.69,18.02,927800,0,0
2019-10-21,18.19,18.65,18.07,18.18,951200,0,0
2019-10-22,18.15,18.45,18.07,18.28,1345600,0,0
2019-10-23,18.21,18.27,18.06,18.16,856500,0,0
2019-10-24,18.22,18.22,17.91,18.0,871800,0,0
2019-10-25,18.01,18.38,17.91,18.36,1180400,0,0
2019-10-28,18.41,18.75,18.41,18.64,2063200,0,0
2019-10-29,18.59,18.95,18.56,18.92,971100,0,0
2019-10-30,18.87,18.95,18.67,18.84,1712700,0,0
2019-10-31,18.8,18.97,18.62,18.96,1835900,0,0
2019-11-01,19.01,19.45,18.99,19.35,1317100,0,0
2019-11-04,19.5,19.81,19.41,19.79,1744600,0,0
2019-11-05,18.0,19.25,17.2,17.46,3105300,0,0
2019-11-06,17.41,18.57,17.41,18.38,3702800,0,0
2019-11-07,18.58,18.83,18.18,18.28,1607500,0,0
2019-11-08,18.23,18.31,18.11,18.16,1040700,0,0
2019-11-11,17.95,18.5,17.94,18.44,1301200,0,0
2019-11-12,18.4,18.64,18.17,18.21,1527500,0,0
2019-11-13,18.03,18.13,17.82,17.86,1137500,0,0
2019-11-14,17.82,17.84,17.51,17.53,575600,0,0
2019-11-15,17.66,17.68,17.4,17.55,627200,0,0
2019-11-18,17.51,17.7,17.24,17.56,1169600,0,0
2019-11-19,17.69,17.71,17.13,17.2,678200,0,0
2019-11-20,17.15,17.19,16.86,16.98,1192900,0,0
2019-11-21,16.78,17.05,16.67,16.72,1163200,0,0
2019-11-22,16.84,16.97,16.67,16.79,795300,0,0
2019-11-25,16.88,17.19,16.83,17.06,1167900,0,0
2019-11-26,17.09,17.42,17.07,17.25,956700,0,0
2019-11-27,17.31,17.32,16.88,16.95,868300,0,0
2019-11-29,16.87,16.91,16.66,16.69,392900,0,0
2019-12-02,16.78,17.16,16.64,16.66,1147500,0,0
2019-12-03,16.46,16.51,16.28,16.42,1407600,0,0
2019-12-04,16.43,16.68,16.07,16.07,1560000,0,0
2019-12-05,16.11,16.5,16.06,16.43,947600,0,0
2019-12-06,16.63,16.79,16.48,16.52,902100,0,0
2019-12-09,16.44,16.5,16.27,16.44,937300,0,0
2019-12-10,16.45,16.49,16.24,16.32,900600,0,0
2019-12-11,15.99,16.24,15.23,16.2,2791000,0,0
2019-12-12,16.2,16.4,16.01,16.02,1137200,0,0
2019-12-13,15.95,16.18,15.82,16.03,1696000,0,0
2019-12-16,16.02,16.24,15.91,15.96,1098300,0,0
2019-12-17,15.99,16.16,15.88,15.94,941600,0,0
2019-12-18,16.0,16.0,15.75,15.85,1222700,0,0
2019-12-19,15.87,16.03,15.73,15.91,1226200,0,0
2019-12-20,15.96,16.0,15.79,15.98,2081400,0,0
2019-12-23,16.06,16.06,15.84,15.9,769100,0,0
2019-12-24,15.93,16.0,15.84,15.98,230100,0,0
2019-12-26,15.99,16.05,15.82,15.88,502400,0,0
2019-12-27,15.9,16.0,15.69,15.84,768600,0,0
2019-12-30,15.85,15.98,15.59,15.63,557800,0,0
2019-12-31,15.6,15.71,15.57,15.61,619600,0,0
2020-01-02,15.69,15.7,15.22,15.39,1237900,0,0
2020-01-03,15.17,15.55,15.12,15.52,816500,0,0
2020-01-06,15.4,15.49,15.3,15.41,788500,0,0
2020-01-07,15.47,15.47,15.07,15.11,927500,0,0
2020-01-08,15.11,15.18,14.95,15.11,614800,0,0
2020-01-09,15.18,15.27,15.06,15.18,736100,0,0
2020-01-10,15.17,15.41,15.17,15.36,1046300,0,0
2020-01-13,15.41,15.49,15.25,15.36,1439500,0,0
2020-01-14,15.35,15.51,15.28,15.34,1556500,0,0
2020-01-15,15.32,15.46,15.14,15.26,878300,0,0
2020-01-16,15.36,15.47,15.33,15.45,908500,0,0
2020-01-17,15.5,15.65,15.35,15.51,1301200,0,0
2020-01-21,15.48,15.53,15.25,15.28,1238400,0,0
2020-01-22,15.35,15.36,15.18,15.32,1116700,0,0
2020-01-23,15.22,15.76,15.13,15.69,1256700,0,0
2020-01-24,15.75,15.78,14.98,15.17,1442400,0,0
2020-01-27,14.89,15.37,14.79,15.27,1271500,0,0
2020-01-28,15.34,15.44,15.19,15.2,586800,0,0
2020-01-29,15.22,15.43,15.21,15.22,694100,0,0
2020-01-30,15.1,15.42,15.03,15.38,876700,0,0
2020-01-31,15.22,15.29,14.92,15.09,765600,0,0
2020-02-03,15.15,15.21,14.32,14.55,1304000,0,0
