Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,54.09,54.75,53.75,54.18,367200,0,0
2019-02-06,54.05,54.4,53.65,53.71,389700,0,0
2019-02-07,53.47,53.85,53.0,53.52,499900,0,0
2019-02-08,53.27,53.81,52.43,53.02,371400,0,0
2019-02-11,53.09,53.71,53.06,53.57,563600,0,0
2019-02-12,54.13,54.98,54.1,54.57,489900,0,0
2019-02-13,54.96,55.1,54.5,54.64,528100,0,0
2019-02-14,54.33,54.85,54.15,54.59,950600,0,0
2019-02-15,55.06,55.81,55.06,55.67,521900,0,0
2019-02-19,55.5,55.98,55.5,55.72,336600,0,0
2019-02-20,55.8,56.3,55.27,56.16,608300,0,0
2019-02-21,56.11,56.61,55.99,56.26,484300,0,0
2019-02-22,56.64,56.65,55.74,55.99,460700,0,0
2019-02-25,56.23,56.74,56.09,56.16,680800,0,0
2019-02-26,56.12,56.27,55.07,55.1,558500,0,0
2019-02-27,54.99,55.68,54.99,55.18,494400,0,0
2019-02-28,55.09,55.09,54.29,54.45,455900,0,0
2019-03-01,54.74,55.35,54.34,54.67,557300,0,0
2019-03-04,54.74,55.21,54.05,54.39,434500,0,0
2019-03-05,54.6,54.89,53.64,53.71,582500,0,0
2019-03-06,53.73,53.81,52.86,52.87,437800,0,0
2019-03-07,52.89,52.89,51.73,52.41,456500,0,0
2019-03-08,51.82,52.02,51.34,51.89,438200,0,0
2019-03-11,51.89,52.79,51.81,52.76,407600,0,0
2019-03-12,52.9,53.22,52.78,52.94,354000,0,0
2019-03-13,53.19,53.84,53.09,53.48,429300,0,0
2019-03-14,53.46,53.46,52.6,53.0,526000,0,0
2019-03-15,52.74,53.19,52.68,52.75,397400,0,0
2019-03-18,54.08,54.08,53.5,53.73,530100,0,0
2019-03-19,53.96,54.57,53.14,53.23,341700,0,0
2019-03-20,53.0,53.03,52.04,52.46,438700,0,0
2019-03-21,52.28,53.62,52.28,53.32,270700,0,0
2019-03-22,52.98,52.98,51.04,51.05,429600,0,0
2019-03-25,51.03,51.77,50.81,51.18,358500,0,0
2019-03-26,51.66,51.96,51.12,51.7,354800,0,0
2019-03-27,51.74,52.45,51.49,52.22,322900,0,0
2019-03-28,52.32,53.07,51.98,52.91,343300,0,0
2019-03-29,53.33,53.6,52.82,53.01,302900,0,0
2019-04-01,53.51,54.68,53.49,54.51,290000,0,0
2019-04-02,54.54,54.74,53.94,54.18,882000,0,0
2019-04-03,54.63,54.81,54.23,54.36,671900,0,0
2019-04-04,54.33,55.23,54.32,54.76,1021000,0,0
2019-04-05,54.58,55.36,54.5,55.13,457000,0,0
2019-04-08,54.94,55.68,54.75,55.26,534300,0,0
2019-04-09,55.19,55.19,53.68,53.8,404500,0,0
2019-04-10,53.61,54.32,53.5,54.07,467900,0,0
2019-04-11,54.43,55.69,54.23,55.45,979400,0,0
2019-04-12,55.87,56.35,55.43,55.66,485700,0,0
