Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,188.21,190.35,187.5,189.29,2041900,0,0
2019-02-06,188.6,189.57,184.69,188.48,1189500,0,0
2019-02-07,186.26,187.34,183.15,186.61,1341900,0,0
2019-02-08,184.98,189.97,184.79,189.41,1570200,0,0
2019-02-11,192.66,192.9,188.39,190.3,1611800,0,0
2019-02-12,192.89,193.08,188.81,189.52,2099100,0,0
2019-02-13,190.17,191.08,186.26,187.75,1664800,0,0
2019-02-14,186.98,189.8,186.98,188.54,1425800,0,0
2019-02-15,193.0,193.37,187.91,190.79,1717000,0,0
2019-02-19,190.19,192.92,190.01,192.74,1347200,0,0
2019-02-20,192.49,193.73,187.18,188.65,1846600,0,0
2019-02-21,188.42,190.68,187.22,189.47,1335300,0,0
2019-02-22,190.44,194.81,190.28,194.7,1305000,0,0
2019-02-25,196.14,198.97,195.2,196.23,1930000,0,0
2019-02-26,195.39,197.79,194.43,195.12,2075500,0,0
2019-02-27,196.01,198.14,193.85,197.45,1487600,0,0
2019-02-28,197.51,199.45,195.71,197.93,2936800,0,0
2019-03-01,199.85,200.0,187.13,189.14,5545300,0,0
2019-03-04,189.35,190.3,175.51,179.22,6069900,0,0
2019-03-05,180.33,183.23,178.36,181.96,3371400,0,0
2019-03-06,182.85,183.99,179.78,182.43,1438000,0,0
2019-03-07,181.26,184.95,180.21,181.75,1867400,0,0
2019-03-08,178.42,181.82,176.47,181.61,1616700,0,0
2019-03-11,182.24,186.25,182.0,185.5,1987800,0,0
2019-03-12,186.54,188.85,184.74,187.34,1681100,0,0
2019-03-13,188.5,190.74,186.12,186.16,1820700,0,0
2019-03-14,185.96,188.79,184.8,187.04,1644500,0,0
2019-03-15,185.27,187.77,184.17,186.69,2630100,0,0
2019-03-18,186.36,190.4,185.89,187.51,1743000,0,0
2019-03-19,188.61,192.08,186.81,191.53,2239400,0,0
2019-03-20,192.0,195.22,189.74,192.71,1288800,0,0
2019-03-21,191.61,197.86,191.01,197.58,1032600,0,0
2019-03-22,196.25,196.95,190.71,191.08,1367100,0,0
2019-03-25,190.62,191.71,188.15,190.7,1109000,0,0
2019-03-26,192.19,194.37,190.91,192.64,920700,0,0
2019-03-27,192.0,192.77,185.43,189.68,1265100,0,0
2019-03-28,190.07,192.45,188.76,190.2,838100,0,0
2019-03-29,191.89,194.21,190.77,192.85,1081400,0,0
2019-04-01,193.51,196.88,190.08,192.75,1223400,0,0
2019-04-02,192.94,194.17,191.0,193.78,720300,0,0
2019-04-03,194.51,194.91,191.88,193.5,1271800,0,0
2019-04-04,193.1,193.18,179.08,185.47,3829200,0,0
2019-04-05,186.64,187.43,183.08,186.29,1723200,0,0
2019-04-08,185.89,187.22,182.5,187.11,824600,0,0
2019-04-09,185.55,190.96,184.55,190.8,1765000,0,0
2019-04-10,191.91,196.73,190.68,195.1,1693200,0,0
2019-04-11,195.03,196.73,193.76,195.87,811900,0,0
2019-04-12,196.5,197.4,193.83,195.75,865400,0,0
2019-04-15,195.02,195.64,191.27,192.91,1760900,0,0
2019-04-16,192.38,198.59,192.38,195.79,2245600,0,0
2019-04-17,195.69,196.0,189.81,191.02,1515900,0,0
2019-04-18,191.01,191.01,184.25,187.83,2505600,0,0
2019-04-22,187.71,189.98,186.79,189.37,1053700,0,0
2019-04-23,190.82,195.5,189.69,195.2,1439400,0,0
2019-04-24,195.79,197.71,194.96,195.37,1382900,0,0
2019-04-25,197.01,199.36,195.8,198.82,1520500,0,0
2019-04-26,199.95,204.62,198.32,204.41,1526200,0,0
2019-04-29,205.0,206.48,203.6,204.51,1002900,0,0
2019-04-30,204.48,208.33,203.05,205.63,962800,0,0
2019-05-01,206.5,206.85,201.18,201.18,1102400,0,0
2019-05-02,200.17,201.79,194.81,198.65,1320200,0,0
2019-05-03,200.78,203.79,198.05,203.12,789100,0,0
2019-05-06,196.69,203.28,195.04,202.98,1029300,0,0
2019-05-07,200.66,201.99,195.11,198.54,1242900,0,0
2019-05-08,198.0,200.05,195.66,196.92,2243600,0,0
2019-05-09,194.55,200.52,191.25,200.35,1310700,0,0
2019-05-10,198.78,204.23,197.34,203.53,1137300,0,0
2019-05-13,198.49,200.99,193.84,194.08,1951000,0,0
2019-05-14,196.25,202.11,195.38,201.28,1131500,0,0
2019-05-15,200.03,206.82,199.29,204.99,1277100,0,0
2019-05-16,205.0,213.98,204.42,212.0,2534300,0,0
2019-05-17,210.53,212.25,207.81,210.38,2434400,0,0
2019-05-20,208.14,209.36,202.67,202.81,1545600,0,0
2019-05-21,205.81,208.1,205.68,206.83,1429400,0,0
2019-05-22,205.13,210.87,205.13,210.41,2149500,0,0
2019-05-23,209.18,209.9,202.44,205.32,1548600,0,0
2019-05-24,207.02,213.13,206.5,210.72,1656500,0,0
2019-05-28,212.5,217.63,211.63,212.87,3754000,0,0
2019-05-29,209.85,210.0,199.36,203.23,5529300,0,0
2019-05-30,203.33,208.35,203.01,207.91,1702400,0,0
2019-05-31,203.9,207.8,203.05,204.12,1721300,0,0
2019-06-03,203.85,204.79,190.38,191.88,2941300,0,0
2019-06-04,193.52,195.99,189.62,195.79,3164100,0,0
2019-06-05,198.98,200.81,194.89,199.6,2095200,0,0
2019-06-06,199.13,205.3,198.29,204.11,1320400,0,0
2019-06-07,204.85,211.82,204.19,211.47,1823600,0,0
2019-06-10,213.68,217.0,213.3,213.69,1639800,0,0
2019-06-11,216.02,216.68,203.65,205.77,1829100,0,0
2019-06-12,205.17,214.03,205.07,209.45,1343800,0,0
2019-06-13,207.81,210.77,205.34,208.46,1536400,0,0
2019-06-14,207.99,209.9,205.1,208.0,1058400,0,0
