Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.11,17.31,17.06,17.19,1752200,0.0,0
2019-02-06,17.21,17.27,17.15,17.26,1041900,0.0,0
2019-02-07,17.21,17.36,17.13,17.34,1865700,0.0,0
2019-02-08,17.32,17.42,17.25,17.37,4846000,0.0,0
2019-02-11,17.45,17.54,17.26,17.28,2893900,0.0,0
2019-02-12,17.35,17.45,17.26,17.34,1955900,0.0,0
2019-02-13,17.42,17.45,17.27,17.33,2343900,0.0,0
2019-02-14,17.22,17.62,17.22,17.52,2844200,0.0,0
2019-02-15,17.58,17.76,17.52,17.62,5716200,0.0,0
2019-02-19,17.67,17.71,17.47,17.51,3052100,0.0,0
2019-02-20,17.57,17.61,17.24,17.3,7057500,0.0,0
2019-02-21,16.82,17.47,16.75,17.4,6462600,0.0,0
2019-02-22,17.3,17.56,17.15,17.35,7346400,0.0,0
2019-02-25,17.41,17.41,16.56,16.67,6212600,0.0,0
2019-02-26,16.67,16.9,16.66,16.76,4190800,0.0,0
2019-02-27,16.79,17.08,16.73,17.01,5446000,0.0,0
2019-02-28,17.14,17.24,16.95,17.06,3302400,0.1,0
2019-03-01,17.18,17.24,16.87,17.01,4865800,0.0,0
2019-03-04,17.03,17.12,16.82,17.01,3434600,0.0,0
2019-03-05,17.02,17.18,16.97,17.05,4929600,0.0,0
2019-03-06,17.09,17.21,16.41,16.43,7649100,0.0,0
2019-03-07,16.43,16.49,16.09,16.2,4282900,0.0,0
2019-03-08,16.12,16.73,16.0,16.72,7021900,0.0,0
2019-03-11,16.73,16.79,16.29,16.36,5065900,0.0,0
2019-03-12,16.38,16.39,16.04,16.21,4801400,0.0,0
2019-03-13,16.28,16.55,16.11,16.43,7933200,0.0,0
2019-03-14,16.48,16.57,16.35,16.54,3975400,0.0,0
2019-03-15,16.53,16.7,16.35,16.37,4116300,0.0,0
2019-03-18,16.48,16.51,16.34,16.46,2600400,0.0,0
2019-03-19,16.49,16.49,16.26,16.3,2295000,0.0,0
2019-03-20,16.14,16.34,16.0,16.06,3474700,0.0,0
2019-03-21,16.07,16.42,16.04,16.4,4919100,0.0,0
2019-03-22,16.31,16.35,16.12,16.22,3751800,0.0,0
2019-03-25,16.24,16.8,16.22,16.67,5364800,0.0,0
2019-03-26,16.68,16.9,16.58,16.72,4592300,0.0,0
2019-03-27,16.6,17.11,16.6,17.03,4074700,0.0,0
2019-03-28,17.08,17.42,17.05,17.41,4518500,0.0,0
2019-03-29,17.5,17.79,17.44,17.62,5387800,0.0,0
2019-04-01,17.71,17.79,17.39,17.55,3089300,0.0,0
2019-04-02,17.57,17.68,17.39,17.67,2367700,0.0,0
2019-04-03,17.72,17.82,17.65,17.7,2566500,0.0,0
2019-04-04,17.74,17.95,17.71,17.92,2422000,0.0,0
2019-04-05,17.97,18.17,17.94,17.97,4934400,0.0,0
2019-04-08,17.78,17.93,17.72,17.75,2808300,0.0,0
2019-04-09,17.72,17.76,17.6,17.71,2487700,0.0,0
2019-04-10,17.78,17.86,17.61,17.71,3040700,0.0,0
2019-04-11,17.74,18.13,17.68,18.11,4637500,0.0,0
2019-04-12,18.14,18.29,17.95,18.16,4046100,0.0,0
2019-04-15,18.18,18.31,18.0,18.28,1913200,0.0,0
2019-04-16,18.31,18.37,18.18,18.34,1715300,0.0,0
2019-04-17,18.36,18.52,18.19,18.5,2380300,0.0,0
2019-04-18,18.51,18.71,18.5,18.61,1291400,0.0,0
2019-04-22,18.61,18.61,18.33,18.4,2330100,0.0,0
2019-04-23,18.47,18.56,18.3,18.32,2673400,0.0,0
2019-04-24,18.33,18.48,18.17,18.21,2849100,0.0,0
2019-04-25,18.17,18.47,17.95,18.46,3500100,0.0,0
2019-04-26,18.52,18.71,18.26,18.47,2693400,0.0,0
2019-04-29,18.46,18.53,18.21,18.42,2410400,0.0,0
2019-04-30,18.39,18.44,18.24,18.32,1945800,0.0,0
2019-05-01,18.36,18.44,18.24,18.33,1810000,0.0,0
2019-05-02,18.3,18.43,17.99,18.14,3742400,0.0,0
2019-05-03,18.2,18.25,18.01,18.15,3977200,0.0,0
2019-05-06,18.1,18.45,18.1,18.3,3870400,0.0,0
2019-05-07,18.24,18.41,18.03,18.19,4387800,0.0,0
2019-05-08,18.42,19.15,18.14,18.9,7163400,0.0,0
2019-05-09,18.92,18.95,18.3,18.52,5589700,0.0,0
2019-05-10,18.43,18.61,18.27,18.56,2480100,0.0,0
2019-05-13,18.41,18.45,18.22,18.34,2556200,0.0,0
2019-05-14,18.34,18.4,18.2,18.22,3793200,0.0,0
2019-05-15,18.16,18.46,18.1,18.37,2301900,0.0,0
2019-05-16,18.37,18.71,18.27,18.43,3028200,0.0,0
2019-05-17,18.33,18.62,18.27,18.44,3086700,0.0,0
2019-05-20,18.37,18.46,18.31,18.33,1855300,0.0,0
2019-05-21,18.38,18.77,18.38,18.68,2956600,0.0,0
2019-05-22,18.61,18.88,18.61,18.8,3545800,0.0,0
2019-05-23,18.73,18.82,18.49,18.72,2394500,0.0,0
2019-05-24,18.79,18.82,18.65,18.68,1520500,0.0,0
2019-05-28,18.71,18.8,18.23,18.26,2815500,0.0,0
2019-05-29,18.26,18.29,17.83,18.12,3345100,0.0,0
2019-05-30,18.19,18.3,18.08,18.15,2148800,0.0,0
2019-05-31,18.1,18.32,18.04,18.21,2248700,0.1,0
2019-06-03,18.24,18.46,18.17,18.44,2751500,0.0,0
