Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.8,47.85,47.29,47.8,14784900,0.0,0
2019-02-06,47.62,48.05,47.6,47.75,12145700,0.0,0
2019-02-07,47.62,47.83,46.28,46.64,24189700,0.0,0
2019-02-08,46.51,46.6,45.65,46.23,20641200,0.0,0
2019-02-11,46.44,46.53,45.96,46.23,15995900,0.0,0
2019-02-12,46.58,47.98,46.58,47.58,22033000,0.0,0
2019-02-13,47.77,48.22,47.43,47.56,13770900,0.0,0
2019-02-14,47.18,47.45,46.59,47.07,16456500,0.0,0
2019-02-15,47.62,47.94,47.04,47.75,19346200,0.0,0
2019-02-19,47.56,48.14,47.36,47.9,15121700,0.0,0
2019-02-20,47.95,48.39,47.83,48.32,16742600,0.0,0
2019-02-21,48.27,48.4,47.89,48.08,16938800,0.0,0
2019-02-22,48.12,48.26,47.49,47.56,15848200,0.0,0
2019-02-25,47.79,48.73,47.78,48.18,16564100,0.0,0
2019-02-26,48.01,48.64,47.87,48.11,16997800,0.0,0
2019-02-27,48.11,48.53,47.88,48.41,17455000,0.0,0
2019-02-28,48.49,48.63,48.24,48.4,17786600,0.0,0
2019-03-01,48.73,49.32,48.38,48.53,19051400,0.0,0
2019-03-04,48.79,49.38,48.21,48.61,16697000,0.0,0
2019-03-05,48.53,48.55,47.86,48.4,14235400,0.0,0
2019-03-06,48.48,48.72,48.2,48.33,14211000,0.0,0
2019-03-07,48.22,48.36,47.82,48.2,19047300,0.0,0
2019-03-08,47.79,48.41,47.7,48.31,17400000,0.0,0
2019-03-11,48.51,48.6,48.15,48.27,19471500,0.0,0
2019-03-12,48.29,48.55,48.06,48.17,18299300,0.0,0
2019-03-13,48.38,48.58,48.13,48.43,21647300,0.0,0
2019-03-14,48.57,49.27,48.44,48.85,20160700,0.0,0
2019-03-15,48.72,49.28,48.51,49.15,46117300,0.0,0
2019-03-18,49.32,50.51,49.31,50.18,23843300,0.0,0
2019-03-19,50.85,50.85,49.81,49.87,19911900,0.0,0
2019-03-20,49.66,50.03,48.83,48.89,20632400,0.0,0
2019-03-21,48.49,48.64,47.7,48.37,24132800,0.0,0
2019-03-22,47.78,47.99,46.57,46.87,27975800,0.0,0
2019-03-25,46.97,47.43,46.42,46.64,17227600,0.0,0
2019-03-26,47.07,47.57,46.96,47.55,16989600,0.0,0
2019-03-27,47.48,47.72,47.0,47.31,16912000,0.0,0
2019-03-28,47.27,47.75,46.91,47.62,15881600,0.0,0
2019-03-29,48.31,48.31,46.37,46.88,53590800,0.0,0
2019-04-01,46.98,47.44,46.73,47.35,42015500,0.0,0
2019-04-02,47.12,47.42,46.53,46.77,35393600,0.0,0
2019-04-03,47.02,47.41,46.64,47.4,30366300,0.0,0
2019-04-04,47.49,48.2,47.42,47.7,19260100,0.0,0
2019-04-05,47.79,47.93,47.15,47.32,23734900,0.0,0
2019-04-08,47.19,47.63,47.13,47.42,18875200,0.0,0
2019-04-09,47.23,47.24,46.58,46.7,22903500,0.0,0
2019-04-10,46.64,46.75,45.98,46.36,30977800,0.0,0
2019-04-11,46.54,46.82,45.96,46.31,33662700,0.0,0
2019-04-12,46.32,47.36,44.68,45.1,70271400,0.0,0
2019-04-15,44.5,45.65,44.3,45.37,34954000,0.0,0
2019-04-16,45.48,46.44,45.47,46.23,25217100,0.0,0
2019-04-17,46.53,46.53,45.52,46.13,25144000,0.0,0
2019-04-18,46.02,46.44,45.71,46.16,22416800,0.0,0
2019-04-22,45.99,46.08,45.69,45.85,15972600,0.0,0
2019-04-23,45.79,46.02,45.55,45.93,16434300,0.0,0
2019-04-24,45.65,46.26,45.62,46.06,17831800,0.0,0
2019-04-25,45.76,46.53,45.51,46.09,23042800,0.0,0
2019-04-26,46.1,46.55,45.98,46.53,13035500,0.0,0
2019-04-29,46.54,47.33,46.53,46.83,16918700,0.0,0
2019-04-30,46.91,47.11,46.67,46.96,18525100,0.0,0
2019-05-01,46.88,47.39,46.56,46.79,17542100,0.0,0
2019-05-02,46.91,47.04,46.42,46.86,16883000,0.0,0
2019-05-03,47.07,47.31,46.91,47.2,16571300,0.0,0
2019-05-06,46.56,47.27,46.45,46.98,19279900,0.0,0
2019-05-07,46.61,46.72,45.51,45.76,23919100,0.0,0
2019-05-08,45.65,45.9,45.41,45.6,19814400,0.0,0
2019-05-09,45.06,45.87,44.84,45.78,23246900,0.45,0
2019-05-10,45.46,46.4,45.16,46.18,19983400,0.0,0
2019-05-13,45.33,46.03,45.31,45.38,23304700,0.0,0
2019-05-14,45.43,45.97,45.04,45.54,21267600,0.0,0
2019-05-15,45.08,45.4,44.56,44.9,20123300,0.0,0
2019-05-16,45.05,45.58,44.82,44.96,20764100,0.0,0
2019-05-17,44.51,45.28,44.48,44.76,22273500,0.0,0
2019-05-20,44.68,44.97,44.37,44.52,18854000,0.0,0
2019-05-21,44.68,45.41,44.59,45.38,18416300,0.0,0
2019-05-22,45.13,45.36,45.02,45.15,13155000,0.0,0
2019-05-23,44.89,44.92,44.15,44.63,17643700,0.0,0
2019-05-24,44.82,45.4,44.66,45.22,13425500,0.0,0
2019-05-28,45.13,45.3,44.65,44.66,19984600,0.0,0
2019-05-29,44.46,44.74,44.2,44.55,16058800,0.0,0
2019-05-30,44.75,44.91,43.96,44.13,13775900,0.0,0
2019-05-31,43.62,43.94,43.31,43.46,17540500,0.0,0
2019-06-03,43.33,44.18,43.29,43.61,20172500,0.0,0
2019-06-04,44.23,44.82,44.09,44.74,21082000,0.0,0
2019-06-05,44.93,44.96,44.37,44.92,13705400,0.0,0
2019-06-06,44.8,45.24,44.52,44.98,16020500,0.0,0
2019-06-07,44.96,45.21,44.62,44.69,14979900,0.0,0
2019-06-10,45.12,45.85,45.12,45.32,15242700,0.0,0
2019-06-11,44.9,45.51,44.83,45.31,15078300,0.0,0
2019-06-12,45.07,45.32,43.86,43.99,22463300,0.0,0
2019-06-13,44.18,44.69,44.0,44.36,15629400,0.0,0
2019-06-14,44.38,44.85,43.92,44.66,16147500,0.0,0
2019-06-17,44.65,45.08,44.21,44.34,13420400,0.0,0
