Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,130.75,132.96,129.9,130.93,822100,0.0,0
2019-02-06,130.39,131.44,129.72,129.81,607500,0.0,0
2019-02-07,129.83,130.85,128.3,129.59,544700,0.0,0
2019-02-08,129.42,129.85,127.07,128.82,541200,0.0,0
2019-02-11,129.08,129.34,127.26,128.45,705900,0.0,0
2019-02-12,129.31,133.05,128.85,131.87,819900,0.0,0
2019-02-13,132.14,133.83,131.65,133.33,694900,0.0,0
2019-02-14,132.71,134.49,131.83,132.96,759200,0.0,0
2019-02-15,133.92,136.22,132.95,134.69,897000,0.0,0
2019-02-19,133.83,137.44,133.35,136.8,658100,0.0,0
2019-02-20,136.82,139.6,136.09,137.92,752100,0.0,0
2019-02-21,137.08,139.43,136.48,138.01,601100,0.0,0
2019-02-22,138.89,140.82,138.22,140.7,650300,0.0,0
2019-02-25,141.25,141.88,139.67,139.82,789300,0.0,0
2019-02-26,139.17,140.62,137.97,138.48,632800,0.0,0
2019-02-27,138.71,139.88,136.39,138.15,640200,0.0,0
2019-02-28,137.86,138.39,135.61,137.88,929700,1.15,0
2019-03-01,138.51,139.05,136.94,137.68,517100,0.0,0
2019-03-04,138.03,139.33,137.6,139.28,662300,0.0,0
2019-03-05,139.33,140.09,138.14,138.27,575000,0.0,0
2019-03-06,137.81,138.51,135.14,135.34,594000,0.0,0
2019-03-07,135.19,135.93,133.4,133.93,590400,0.0,0
2019-03-08,133.57,134.45,132.22,134.02,420100,0.0,0
2019-03-11,133.81,135.69,132.69,133.09,541900,0.0,0
2019-03-12,133.95,137.61,133.53,137.39,985800,0.0,0
2019-03-13,137.89,140.47,137.08,137.48,1256200,0.0,0
2019-03-14,137.68,138.34,135.89,136.47,726000,0.0,0
2019-03-15,135.09,135.71,128.13,129.76,2006200,0.0,0
2019-03-18,129.67,132.54,129.58,129.89,957700,0.0,0
2019-03-19,130.86,132.42,128.42,128.81,869800,0.0,0
2019-03-20,128.58,129.71,126.56,127.15,893500,0.0,0
2019-03-21,127.37,130.99,127.37,130.57,1534700,0.0,0
2019-03-22,129.95,130.35,125.61,125.73,964000,0.0,0
2019-03-25,125.35,127.67,125.14,125.75,953600,0.0,0
2019-03-26,126.8,127.99,126.33,127.59,816100,0.0,0
2019-03-27,128.74,129.19,127.31,128.4,612000,0.0,0
2019-03-28,128.41,129.44,127.78,128.66,347700,0.0,0
2019-03-29,129.36,130.45,128.09,129.48,645200,0.0,0
2019-04-01,130.22,131.14,128.85,131.02,572200,0.0,0
2019-04-02,130.96,131.68,129.97,131.13,563700,0.0,0
2019-04-03,131.4,131.46,128.82,129.36,785400,0.0,0
2019-04-04,129.3,131.02,129.0,131.02,610100,0.0,0
2019-04-05,131.2,133.17,130.68,132.61,614700,0.0,0
2019-04-08,132.8,134.45,131.48,134.33,569000,0.0,0
2019-04-09,134.08,134.08,130.96,131.32,553200,0.0,0
2019-04-10,131.95,133.77,131.28,133.51,568200,0.0,0
2019-04-11,133.64,136.78,132.96,136.13,582100,0.0,0
2019-04-12,135.92,137.02,134.9,136.29,865300,0.0,0
2019-04-15,136.39,136.62,132.53,132.87,1141100,0.0,0
2019-04-16,131.82,134.05,131.77,133.82,749100,0.0,0
2019-04-17,133.86,135.5,132.4,133.36,562600,0.0,0
2019-04-18,133.09,136.23,133.04,135.49,675000,0.0,0
2019-04-22,135.8,137.62,135.34,135.78,1789500,0.0,0
2019-04-23,140.43,141.18,135.15,136.34,2971000,0.0,0
2019-04-24,137.01,137.01,132.02,135.63,1216300,0.0,0
2019-04-25,135.03,135.03,130.89,131.57,991600,0.0,0
2019-04-26,132.31,133.62,130.65,133.54,902800,0.0,0
2019-04-29,133.7,136.4,133.06,135.0,709600,0.0,0
2019-04-30,134.99,136.17,133.09,135.25,656300,0.0,0
2019-05-01,135.35,136.96,134.35,136.17,852100,0.0,0
2019-05-02,136.36,139.8,136.24,138.65,659100,0.0,0
2019-05-03,139.26,140.04,138.39,138.8,561600,0.0,0
2019-05-06,136.38,137.0,134.57,136.38,812300,0.0,0
2019-05-07,135.13,135.62,132.36,134.21,737700,0.0,0
2019-05-08,133.79,135.57,133.07,133.46,433200,0.0,0
2019-05-09,132.21,132.39,127.92,130.39,833000,0.0,0
2019-05-10,132.1,132.1,127.08,130.87,777700,0.0,0
2019-05-13,127.76,128.81,122.92,124.79,1091900,0.0,0
2019-05-14,125.2,126.52,123.64,125.76,761800,0.0,0
2019-05-15,125.59,128.28,124.62,127.32,796700,0.0,0
2019-05-16,127.46,129.58,127.03,127.76,705900,1.2,0
2019-05-17,126.65,127.88,124.47,126.49,531600,0.0,0
2019-05-20,125.52,127.83,124.88,127.36,544300,0.0,0
2019-05-21,127.23,130.48,127.23,130.29,667900,0.0,0
2019-05-22,128.77,130.28,128.13,128.82,683800,0.0,0
2019-05-23,127.03,127.03,122.33,123.95,933600,0.0,0
2019-05-24,124.7,125.44,122.52,122.81,630600,0.0,0
2019-05-28,122.88,123.86,120.41,120.46,612300,0.0,0
2019-05-29,120.18,120.81,117.26,118.3,651000,0.0,0
2019-05-30,118.32,119.34,116.49,117.8,486700,0.0,0
2019-05-31,115.69,116.31,112.1,112.97,884400,0.0,0
2019-06-03,113.07,116.89,112.52,115.36,706800,0.0,0
2019-06-04,116.86,123.96,116.61,123.71,1036700,0.0,0
2019-06-05,124.06,124.71,120.48,123.5,545600,0.0,0
2019-06-06,125.47,126.9,123.39,126.04,776600,0.0,0
2019-06-07,126.01,127.17,125.32,126.6,465600,0.0,0
2019-06-10,127.83,129.5,126.64,128.07,558400,0.0,0
2019-06-11,128.92,129.94,127.69,128.14,454800,0.0,0
2019-06-12,127.91,129.38,126.32,128.0,507200,0.0,0
2019-06-13,129.06,132.89,129.06,132.83,762300,0.0,0
2019-06-14,132.78,134.89,131.88,133.42,744100,0.0,0
2019-06-17,134.46,136.46,133.52,135.76,762900,0.0,0
2019-06-18,137.33,140.09,136.19,139.43,1063000,0.0,0
2019-06-19,139.55,140.1,137.35,139.62,831700,0.0,0
2019-06-20,141.32,141.71,138.47,138.89,645000,0.0,0
2019-06-21,138.98,139.75,136.79,139.31,834600,0.0,0
2019-06-24,139.31,139.87,137.43,137.77,562900,0.0,0
2019-06-25,138.13,138.82,135.0,135.31,617300,0.0,0
2019-06-26,135.67,138.9,135.61,137.41,805300,0.0,0
2019-06-27,138.22,140.46,138.22,139.94,559100,0.0,0
2019-06-28,140.13,141.98,139.64,139.99,671200,0.0,0
2019-07-01,142.14,145.4,141.96,143.16,779200,0.0,0
2019-07-02,142.59,142.59,140.64,142.43,404700,0.0,0
2019-07-03,143.15,143.87,141.71,143.79,191500,0.0,0
2019-07-05,142.44,143.52,141.28,142.25,379100,0.0,0
2019-07-08,142.05,142.42,140.66,142.12,381100,0.0,0
2019-07-09,141.14,141.51,139.21,140.42,610500,0.0,0
2019-07-10,141.35,142.0,138.61,139.71,545700,0.0,0
2019-07-11,139.64,140.36,138.14,140.25,452200,0.0,0
2019-07-12,141.0,144.4,140.44,143.98,852800,0.0,0
2019-07-15,143.26,143.98,140.92,141.5,659900,0.0,0
2019-07-16,141.55,146.21,140.86,146.1,992400,0.0,0
2019-07-17,146.27,148.19,145.26,146.72,979100,0.0,0
2019-07-18,146.17,148.88,146.13,147.88,859700,0.0,0
2019-07-19,148.24,148.88,145.7,145.72,612900,0.0,0
2019-07-22,146.49,147.12,145.35,145.88,1589200,0.0,0
2019-07-23,144.53,149.96,135.71,140.1,3045600,0.0,0
2019-07-24,139.97,144.93,139.45,144.13,1314500,0.0,0
2019-07-25,144.22,146.52,143.08,144.54,612500,0.0,0
2019-07-26,144.22,146.59,142.47,146.46,630400,0.0,0
2019-07-29,146.42,147.58,145.29,146.53,587400,0.0,0
2019-07-30,145.75,148.26,144.96,148.24,568800,0.0,0
2019-07-31,148.05,148.61,141.92,143.06,1157600,0.0,0
2019-08-01,143.03,144.37,137.57,137.59,905900,0.0,0
2019-08-02,137.08,137.08,132.47,133.32,891200,0.0,0
2019-08-05,130.79,131.31,128.29,130.94,910500,0.0,0
2019-08-06,132.26,134.22,131.4,134.04,787700,0.0,0
2019-08-07,133.06,136.64,130.81,136.22,617800,0.0,0
2019-08-08,137.29,139.82,136.72,139.63,580000,0.0,0
2019-08-09,138.87,139.28,134.24,134.33,640000,0.0,0
