Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,74.12,76.72,74.12,76.62,700700,0.0,0
2019-02-06,75.59,76.21,74.47,74.57,528300,0.0,0
2019-02-07,73.9,74.58,71.93,72.79,805700,0.0,0
2019-02-08,72.26,73.16,71.19,72.37,706800,0.0,0
2019-02-11,72.36,73.87,72.3,73.63,1183200,0.0,0
2019-02-12,74.5,76.59,74.38,76.09,794400,0.0,0
2019-02-13,76.64,76.98,75.97,76.32,690800,0.0,0
2019-02-14,75.89,77.15,75.8,76.57,481000,0.0,0
2019-02-15,77.61,79.75,77.37,79.6,1673200,0.0,0
2019-02-19,71.21,78.62,71.15,75.81,2781000,0.0,0
2019-02-20,75.29,78.64,72.84,78.62,2688200,0.0,0
2019-02-21,78.05,78.54,73.34,73.58,1434300,0.0,0
2019-02-22,73.94,75.08,73.82,74.37,748200,0.0,0
2019-02-25,74.58,75.11,72.29,72.66,1758800,0.0,0
2019-02-26,71.59,72.57,71.29,71.31,775600,0.25,0
2019-02-27,71.18,71.64,70.62,71.55,871000,0.0,0
2019-02-28,71.38,71.74,68.79,69.0,1165100,0.0,0
2019-03-01,69.76,70.96,67.45,68.78,1190700,0.0,0
2019-03-04,69.29,70.29,68.02,69.76,1486900,0.0,0
2019-03-05,69.69,70.06,68.54,68.57,834700,0.0,0
2019-03-06,69.02,71.12,68.67,69.78,949300,0.0,0
2019-03-07,69.82,70.29,67.3,68.05,1033900,0.0,0
2019-03-08,67.18,67.34,65.81,66.68,595100,0.0,0
2019-03-11,67.11,68.41,66.66,67.91,538500,0.0,0
2019-03-12,68.19,68.6,67.61,67.69,664200,0.0,0
2019-03-13,68.37,68.9,67.37,68.53,619300,0.0,0
2019-03-14,68.17,68.45,67.31,67.85,487100,0.0,0
2019-03-15,67.96,68.88,67.59,68.35,699900,0.0,0
2019-03-18,68.49,69.25,67.57,69.23,544600,0.0,0
2019-03-19,69.85,70.57,68.19,68.44,538600,0.0,0
2019-03-20,68.0,69.14,67.48,68.2,730800,0.0,0
2019-03-21,67.3,69.48,67.3,68.83,720100,0.0,0
2019-03-22,68.0,68.14,64.86,65.25,827000,0.0,0
2019-03-25,65.34,66.06,63.67,64.06,1322200,0.0,0
2019-03-26,64.37,65.99,63.88,65.95,1149900,0.0,0
2019-03-27,66.46,67.4,65.74,65.98,660100,0.0,0
2019-03-28,66.0,67.26,65.9,66.77,882000,0.0,0
2019-03-29,66.87,67.87,66.69,67.01,612400,0.0,0
2019-04-01,68.0,69.42,67.76,68.92,702600,0.0,0
2019-04-02,68.88,70.3,68.16,69.71,1168100,0.0,0
2019-04-03,70.51,72.02,70.02,70.64,1841600,0.0,0
2019-04-04,70.79,73.72,70.23,73.59,1107300,0.0,0
2019-04-05,74.0,75.23,73.03,75.19,1923600,0.0,0
2019-04-08,75.14,75.25,73.66,74.84,2403800,0.0,0
2019-04-09,74.44,74.46,73.28,73.71,857600,0.0,0
2019-04-10,73.51,74.45,72.43,73.99,1002000,0.0,0
2019-04-11,73.8,74.37,73.12,73.73,907900,0.0,0
2019-04-12,74.99,75.65,74.12,75.44,763100,0.0,0
2019-04-15,76.92,76.97,75.6,76.59,846400,0.0,0
2019-04-16,76.64,77.1,75.54,75.95,624100,0.0,0
2019-04-17,75.83,76.36,74.62,74.81,908700,0.0,0
2019-04-18,75.11,75.43,74.01,74.27,561900,0.0,0
2019-04-22,74.42,74.81,73.64,73.85,360200,0.0,0
2019-04-23,74.05,75.19,73.23,74.61,623800,0.0,0
2019-04-24,74.37,74.94,72.56,72.8,734300,0.0,0
2019-04-25,72.47,72.47,70.82,70.88,504000,0.0,0
2019-04-26,70.81,71.55,70.19,71.41,430000,0.0,0
2019-04-29,71.35,71.93,70.46,70.61,566800,0.0,0
2019-04-30,70.8,71.2,68.48,68.88,791200,0.0,0
2019-05-01,68.76,68.89,66.9,66.96,1164700,0.0,0
2019-05-02,65.11,66.16,60.35,60.89,3100400,0.0,0
2019-05-03,60.99,63.18,60.82,62.71,2101400,0.0,0
2019-05-06,60.81,62.14,60.57,61.21,919000,0.0,0
2019-05-07,60.51,60.83,59.16,59.85,1038200,0.0,0
2019-05-08,59.71,59.89,58.42,59.42,1302600,0.0,0
2019-05-09,58.39,60.9,56.99,59.74,1729900,0.0,0
2019-05-10,59.68,60.74,58.72,60.24,916400,0.0,0
2019-05-13,59.18,59.27,56.67,57.61,1228100,0.0,0
2019-05-14,58.11,59.56,57.98,59.07,816100,0.0,0
2019-05-15,59.68,60.84,59.25,60.45,1177000,0.0,0
2019-05-16,61.32,62.88,61.05,62.33,1360700,0.0,0
2019-05-17,61.79,62.68,61.24,61.47,795200,0.0,0
2019-05-20,60.84,62.55,60.84,62.19,1049200,0.0,0
2019-05-21,62.82,64.11,62.82,63.93,725500,0.0,0
2019-05-22,63.38,63.81,61.99,62.07,949000,0.0,0
2019-05-23,60.47,60.67,59.25,60.23,874300,0.0,0
2019-05-24,60.84,61.17,59.02,59.76,740900,0.0,0
2019-05-28,60.02,60.39,59.39,59.64,583300,0.25,0
2019-05-29,58.77,59.72,57.95,59.42,523600,0.0,0
2019-05-30,59.1,59.47,58.31,58.43,598000,0.0,0
2019-05-31,57.34,58.07,56.72,56.81,878400,0.0,0
2019-06-03,57.1,59.28,56.92,59.03,904100,0.0,0
2019-06-04,60.02,63.05,59.88,63.01,892100,0.0,0
2019-06-05,63.37,63.37,60.99,62.92,1068500,0.0,0
2019-06-06,62.84,62.98,61.57,62.66,1151700,0.0,0
2019-06-07,63.07,63.71,61.86,62.94,854200,0.0,0
2019-06-10,63.6,64.19,62.31,62.54,664400,0.0,0
2019-06-11,63.47,64.31,61.94,62.01,950800,0.0,0
2019-06-12,61.47,62.09,60.85,61.58,895500,0.0,0
2019-06-13,62.24,63.49,62.17,63.47,510700,0.0,0
2019-06-14,63.3,63.7,62.83,63.22,702800,0.0,0
2019-06-17,63.09,63.2,61.71,62.74,824800,0.0,0
2019-06-18,63.69,64.77,63.17,63.87,878700,0.0,0
2019-06-19,63.48,64.03,62.14,62.16,1131500,0.0,0
2019-06-20,63.57,63.82,62.2,63.79,914200,0.0,0
2019-06-21,63.73,66.84,63.47,65.9,1316200,0.0,0
2019-06-24,65.86,66.4,65.33,65.47,682700,0.0,0
2019-06-25,65.48,65.83,64.69,65.56,602400,0.0,0
2019-06-26,65.98,67.68,65.71,66.94,880300,0.0,0
2019-06-27,66.85,68.75,66.65,68.55,911100,0.0,0
2019-06-28,69.09,69.71,68.07,68.88,1407100,0.0,0
2019-07-01,64.45,69.97,63.86,69.4,1944000,0.0,0
2019-07-02,68.83,68.83,66.2,66.38,1201200,0.0,0
2019-07-03,66.43,67.61,65.72,67.57,398600,0.0,0
2019-07-05,67.08,69.41,66.77,69.14,614900,0.0,0
2019-07-08,68.93,69.23,67.32,67.78,1071800,0.0,0
2019-07-09,67.46,67.93,66.79,67.74,870600,0.0,0
2019-07-10,67.93,68.51,66.99,67.67,774900,0.0,0
2019-07-11,67.66,67.84,65.48,66.54,918200,0.0,0
2019-07-12,66.88,68.59,66.78,68.27,709800,0.0,0
2019-07-15,68.35,68.54,67.57,68.17,518600,0.0,0
2019-07-16,67.92,69.8,67.76,68.77,563200,0.0,0
2019-07-17,68.79,68.79,67.38,67.48,336200,0.0,0
2019-07-18,67.0,68.15,67.0,67.58,384200,0.0,0
2019-07-19,67.51,68.08,67.09,67.86,401500,0.0,0
2019-07-22,66.7,67.89,66.58,66.9,413800,0.0,0
2019-07-23,67.52,68.79,67.43,68.37,430700,0.0,0
2019-07-24,68.23,69.36,68.22,68.76,793000,0.0,0
2019-07-25,68.42,68.63,67.08,67.8,481100,0.0,0
2019-07-26,67.82,68.57,66.68,68.38,531100,0.0,0
2019-07-29,68.31,68.31,66.2,66.73,608300,0.0,0
2019-07-30,66.07,67.31,65.41,67.1,1176000,0.0,0
2019-07-31,67.17,68.9,66.25,67.0,620600,0.0,0
2019-08-01,67.0,67.25,63.98,64.28,703400,0.0,0
2019-08-02,64.01,64.27,61.48,61.76,871800,0.0,0
2019-08-05,60.7,61.66,59.57,61.4,960900,0.0,0
2019-08-06,66.5,66.5,60.91,62.52,1208800,0.0,0
2019-08-07,61.34,62.36,60.39,61.74,713200,0.0,0
2019-08-08,62.53,64.13,62.19,62.73,802500,0.0,0
2019-08-09,62.62,62.62,60.5,61.05,482100,0.0,0
2019-08-12,60.86,60.86,59.6,59.86,566700,0.0,0
2019-08-13,59.7,63.52,59.12,62.25,547300,0.0,0
2019-08-14,59.55,60.99,59.55,60.47,481500,0.0,0
2019-08-15,61.07,61.07,59.34,60.09,471900,0.0,0
2019-08-16,59.54,60.92,59.54,60.73,565900,0.0,0
2019-08-19,62.35,62.49,59.34,62.35,503600,0.0,0
2019-08-20,62.04,62.36,60.92,61.36,682800,0.0,0
2019-08-21,62.15,62.48,60.09,60.35,459200,0.0,0
2019-08-22,60.49,61.19,59.01,59.34,412500,0.0,0
2019-08-23,58.38,58.65,56.4,56.54,884300,0.0,0
2019-08-26,57.47,57.53,55.95,56.2,619800,0.263,0
2019-08-27,56.8,56.94,55.66,55.89,467100,0.0,0
2019-08-28,55.91,57.53,55.61,56.86,628600,0.0,0
2019-08-29,57.44,58.79,57.44,58.15,374100,0.0,0
2019-08-30,58.64,59.18,58.07,58.37,610800,0.0,0
2019-09-03,57.27,57.67,55.8,56.87,614200,0.0,0
2019-09-04,58.0,58.24,57.04,57.58,535800,0.0,0
2019-09-05,58.27,60.23,58.09,59.98,635200,0.0,0
2019-09-06,59.76,60.71,58.68,60.37,487100,0.0,0
2019-09-09,60.77,63.5,60.5,63.42,639500,0.0,0
2019-09-10,63.88,65.46,63.42,65.09,722600,0.0,0
2019-09-11,65.3,67.45,63.76,67.04,541300,0.0,0
2019-09-12,66.18,66.65,63.8,64.01,730500,0.0,0
2019-09-13,65.31,66.49,64.06,65.65,518800,0.0,0
2019-09-16,67.17,70.86,66.68,68.85,948200,0.0,0
