Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,25.67,25.85,25.6,25.77,5067600,0.0,0
2019-02-06,25.58,25.75,25.46,25.49,5883300,0.0,0
2019-02-07,25.35,25.47,24.84,25.14,6726000,0.0,0
2019-02-08,25.1,25.33,24.7,25.32,7757200,0.0,0
2019-02-11,25.2,25.28,25.06,25.17,9768300,0.0,0
2019-02-12,25.45,25.49,25.02,25.18,10090600,0.0,0
2019-02-13,25.32,25.68,25.31,25.47,9230400,0.0,0
2019-02-14,25.23,25.46,25.03,25.31,11008300,0.0,0
2019-02-15,25.63,25.84,25.49,25.69,11116500,0.0,0
2019-02-19,25.61,25.99,25.54,25.83,7137100,0.0,0
2019-02-20,25.86,25.94,25.72,25.77,5360200,0.0,0
2019-02-21,25.72,25.75,25.36,25.49,7616700,0.0,0
2019-02-22,25.67,25.8,25.5,25.54,6697200,0.0,0
2019-02-25,25.48,25.81,25.48,25.77,6535500,0.0,0
2019-02-26,25.81,25.96,25.38,25.41,7273800,0.0,0
2019-02-27,25.44,25.64,25.19,25.52,4630300,0.0,0
2019-02-28,25.54,25.56,25.1,25.15,8638700,0.0,0
2019-03-01,25.23,25.85,25.2,25.84,10921000,0.0,0
2019-03-04,25.88,25.96,25.48,25.81,7259800,0.0,0
2019-03-05,25.84,25.88,25.57,25.85,5494400,0.0,0
2019-03-06,25.76,25.86,25.55,25.77,6044500,0.0,0
2019-03-07,25.82,25.84,25.63,25.74,8585600,0.38,0
2019-03-08,25.55,25.77,25.21,25.73,5278600,0.0,0
2019-03-11,25.86,26.2,25.86,26.14,6013900,0.0,0
2019-03-12,26.2,26.49,26.18,26.3,4899900,0.0,0
2019-03-13,26.47,26.56,26.31,26.47,4867100,0.0,0
2019-03-14,26.47,26.61,26.4,26.49,3739200,0.0,0
2019-03-15,26.32,26.47,26.26,26.33,9076800,0.0,0
2019-03-18,26.45,26.59,26.26,26.55,7510100,0.0,0
2019-03-19,26.66,27.18,26.56,26.88,10028400,0.0,0
2019-03-20,26.9,27.28,26.74,27.09,8682600,0.0,0
2019-03-21,27.09,27.76,27.0,27.64,9138700,0.0,0
2019-03-22,27.44,27.48,27.12,27.2,7949600,0.0,0
2019-03-25,27.17,27.51,26.91,27.42,8932300,0.0,0
2019-03-26,27.68,27.89,27.17,27.33,8385200,0.0,0
2019-03-27,27.07,27.38,26.56,27.22,6329000,0.0,0
2019-03-28,27.06,27.42,27.06,27.38,5378600,0.0,0
2019-03-29,27.66,27.71,27.24,27.44,5596500,0.0,0
2019-04-01,27.59,27.99,27.38,27.97,8310500,0.0,0
2019-04-02,27.92,28.13,27.84,28.04,8204900,0.0,0
2019-04-03,28.23,28.23,27.52,27.62,6675100,0.0,0
2019-04-04,27.67,27.67,27.43,27.54,4332600,0.0,0
2019-04-05,27.52,27.95,27.5,27.81,5675900,0.0,0
2019-04-08,27.9,27.97,27.56,27.71,6099900,0.0,0
2019-04-09,27.58,27.59,27.3,27.43,6457800,0.0,0
2019-04-10,27.59,27.67,27.33,27.38,5593800,0.0,0
2019-04-11,27.33,27.5,27.19,27.48,4528800,0.0,0
2019-04-12,27.73,27.8,27.53,27.65,5062000,0.0,0
2019-04-15,27.54,27.59,27.04,27.26,5459900,0.0,0
2019-04-16,27.28,27.42,27.08,27.35,4019600,0.0,0
2019-04-17,27.5,27.59,27.11,27.12,4753000,0.0,0
2019-04-18,27.07,27.11,26.82,27.06,6097400,0.0,0
2019-04-22,27.25,27.51,27.12,27.48,4138800,0.0,0
2019-04-23,27.6,27.6,27.26,27.54,5431600,0.0,0
2019-04-24,27.55,27.57,27.33,27.4,4326300,0.0,0
2019-04-25,27.35,27.36,27.09,27.2,4900200,0.0,0
2019-04-26,27.09,27.22,26.95,27.22,5641200,0.0,0
2019-04-29,27.19,27.22,27.02,27.03,3664500,0.0,0
2019-04-30,27.17,27.2,26.79,27.07,7990900,0.0,0
2019-05-01,27.09,27.2,26.73,26.73,8314000,0.0,0
2019-05-02,26.68,26.78,26.08,26.24,10917200,0.0,0
2019-05-03,26.52,26.72,26.36,26.36,7141700,0.0,0
2019-05-06,26.19,26.48,26.11,26.16,6112900,0.0,0
2019-05-07,26.03,26.3,25.92,26.29,6422600,0.0,0
2019-05-08,26.2,26.38,25.86,25.88,7052000,0.0,0
2019-05-09,25.76,25.88,25.44,25.76,5626100,0.0,0
2019-05-10,25.74,26.37,25.69,26.32,5480400,0.0,0
2019-05-13,26.14,26.21,25.75,26.03,6293000,0.0,0
2019-05-14,26.16,26.52,26.11,26.25,4055000,0.0,0
2019-05-15,26.17,26.62,26.11,26.47,5142200,0.0,0
2019-05-16,26.66,26.66,26.32,26.4,5804700,0.0,0
2019-05-17,26.26,26.5,26.21,26.27,6336400,0.0,0
2019-05-20,26.34,26.34,26.05,26.24,5700700,0.0,0
2019-05-21,26.29,26.71,26.27,26.65,6248700,0.0,0
2019-05-22,26.56,26.64,26.05,26.4,7515900,0.0,0
2019-05-23,26.08,26.08,25.38,25.81,12596500,0.0,0
2019-05-24,26.04,26.11,25.64,25.79,6490500,0.0,0
2019-05-28,25.78,25.84,25.18,25.2,7269500,0.0,0
2019-05-29,24.94,25.17,24.75,25.13,6075300,0.0,0
2019-05-30,25.11,25.53,25.07,25.44,8568900,0.0,0
2019-05-31,25.19,25.4,25.11,25.2,5463600,0.0,0
2019-06-03,25.39,25.83,25.21,25.67,7411400,0.0,0
2019-06-04,25.8,26.47,25.76,26.46,6966100,0.0,0
2019-06-05,26.5,26.81,26.12,26.61,9042000,0.0,0
2019-06-06,26.74,26.87,26.56,26.69,7550100,0.38,0
2019-06-07,26.79,27.08,26.74,26.89,7688800,0.0,0
2019-06-10,26.91,26.98,26.57,26.62,5668000,0.0,0
2019-06-11,26.72,26.87,26.52,26.76,4720200,0.0,0
2019-06-12,26.67,26.74,26.11,26.36,5207400,0.0,0
2019-06-13,26.6,26.78,26.38,26.52,6288500,0.0,0
2019-06-14,26.57,26.57,25.91,26.14,4805000,0.0,0
2019-06-17,26.11,26.27,25.96,26.19,5665900,0.0,0
2019-06-18,26.35,26.46,26.21,26.41,8083200,0.0,0
2019-06-19,26.41,26.52,25.93,26.1,8215800,0.0,0
2019-06-20,26.5,26.83,26.12,26.47,7851700,0.0,0
2019-06-21,26.63,26.85,26.48,26.83,9916500,0.0,0
2019-06-24,26.8,27.03,26.21,26.3,6609100,0.0,0
2019-06-25,26.3,26.37,25.89,25.95,6368600,0.0,0
2019-06-26,26.37,26.96,26.26,26.64,8269300,0.0,0
2019-06-27,26.63,26.83,26.55,26.68,6886300,0.0,0
2019-06-28,26.71,27.19,26.63,27.16,8299800,0.0,0
2019-07-01,27.45,27.53,27.12,27.18,5511900,0.0,0
2019-07-02,27.18,27.42,27.12,27.32,6771300,0.0,0
2019-07-03,27.45,27.51,27.29,27.5,3105300,0.0,0
2019-07-05,27.41,27.48,27.14,27.46,3503400,0.0,0
2019-07-08,27.44,27.68,27.35,27.55,4869100,0.0,0
2019-07-09,27.43,27.97,27.36,27.84,5811500,0.0,0
2019-07-10,27.97,28.15,27.86,27.92,6074800,0.0,0
2019-07-11,27.97,28.03,27.73,27.81,4450600,0.0,0
2019-07-12,27.88,28.08,27.8,27.95,3864300,0.0,0
2019-07-15,27.95,27.95,27.71,27.9,5132700,0.0,0
2019-07-16,27.56,27.56,27.12,27.32,9328600,0.0,0
2019-07-17,27.32,27.44,26.85,26.85,6688900,0.0,0
2019-07-18,26.77,26.79,26.5,26.7,6281300,0.0,0
2019-07-19,26.74,26.79,26.55,26.71,5383300,0.0,0
2019-07-22,26.76,26.85,26.53,26.75,4301400,0.0,0
2019-07-23,26.76,26.93,26.43,26.45,5686600,0.0,0
2019-07-24,26.36,26.42,26.02,26.06,7909300,0.0,0
2019-07-25,26.16,26.19,25.4,25.49,9290500,0.0,0
2019-07-26,25.32,25.43,24.3,24.34,20259900,0.0,0
2019-07-29,24.3,24.42,23.94,24.01,10763500,0.0,0
2019-07-30,23.91,24.36,23.89,24.24,8156400,0.0,0
2019-07-31,24.22,24.4,23.65,23.87,18840700,0.0,0
2019-08-01,25.11,25.46,24.71,24.72,14781800,0.0,0
2019-08-02,24.79,25.02,24.13,24.23,11861000,0.0,0
2019-08-05,23.62,23.72,22.85,23.03,14376400,0.0,0
2019-08-06,23.03,23.29,22.4,22.79,10998900,0.0,0
2019-08-07,22.51,23.0,22.35,22.88,13704000,0.0,0
2019-08-08,22.87,23.28,22.7,23.28,10279400,0.0,0
2019-08-09,23.3,23.48,23.01,23.24,7444700,0.0,0
2019-08-12,23.16,23.32,22.78,22.96,5460200,0.0,0
2019-08-13,22.87,23.32,22.85,23.14,7823300,0.0,0
2019-08-14,22.8,22.85,22.33,22.39,9292800,0.0,0
2019-08-15,22.38,22.53,22.18,22.2,10311300,0.0,0
2019-08-16,22.33,22.64,22.23,22.55,10550700,0.0,0
2019-08-19,22.78,22.92,22.63,22.82,10423800,0.0,0
2019-08-20,22.83,23.0,22.66,22.79,7362500,0.0,0
2019-08-21,22.97,23.31,22.85,23.13,10310700,0.0,0
2019-08-22,23.19,23.23,22.86,22.86,5790900,0.0,0
2019-08-23,22.75,22.78,22.08,22.16,8263800,0.0,0
2019-08-26,22.49,22.56,22.12,22.21,5756600,0.0,0
2019-08-27,22.29,22.42,22.05,22.2,8321000,0.0,0
2019-08-28,22.28,22.73,22.19,22.6,5692400,0.0,0
2019-08-29,22.8,23.12,22.67,22.97,6322100,0.0,0
2019-08-30,23.05,23.14,22.71,22.86,5842800,0.0,0
2019-09-03,22.67,22.86,22.49,22.81,4491500,0.0,0
2019-09-04,23.04,23.19,22.92,22.96,6720100,0.0,0
2019-09-05,23.09,23.46,23.04,23.32,8855600,0.0,0
2019-09-06,23.27,23.45,23.11,23.36,4950700,0.0,0
2019-09-09,23.51,23.96,23.49,23.91,7065500,0.0,0
2019-09-10,23.95,24.37,23.91,24.07,9107100,0.0,0
2019-09-11,24.1,24.29,23.91,24.18,7274200,0.0,0
2019-09-12,24.01,24.09,23.67,23.89,6851300,0.38,0
2019-09-13,24.03,24.36,23.99,24.3,6009900,0.0,0
2019-09-16,24.68,24.88,24.29,24.58,9808500,0.0,0
2019-09-17,24.48,24.85,24.22,24.59,7963900,0.0,0
2019-09-18,24.46,24.57,24.25,24.43,4729800,0.0,0
2019-09-19,24.63,24.73,24.37,24.4,4554700,0.0,0
2019-09-20,24.47,24.52,24.12,24.31,11242900,0.0,0
2019-09-23,24.2,24.44,24.17,24.21,5322600,0.0,0
2019-09-24,24.18,24.25,23.7,23.89,7468300,0.0,0
2019-09-25,23.8,24.05,23.76,24.0,6603700,0.0,0
2019-09-26,23.92,23.99,23.41,23.73,7394800,0.0,0
2019-09-27,23.71,24.0,23.65,23.8,5016900,0.0,0
2019-09-30,23.84,23.97,23.56,23.67,5806600,0.0,0
2019-10-01,23.77,23.92,23.37,23.43,7417800,0.0,0
2019-10-02,23.33,23.36,22.94,22.99,7412300,0.0,0
2019-10-03,22.9,23.23,22.65,23.17,6231300,0.0,0
2019-10-04,23.25,23.39,23.1,23.26,6041500,0.0,0
