Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,53.66,53.88,53.5,53.65,161700,0.0,0
2019-02-06,53.13,53.53,51.19,51.25,415800,0.0,0
2019-02-07,49.62,49.64,47.83,48.66,801900,0.0,0
2019-02-08,48.73,49.37,48.54,49.29,280400,0.0,0
2019-02-11,49.95,50.03,49.69,49.76,270200,0.0,0
2019-02-12,50.3,50.39,49.42,49.8,167300,0.0,0
2019-02-13,50.53,50.9,50.3,50.37,156100,0.0,0
2019-02-14,50.26,50.77,50.12,50.43,161700,0.0,0
2019-02-15,51.12,51.2,50.83,51.14,151300,0.0,0
2019-02-19,51.55,52.01,51.35,51.87,114700,0.0,0
2019-02-20,51.93,52.44,51.93,52.12,132200,0.0,0
2019-02-21,51.56,52.04,51.5,51.94,185800,0.0,0
2019-02-22,51.82,52.14,51.7,51.92,151400,0.0,0
2019-02-25,52.42,52.72,52.32,52.53,157200,0.0,0
2019-02-26,52.55,53.04,50.85,52.69,330900,0.0,0
2019-02-27,52.28,52.36,51.82,51.84,165300,0.0,0
2019-02-28,51.57,51.98,51.29,51.66,130400,0.0,0
2019-03-01,55.32,55.53,53.76,53.83,341700,0.0,0
2019-03-04,54.28,54.28,53.56,53.86,292400,0.0,0
2019-03-05,54.07,54.16,53.79,54.05,186200,0.0,0
2019-03-06,54.16,54.34,53.88,54.12,163800,0.0,0
2019-03-07,53.39,53.43,52.94,53.01,101200,0.0,0
2019-03-08,52.59,52.71,52.28,52.48,87700,0.0,0
2019-03-11,52.33,53.01,52.33,52.8,149600,0.0,0
2019-03-12,52.79,52.9,52.38,52.51,144700,0.0,0
2019-03-13,53.08,53.35,52.95,53.12,136000,0.0,0
2019-03-14,53.35,54.1,53.12,53.19,171500,0.0,0
2019-03-15,53.36,53.48,53.06,53.32,216600,0.0,0
2019-03-18,53.89,54.02,53.49,53.71,129000,0.0,0
2019-03-19,54.53,54.58,54.12,54.25,132100,0.0,0
2019-03-20,54.23,54.26,53.42,53.89,120600,0.0,0
2019-03-21,52.55,52.67,51.68,52.06,213000,0.0,0
2019-03-22,51.56,51.73,50.84,50.98,153100,0.0,0
2019-03-25,50.24,50.4,49.57,49.71,135200,0.0,0
2019-03-26,50.04,50.07,49.48,49.54,146300,0.0,0
2019-03-27,50.04,50.47,49.69,50.3,211600,0.0,0
2019-03-28,49.82,49.95,49.55,49.91,157500,0.0,0
2019-03-29,49.78,50.02,49.4,49.6,151900,0.0,0
2019-04-01,51.61,51.75,51.2,51.35,153300,0.0,0
2019-04-02,51.65,51.79,51.12,51.33,140300,0.0,0
2019-04-03,52.36,52.61,52.27,52.47,142800,0.0,0
2019-04-04,52.3,52.42,52.12,52.22,111500,0.0,0
2019-04-05,52.96,53.38,52.93,53.16,115600,0.0,0
2019-04-08,52.43,52.58,52.18,52.53,100100,0.0,0
2019-04-09,53.51,53.59,53.15,53.27,117400,0.0,0
2019-04-10,53.79,53.86,53.48,53.74,220300,0.0,0
2019-04-11,54.06,54.3,53.75,53.93,217900,0.0,0
2019-04-12,53.54,53.84,53.2,53.79,220400,0.0,0
2019-04-15,54.3,54.78,54.27,54.47,154400,0.0,0
2019-04-16,55.58,56.02,55.55,55.73,121100,0.0,0
2019-04-17,56.67,56.76,56.25,56.6,121100,0.0,0
2019-04-18,56.51,57.08,56.47,56.74,134900,0.0,0
2019-04-22,56.43,56.86,56.05,56.24,127400,0.0,0
2019-04-23,56.76,56.95,56.43,56.71,193200,0.0,0
2019-04-24,55.61,55.73,55.03,55.13,394300,0.0,0
2019-04-25,55.19,55.4,54.83,54.9,175600,0.0,0
2019-04-26,57.63,58.71,57.52,57.98,251600,0.0,0
2019-04-29,58.97,59.01,58.21,58.33,165200,0.0,0
2019-04-30,58.66,58.69,58.02,58.53,186800,0.0,0
2019-05-01,59.1,59.48,58.56,58.59,165400,0.0,0
2019-05-02,60.06,60.08,59.06,59.38,262700,0.0,0
2019-05-03,59.69,60.34,59.66,60.0,165000,0.0,0
2019-05-06,58.65,59.79,58.32,59.7,264900,0.0,0
2019-05-07,58.84,59.04,58.56,58.95,254800,0.0,0
2019-05-08,59.1,59.65,58.91,59.37,211800,0.0,0
2019-05-09,58.61,59.1,58.5,59.01,161400,0.0,0
2019-05-10,59.11,59.45,58.66,59.45,152800,0.0,0
2019-05-13,57.49,57.57,56.96,57.03,142500,0.0,0
2019-05-14,57.52,58.01,57.5,57.68,137600,0.0,0
2019-05-15,57.05,57.86,57.0,57.73,93100,0.0,0
2019-05-16,57.27,58.35,57.27,57.81,215400,0.0,0
2019-05-17,57.46,57.84,57.43,57.73,147100,0.0,0
2019-05-20,57.61,57.61,56.92,57.05,151700,0.0,0
2019-05-21,57.18,57.62,56.94,57.43,227000,0.0,0
2019-05-22,57.66,58.25,57.37,57.76,185100,0.0,0
2019-05-23,56.08,56.59,55.78,56.44,192100,0.0,0
2019-05-24,56.86,57.04,56.55,56.91,74700,0.0,0
2019-05-28,56.96,57.56,56.9,57.1,118100,0.0,0
2019-05-29,56.32,56.48,56.11,56.43,173300,0.0,0
2019-05-30,56.65,56.9,56.49,56.58,134100,0.0,0
2019-05-31,55.6,55.94,55.45,55.89,125900,0.0,0
2019-06-03,56.23,57.09,56.11,56.85,156800,0.0,0
2019-06-04,57.91,58.21,57.36,58.21,135800,0.0,0
2019-06-05,57.83,57.89,57.43,57.58,226700,0.0,0
2019-06-06,57.87,58.18,57.45,57.83,113500,0.0,0
2019-06-07,59.16,59.52,58.91,58.92,142400,0.0,0
2019-06-10,59.19,59.54,59.19,59.47,130100,0.0,0
2019-06-11,59.94,59.94,59.47,59.52,171900,0.0,0
2019-06-12,59.97,60.1,59.73,60.01,295900,0.0,0
2019-06-13,59.75,59.84,59.32,59.47,112700,2.475,0
2019-06-14,59.5,59.52,58.95,59.2,97900,0.0,0
2019-06-17,59.98,60.23,59.49,59.59,123100,0.0,0
2019-06-18,60.04,60.58,60.04,60.3,223600,0.0,0
2019-06-19,60.77,61.26,60.72,61.2,100200,0.0,0
2019-06-20,61.56,61.56,60.88,61.19,157800,0.0,0
2019-06-21,60.35,60.65,60.04,60.49,233700,0.0,0
2019-06-24,59.9,60.39,59.86,60.26,124000,0.0,0
2019-06-25,60.39,60.56,60.2,60.28,120600,0.0,0
2019-06-26,60.43,60.96,60.32,60.75,159000,0.0,0
2019-06-27,60.55,60.93,60.52,60.62,84300,0.0,0
2019-06-28,61.2,61.62,61.18,61.49,83300,0.0,0
2019-07-01,62.77,62.83,62.41,62.75,220200,0.0,0
2019-07-02,60.95,61.2,60.64,61.01,176600,0.0,0
2019-07-03,61.13,61.42,60.85,61.39,109600,0.0,0
2019-07-05,60.79,61.18,60.38,61.18,104800,0.0,0
2019-07-08,60.23,60.46,60.05,60.31,161900,0.0,0
2019-07-09,59.59,60.01,59.56,59.87,128100,0.0,0
2019-07-10,58.62,59.19,58.42,59.0,210500,0.0,0
2019-07-11,58.94,58.98,58.57,58.82,133900,0.0,0
2019-07-12,59.05,59.27,58.93,59.26,92600,0.0,0
2019-07-15,58.67,58.77,58.48,58.76,154200,0.0,0
2019-07-16,58.08,58.46,57.96,58.14,159300,0.0,0
2019-07-17,57.97,57.97,57.18,57.42,228100,0.0,0
2019-07-18,57.24,57.36,55.82,57.05,312300,0.0,0
2019-07-19,56.07,56.44,55.77,56.26,343700,0.0,0
2019-07-22,56.37,56.7,56.23,56.58,137100,0.0,0
2019-07-23,56.52,56.65,56.33,56.49,148500,0.0,0
2019-07-24,56.79,57.57,56.73,57.48,217900,0.0,0
2019-07-25,57.74,57.74,57.26,57.36,118800,0.0,0
2019-07-26,57.76,58.1,57.68,58.04,101100,0.0,0
2019-07-29,58.22,58.5,58.12,58.29,88000,0.0,0
2019-07-30,58.12,58.27,57.87,57.92,98300,0.0,0
2019-07-31,58.36,58.36,57.22,57.55,90000,0.0,0
2019-08-01,57.62,58.04,57.01,57.28,104700,0.0,0
2019-08-02,55.72,55.92,55.47,55.72,309300,0.0,0
2019-08-05,54.19,54.32,53.73,53.97,192300,0.0,0
2019-08-06,54.04,54.3,53.55,54.03,171600,0.0,0
2019-08-07,53.76,54.54,53.73,54.47,189400,0.0,0
2019-08-08,54.3,55.36,54.22,55.01,243700,0.0,0
2019-08-09,58.46,58.5,57.66,57.86,282900,0.0,0
2019-08-12,57.64,57.85,56.7,56.91,243000,0.0,0
2019-08-13,57.3,58.15,57.15,57.26,177200,0.0,0
2019-08-14,56.54,56.7,55.64,55.68,156300,0.0,0
2019-08-15,55.33,55.76,55.15,55.4,123700,0.0,0
2019-08-16,56.23,56.76,55.89,56.71,154300,0.0,0
2019-08-19,56.99,57.05,56.61,56.65,121200,0.0,0
2019-08-20,56.31,56.33,55.67,55.95,145300,0.0,0
