Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,12.91,13.3,12.88,12.92,11207700,0,0
2019-02-06,12.79,13.05,12.71,12.89,7879500,0,0
2019-02-07,12.76,12.81,12.12,12.24,8949100,0,0
2019-02-08,12.2,12.26,11.74,11.91,13681400,0,0
2019-02-11,11.75,12.19,11.7,12.17,6880100,0,0
2019-02-12,12.5,12.75,12.3,12.33,5854600,0,0
2019-02-13,12.43,12.85,12.41,12.74,6740300,0,0
2019-02-14,12.64,13.15,12.63,13.02,5125400,0,0
2019-02-15,13.17,13.45,13.11,13.41,6526700,0,0
2019-02-19,13.34,13.46,13.22,13.24,5170300,0,0
2019-02-20,13.24,13.43,13.12,13.4,10211400,0,0
2019-02-21,13.27,13.39,12.58,12.95,13554300,0,0
2019-02-22,13.14,13.14,12.67,12.84,15572500,0,0
2019-02-25,12.72,12.87,12.41,12.47,8967900,0,0
2019-02-26,12.43,12.78,12.28,12.3,6126100,0,0
2019-02-27,12.43,12.97,12.28,12.59,7308600,0,0
2019-02-28,12.63,12.7,12.3,12.34,6491100,0,0
2019-03-01,12.44,12.75,12.38,12.54,6557000,0,0
2019-03-04,12.68,12.75,12.38,12.7,4107800,0,0
2019-03-05,12.78,12.81,12.5,12.62,4709300,0,0
2019-03-06,12.52,12.54,12.11,12.12,5412600,0,0
2019-03-07,12.15,12.18,11.77,11.93,4597000,0,0
2019-03-08,11.63,11.63,11.27,11.41,7073400,0,0
2019-03-11,11.48,11.7,11.28,11.59,8595800,0,0
2019-03-12,11.68,11.96,11.63,11.91,5175800,0,0
2019-03-13,12.08,12.48,12.04,12.43,6300400,0,0
2019-03-14,12.44,12.56,12.35,12.44,3208800,0,0
2019-03-15,12.32,12.48,12.26,12.44,6267400,0,0
2019-03-18,12.51,12.74,12.46,12.71,5921700,0,0
2019-03-19,12.84,12.84,12.42,12.5,4587200,0,0
2019-03-20,12.38,13.14,12.38,12.98,4639900,0,0
2019-03-21,12.88,13.23,12.88,13.18,4643600,0,0
2019-03-22,13.01,13.15,12.28,12.31,8160300,0,0
2019-03-25,12.28,12.46,12.09,12.39,3756600,0,0
2019-03-26,12.75,12.99,12.68,12.85,4829100,0,0
2019-03-27,12.84,13.06,12.69,12.9,6568700,0,0
2019-03-28,12.8,13.12,12.78,13.07,4459200,0,0
2019-03-29,13.37,13.47,13.05,13.11,6960900,0,0
2019-04-01,13.3,13.54,13.25,13.53,8729700,0,0
2019-04-02,14.02,14.05,13.26,13.35,12957500,0,0
2019-04-03,13.46,13.5,12.61,12.86,13753800,0,0
2019-04-04,12.89,13.19,12.59,13.05,8473100,0,0
2019-04-05,13.14,13.65,13.14,13.63,7987800,0,0
2019-04-08,13.67,13.91,13.56,13.69,6524700,0,0
2019-04-09,13.6,13.62,13.39,13.44,5366900,0,0
2019-04-10,13.52,13.65,13.33,13.48,7358300,0,0
2019-04-11,13.4,13.63,13.19,13.42,8449000,0,0
2019-04-12,14.15,14.39,13.98,14.31,16830300,0,0
2019-04-15,14.22,14.69,14.14,14.5,10439900,0,0
2019-04-16,14.55,14.79,14.39,14.65,8282200,0,0
2019-04-17,14.81,14.96,14.57,14.58,6857100,0,0
2019-04-18,14.7,14.86,14.61,14.74,7063900,0,0
2019-04-22,15.0,15.25,14.76,15.23,8631400,0,0
2019-04-23,15.26,15.33,14.84,15.09,6562200,0,0
2019-04-24,15.13,15.15,14.74,14.74,7624700,0,0
2019-04-25,14.78,14.87,14.5,14.52,5480900,0,0
2019-04-26,14.39,14.41,13.84,14.07,6767800,0,0
2019-04-29,14.06,14.22,13.96,14.09,6045300,0,0
2019-04-30,14.25,14.25,13.86,13.89,6425600,0,0
2019-05-01,13.87,14.0,13.23,13.23,8124400,0,0
2019-05-02,13.1,13.21,12.47,12.51,11354700,0,0
2019-05-03,12.63,12.85,12.48,12.79,7575900,0,0
2019-05-06,12.57,13.0,12.49,12.9,6981800,0,0
2019-05-07,12.66,12.7,12.2,12.38,6087600,0,0
2019-05-08,12.31,12.79,12.19,12.54,8219700,0,0
2019-05-09,12.35,12.52,12.04,12.46,13421400,0,0
2019-05-10,12.37,12.61,12.21,12.5,7979300,0,0
2019-05-13,12.7,12.7,12.03,12.2,8181200,0,0
2019-05-14,12.31,12.87,12.27,12.76,7484600,0,0
2019-05-15,12.6,12.95,12.51,12.84,5340000,0,0
2019-05-16,12.96,13.29,12.96,13.0,5160500,0,0
2019-05-17,12.86,12.97,12.5,12.52,5618500,0,0
2019-05-20,12.44,12.56,12.18,12.28,5638400,0,0
2019-05-21,12.35,12.77,12.35,12.69,6757900,0,0
2019-05-22,12.58,12.6,11.81,11.92,8307100,0,0
2019-05-23,11.63,11.65,11.1,11.33,11745100,0,0
2019-05-24,11.46,11.53,11.0,11.28,8692700,0,0
2019-05-28,11.35,11.37,11.12,11.17,6580100,0,0
2019-05-29,10.83,11.27,10.5,11.26,6500700,0,0
2019-05-30,11.23,11.37,10.9,10.93,6323300,0,0
2019-05-31,10.6,11.06,10.6,10.76,7623700,0,0
