Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,51.24,51.73,50.87,51.73,494700,0.0,0.0
2019-02-06,51.58,51.94,51.38,51.89,462400,0.0,0.0
2019-02-07,51.78,52.62,51.78,52.51,682900,0.0,0.0
2019-02-08,52.24,52.54,51.59,52.08,528000,0.0,0.0
2019-02-11,52.16,52.17,51.78,52.11,481800,0.0,0.0
2019-02-12,52.23,52.47,52.12,52.37,504900,0.0,0.0
2019-02-13,52.54,53.01,52.5,52.95,413100,0.0,0.0
2019-02-14,52.76,53.09,52.39,52.51,570400,0.0,0.0
2019-02-15,52.85,53.24,52.77,52.87,714000,0.0,0.0
2019-02-19,52.73,53.36,52.67,53.24,397000,0.0,0.0
2019-02-20,53.19,53.66,53.0,53.65,392800,0.0,0.0
2019-02-21,53.65,53.71,53.24,53.53,369900,0.0,0.0
2019-02-22,53.73,53.89,53.45,53.62,381900,0.0,0.0
2019-02-25,53.69,53.87,52.58,53.09,1177900,0.0,0.0
2019-02-26,52.9,53.63,52.9,53.43,581100,0.0,0.0
2019-02-27,53.77,54.19,53.53,53.95,529600,0.0,0.0
2019-02-28,54.05,54.73,54.03,54.34,917100,0.0,0.0
2019-03-01,54.66,54.99,54.46,54.78,623800,0.0,0.0
2019-03-04,54.88,54.95,54.04,54.51,647100,0.0,0.0
2019-03-05,54.66,54.66,54.18,54.45,386800,0.0,0.0
2019-03-06,54.39,54.67,53.72,53.98,450600,0.0,0.0
2019-03-07,54.0,54.0,53.4,53.76,434700,0.0,0.0
2019-03-08,53.65,53.87,53.47,53.78,514800,0.0,0.0
2019-03-11,54.06,54.19,53.83,53.93,461500,0.0,0.0
2019-03-12,54.08,54.38,53.91,54.17,346100,0.0,1.0
2019-03-13,54.26,54.38,53.82,53.96,467700,0.15,0.0
2019-03-14,53.98,54.48,53.57,54.29,320500,0.0,0.0
2019-03-15,54.26,55.02,54.09,54.48,640800,0.0,0.0
2019-03-18,54.56,54.98,54.5,54.75,247300,0.0,0.0
2019-03-19,54.83,54.97,54.03,54.11,211200,0.0,0.0
2019-03-20,54.06,54.49,53.79,53.91,271800,0.0,0.0
2019-03-21,53.68,54.8,53.58,54.69,199900,0.0,0.0
2019-03-22,54.46,55.14,54.31,54.41,394000,0.0,0.0
2019-03-25,54.41,55.02,54.33,54.69,412300,0.0,0.0
2019-03-26,54.92,55.3,54.42,54.78,242100,0.0,0.0
2019-03-27,54.82,55.27,54.78,55.11,235700,0.0,0.0
2019-03-28,55.26,55.45,54.61,55.11,339700,0.0,0.0
2019-03-29,55.37,55.46,55.03,55.18,549700,0.0,0.0
2019-04-01,55.38,55.55,54.87,55.25,269000,0.0,0.0
2019-04-02,55.29,55.36,54.69,55.07,209400,0.0,0.0
2019-04-03,55.38,55.56,54.29,55.46,671000,0.0,1.5
2019-04-04,55.57,55.82,55.07,55.56,564100,0.0,0.0
2019-04-05,55.63,55.92,55.47,55.86,409900,0.0,0.0
