Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,104.51,105.68,103.26,103.38,321700,0.0,0
2019-02-06,103.82,104.05,102.57,103.42,408500,0.0,0
2019-02-07,103.34,103.71,102.1,102.32,419300,0.0,0
2019-02-08,101.93,103.12,101.32,102.21,602600,0.0,0
2019-02-11,102.49,103.86,102.27,103.09,705100,0.0,0
2019-02-12,104.11,104.66,103.36,104.47,429700,0.0,0
2019-02-13,104.47,105.49,104.03,105.35,627700,0.0,0
2019-02-14,100.14,104.96,98.14,100.43,1187600,0.0,0
2019-02-15,100.5,102.36,100.46,101.44,1215700,0.0,0
2019-02-19,101.43,102.8,101.13,102.03,1877200,0.0,0
2019-02-20,102.06,102.52,101.26,102.39,1202600,0.0,0
2019-02-21,102.79,104.69,102.72,103.35,448100,0.0,0
2019-02-22,103.9,104.12,103.0,103.79,338400,0.0,0
2019-02-25,104.47,105.44,104.1,104.62,475300,0.0,0
2019-02-26,104.6,104.79,103.23,103.29,344700,0.0,0
2019-02-27,103.0,104.01,102.57,103.41,182900,0.0,0
2019-02-28,103.39,104.79,103.03,104.26,519000,0.0,0
2019-03-01,104.6,106.5,104.6,105.65,447100,0.0,0
2019-03-04,105.76,105.76,103.17,104.41,441500,0.0,0
2019-03-05,104.59,104.59,103.5,104.0,421700,0.0,0
2019-03-06,103.86,104.61,101.84,102.13,447100,0.0,0
2019-03-07,101.81,102.77,101.6,101.99,325700,0.0,0
2019-03-08,101.39,101.8,100.68,101.1,356100,0.0,0
2019-03-11,101.5,102.68,101.34,102.56,200800,0.0,0
2019-03-12,102.59,103.22,102.19,102.95,326500,0.0,0
2019-03-13,103.11,104.93,102.73,104.75,595000,0.0,0
2019-03-14,104.6,105.69,104.29,105.52,481800,0.0,0
2019-03-15,105.64,106.21,104.8,105.22,880800,0.0,0
2019-03-18,105.61,105.61,103.6,105.45,369400,0.0,0
2019-03-19,105.98,105.98,104.78,105.29,471500,0.0,0
2019-03-20,105.32,105.56,103.87,104.6,257300,0.0,0
2019-03-21,104.17,106.85,104.17,106.31,328400,0.0,0
2019-03-22,105.6,106.35,103.04,103.19,232200,0.0,0
2019-03-25,103.17,104.78,102.57,104.47,441400,0.0,0
2019-03-26,105.38,105.78,104.33,105.01,301400,0.0,0
2019-03-27,104.98,106.36,104.24,105.83,403700,0.0,0
2019-03-28,106.15,108.25,105.64,107.06,488200,0.0,0
2019-03-29,107.83,109.88,107.61,109.69,486000,0.0,0
2019-04-01,110.32,111.87,109.58,111.26,608500,0.0,0
2019-04-02,111.29,111.29,109.62,110.75,337600,0.0,0
2019-04-03,111.4,112.35,110.76,111.28,473500,0.0,0
2019-04-04,111.5,111.76,110.15,111.34,364000,0.0,0
2019-04-05,111.59,113.41,111.14,112.34,291800,0.0,0
2019-04-08,111.9,112.65,110.57,112.6,263700,0.0,0
2019-04-09,111.8,113.12,111.64,112.42,286600,0.0,0
2019-04-10,112.56,114.13,112.21,114.02,240900,0.0,0
2019-04-11,113.94,114.14,112.72,114.0,277800,0.0,0
2019-04-12,114.52,115.57,113.95,115.23,323600,0.0,0
2019-04-15,115.37,116.61,115.3,116.36,421600,0.0,0
2019-04-16,116.8,116.99,112.95,113.51,429700,0.15,0
2019-04-17,114.0,114.0,110.47,111.26,317100,0.0,0
2019-04-18,111.66,112.32,109.51,111.14,379800,0.0,0
2019-04-22,110.47,112.16,109.77,111.78,393900,0.0,0
2019-04-23,113.04,115.02,111.95,114.81,286800,0.0,0
2019-04-24,114.61,115.67,113.99,114.82,385900,0.0,0
2019-04-25,119.25,122.67,117.6,121.85,779500,0.0,0
2019-04-26,122.21,123.68,120.09,123.26,459200,0.0,0
2019-04-29,122.74,123.39,121.3,121.9,368100,0.0,0
2019-04-30,121.74,123.52,121.74,123.37,226500,0.0,0
2019-05-01,121.04,122.78,119.86,120.18,426100,0.0,0
2019-05-02,119.79,121.6,119.3,121.43,208700,0.0,0
2019-05-03,122.01,122.77,121.6,122.44,433500,0.0,0
2019-05-06,120.56,122.64,120.56,122.37,444000,0.0,0
2019-05-07,121.31,122.13,119.89,120.99,279700,0.0,0
2019-05-08,121.15,121.51,119.97,120.03,307900,0.0,0
2019-05-09,118.83,120.61,117.95,120.04,180800,0.0,0
2019-05-10,119.46,120.44,117.31,120.0,192200,0.0,0
2019-05-13,117.97,118.44,116.7,117.15,201700,0.0,0
2019-05-14,117.25,117.41,115.31,115.93,470300,0.0,0
2019-05-15,115.4,116.75,114.97,116.01,214100,0.0,0
2019-05-16,116.44,118.18,116.44,116.77,349000,0.0,0
2019-05-17,116.1,116.98,115.63,116.02,176200,0.0,0
2019-05-20,115.61,117.12,114.69,117.04,354400,0.0,0
2019-05-21,117.84,119.28,117.41,118.13,241400,0.0,0
2019-05-22,118.06,118.6,117.14,117.8,132300,0.0,0
2019-05-23,117.2,117.39,115.39,115.67,196100,0.0,0
2019-05-24,116.45,117.63,115.57,115.9,154700,0.0,0
2019-05-28,115.92,117.18,114.88,115.27,141500,0.0,0
2019-05-29,114.64,115.16,113.78,114.98,161600,0.0,0
2019-05-30,115.13,116.27,114.96,115.45,124400,0.0,0
2019-05-31,113.76,114.76,112.66,114.21,212200,0.0,0
