Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,899.65,900.81,887.96,892.71,16500,0.0,0
2019-02-06,888.99,896.97,885.54,892.38,16500,0.0,0
2019-02-07,889.03,909.01,888.47,902.38,16600,0.0,0
2019-02-08,902.12,909.85,902.12,905.21,8300,0.0,0
2019-02-11,902.27,923.98,902.27,922.05,15300,0.0,0
2019-02-12,924.95,927.99,914.34,914.34,16300,0.0,0
2019-02-13,914.33,916.49,900.02,902.53,11000,0.0,0
2019-02-14,899.02,901.02,897.52,899.48,13600,0.0,0
2019-02-15,902.02,910.41,902.02,905.01,14800,0.0,0
2019-02-19,901.43,907.13,899.6,903.85,5400,0.0,0
2019-02-20,908.66,912.5,906.01,910.9,7800,0.0,0
2019-02-21,910.41,913.56,910.01,913.01,6900,0.0,0
2019-02-22,913.05,922.89,913.05,920.07,7800,0.0,0
2019-02-25,925.99,928.03,923.65,923.65,5600,0.0,0
2019-02-26,917.9,925.0,917.9,923.41,8200,0.0,0
2019-02-27,921.24,939.77,921.24,933.68,13500,0.0,0
2019-02-28,932.28,941.77,932.28,938.37,12300,0.0,0
2019-03-01,941.77,943.6,936.93,936.93,11000,0.0,0
2019-03-04,944.38,946.16,939.56,943.97,12300,0.0,0
2019-03-05,945.97,953.96,944.84,952.95,10600,0.0,0
2019-03-06,952.36,960.44,952.36,953.44,9700,0.0,0
2019-03-07,951.97,951.97,936.66,936.66,11400,0.0,0
2019-03-08,932.71,933.58,919.0,919.0,7500,0.0,0
2019-03-11,919.12,920.49,905.17,907.41,11400,0.0,0
2019-03-12,907.01,907.15,902.52,907.15,12800,0.0,0
2019-03-13,906.95,913.0,903.12,911.94,11100,0.0,0
2019-03-14,911.25,919.61,911.25,918.48,12100,0.0,0
2019-03-15,919.59,922.0,917.0,919.0,18600,1.0,0
2019-03-18,922.01,926.09,921.0,926.09,10700,0.0,0
2019-03-19,925.21,929.76,919.75,925.11,15900,0.0,0
2019-03-20,922.0,925.02,908.63,914.0,8200,0.0,0
2019-03-21,914.0,921.73,914.0,917.7,7000,0.0,0
2019-03-22,914.0,930.29,914.0,926.03,8000,0.0,0
2019-03-25,925.76,928.31,915.22,918.63,13100,0.0,0
2019-03-26,913.14,922.15,912.74,921.73,8200,0.0,0
2019-03-27,922.66,926.95,917.56,924.26,10100,0.0,0
2019-03-28,926.11,927.31,916.87,924.7,19900,0.0,0
2019-03-29,927.5,930.26,923.51,925.48,14900,0.0,0
2019-04-01,924.15,929.24,923.07,925.0,9800,0.0,0
2019-04-02,925.0,925.08,918.6,924.28,14900,0.0,0
2019-04-03,933.5,933.5,923.7,924.07,7300,0.0,0
2019-04-04,923.65,929.18,914.0,917.91,9400,0.0,0
2019-04-05,919.01,923.65,917.09,917.09,7900,0.0,0
2019-04-08,920.22,923.67,913.0,921.3,10900,0.0,0
2019-04-09,920.98,920.98,912.5,913.4,8000,0.0,0
2019-04-10,914.99,915.91,909.91,911.86,11100,0.0,0
2019-04-11,913.65,913.92,911.14,912.92,4100,0.0,0
2019-04-12,916.95,916.95,907.95,912.65,8000,0.0,0
2019-04-15,908.6,914.45,906.62,912.3,5000,0.0,0
2019-04-16,912.9,916.47,911.46,912.32,4500,0.0,0
2019-04-17,913.15,917.8,909.56,912.5,6600,0.0,0
2019-04-18,913.3,919.33,913.3,913.44,4600,0.0,0
2019-04-22,914.3,914.8,906.22,911.09,7800,0.0,0
2019-04-23,910.11,925.62,910.11,925.58,10600,0.0,0
2019-04-24,925.24,936.0,925.24,930.45,10800,0.0,0
2019-04-25,928.4,940.84,926.45,927.08,14000,0.0,0
2019-04-26,924.44,954.23,924.44,943.53,16200,0.0,0
2019-04-29,942.71,947.21,937.95,937.95,10100,0.0,0
2019-04-30,942.99,946.87,939.04,939.04,11900,0.0,0
2019-05-01,940.4,948.43,920.95,920.95,12700,0.0,0
2019-05-02,920.03,924.4,918.3,924.04,7400,0.0,0
2019-05-03,924.15,943.63,923.01,941.09,10500,0.0,0
2019-05-06,935.0,935.0,925.5,931.0,24600,0.0,0
2019-05-07,930.0,937.55,930.0,932.63,14700,0.0,0
2019-05-08,932.77,961.17,932.63,955.87,14800,0.0,0
2019-05-09,954.78,993.7,954.78,975.99,39700,0.0,0
2019-05-10,975.09,979.41,961.64,966.8,8600,0.0,0
2019-05-13,959.34,962.16,942.01,946.59,11100,0.0,0
2019-05-14,947.83,947.83,937.14,944.43,13200,0.0,0
2019-05-15,946.19,949.64,939.0,949.57,11600,0.0,0
2019-05-16,952.85,984.59,949.79,973.31,28600,0.0,0
2019-05-17,968.64,980.23,967.78,969.65,13800,0.0,0
2019-05-20,965.55,975.37,950.5,958.94,12400,0.0,0
2019-05-21,960.21,969.0,956.1,962.24,11200,0.0,0
2019-05-22,961.52,984.67,958.1,975.14,12000,0.0,0
2019-05-23,969.93,982.24,965.67,969.0,14800,0.0,0
2019-05-24,969.73,969.73,959.12,968.14,3600,0.0,0
2019-05-28,974.49,984.52,974.49,976.62,6000,0.0,0
2019-05-29,976.0,980.5,966.66,974.2,11600,0.0,0
2019-05-30,981.0,982.0,966.16,966.69,11400,0.0,0
2019-05-31,967.02,979.7,961.15,979.6,11600,0.0,0
2019-06-03,978.98,983.99,973.1,983.99,17900,0.0,0
