Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,34.13,34.42,33.94,34.32,551800,0.0,0
2019-02-06,34.31,34.36,34.11,34.29,433600,0.0,0
2019-02-07,34.27,34.91,34.16,34.86,469100,0.0,0
2019-02-08,34.86,35.24,34.78,35.23,545000,0.0,0
2019-02-11,35.26,35.45,35.01,35.24,540200,0.0,0
2019-02-12,35.37,35.47,35.09,35.11,525700,0.0,0
2019-02-13,35.07,35.22,34.9,35.06,485300,0.0,0
2019-02-14,35.15,35.33,35.01,35.07,636800,0.219,0
2019-02-15,35.15,35.35,34.93,35.04,886700,0.0,0
2019-02-19,34.93,35.13,34.52,34.94,1007600,0.0,0
2019-02-20,34.83,34.98,34.25,34.91,949300,0.0,0
2019-02-21,34.79,35.39,34.64,35.27,556200,0.0,0
2019-02-22,35.39,35.78,35.26,35.76,603700,0.0,0
2019-02-25,35.7,35.8,35.33,35.64,551100,0.0,0
2019-02-26,35.66,35.71,35.26,35.29,520100,0.0,0
2019-02-27,35.12,35.56,35.04,35.49,532600,0.0,0
2019-02-28,35.49,35.6,35.21,35.35,632200,0.0,0
2019-03-01,35.35,35.53,35.21,35.41,536900,0.0,0
2019-03-04,35.53,35.78,35.2,35.75,601900,0.0,0
2019-03-05,35.76,35.81,35.21,35.28,500400,0.0,0
2019-03-06,35.32,35.34,34.63,34.64,750300,0.0,0
2019-03-07,34.77,35.03,34.72,34.8,983100,0.0,0
2019-03-08,34.89,35.01,34.68,34.99,423800,0.0,0
2019-03-11,34.98,35.33,34.77,35.23,531000,0.0,0
2019-03-12,35.29,35.48,35.13,35.18,424600,0.0,0
2019-03-13,35.08,35.16,34.78,34.99,751800,0.0,0
2019-03-14,34.95,35.31,34.83,34.89,585800,0.0,0
2019-03-15,35.05,35.4,34.93,35.37,1429100,0.0,0
2019-03-18,35.38,35.66,35.19,35.41,892700,0.0,0
2019-03-19,35.54,35.83,35.36,35.53,1305400,0.0,0
2019-03-20,35.55,35.9,35.29,35.62,613200,0.0,0
2019-03-21,35.62,36.37,35.6,36.28,708700,0.0,0
2019-03-22,36.33,36.67,36.25,36.51,882700,0.0,0
2019-03-25,36.49,36.74,36.25,36.64,478000,0.0,0
2019-03-26,36.64,36.96,36.55,36.91,628300,0.0,0
2019-03-27,36.94,37.02,36.69,36.79,993200,0.0,0
2019-03-28,36.83,36.9,36.27,36.39,1324700,0.0,0
2019-03-29,36.51,36.51,35.74,35.85,2207700,0.0,0
2019-04-01,35.88,35.97,35.34,35.51,1015000,0.0,0
2019-04-02,35.56,35.76,35.46,35.72,586000,0.0,0
2019-04-03,35.72,36.04,35.47,35.8,413000,0.0,0
2019-04-04,35.92,35.95,35.59,35.74,467000,0.0,0
2019-04-05,35.64,36.17,35.59,36.16,443500,0.0,0
2019-04-08,36.03,36.16,35.69,35.72,394600,0.0,0
2019-04-09,35.69,35.93,35.6,35.91,354500,0.0,0
2019-04-10,36.06,36.34,36.01,36.06,517000,0.0,0
2019-04-11,36.05,36.25,35.99,36.17,426500,0.0,0
2019-04-12,36.06,36.18,35.84,36.18,463200,0.0,0
2019-04-15,34.95,36.11,34.64,35.88,2193800,0.0,0
2019-04-16,35.97,36.34,34.86,35.2,2472500,0.0,0
2019-04-17,35.2,35.22,34.22,34.25,4102000,0.0,0
2019-04-18,35.59,36.59,35.53,36.54,26202900,0.0,0
