Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.75,18.05,17.75,17.84,6923700,0.0,0
2019-02-06,17.82,17.99,17.82,17.93,5012100,0.0,0
2019-02-07,17.88,18.04,17.64,17.66,6923400,0.0,0
2019-02-08,17.01,17.47,16.8,17.36,14303000,0.0,0
2019-02-11,17.4,17.61,17.13,17.22,9727300,0.0,0
2019-02-12,17.29,17.4,17.09,17.34,6309200,0.0,0
2019-02-13,17.39,17.51,17.29,17.3,4729700,0.0,0
2019-02-14,17.28,17.34,17.1,17.11,5781300,0.0,0
2019-02-15,17.2,17.31,17.13,17.16,12106100,0.0,0
2019-02-19,17.12,17.27,17.1,17.2,6102000,0.0,0
2019-02-20,17.23,17.27,17.15,17.2,4081500,0.0,0
2019-02-21,17.2,17.23,16.97,16.99,5320500,0.0,0
2019-02-22,17.04,17.24,17.0,17.19,4185700,0.0,0
2019-02-25,17.24,17.25,17.05,17.07,5700500,0.0,0
2019-02-26,17.1,17.22,17.02,17.09,5051800,0.0,0
2019-02-27,17.05,17.19,17.04,17.16,3020800,0.0,0
2019-02-28,17.21,17.5,17.16,17.23,10147000,0.0,0
2019-03-01,17.32,17.63,17.18,17.55,11710000,0.0,0
2019-03-04,17.59,17.66,17.42,17.57,5777600,0.0,0
2019-03-05,17.55,17.63,17.37,17.42,5399700,0.0,0
2019-03-06,17.46,17.51,17.33,17.49,4793700,0.0,0
2019-03-07,17.43,17.51,16.96,17.07,5315400,0.0,0
2019-03-08,16.93,17.28,16.89,17.28,5323500,0.0,0
2019-03-11,17.33,17.51,17.29,17.51,4143600,0.0,0
2019-03-12,17.54,17.63,17.45,17.52,4827100,0.0,0
2019-03-13,17.57,17.8,17.5,17.74,5349000,0.0,0
2019-03-14,17.78,17.79,17.61,17.73,6837100,0.2,0
2019-03-15,17.76,17.92,17.69,17.88,14507300,0.0,0
2019-03-18,17.91,17.94,17.47,17.72,7162200,0.0,0
2019-03-19,17.74,17.78,17.56,17.61,6500700,0.0,0
2019-03-20,17.58,17.71,17.5,17.54,4512700,0.0,0
2019-03-21,17.47,17.86,17.47,17.85,4736300,0.0,0
2019-03-22,17.8,17.89,17.7,17.79,4006800,0.0,0
2019-03-25,17.72,17.8,17.57,17.74,3458300,0.0,0
2019-03-26,17.84,18.11,17.79,18.1,4799100,0.0,0
2019-03-27,18.08,18.23,18.06,18.1,4749800,0.0,0
2019-03-28,18.17,18.36,18.1,18.16,5247100,0.0,0
2019-03-29,18.19,18.26,17.95,18.0,6064500,0.0,0
