Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,24.9,25.15,24.56,25.13,5040900,0.0,0
2019-02-06,25.04,25.32,24.89,24.93,5480000,0.0,0
2019-02-07,24.76,24.95,24.07,24.59,6171400,0.0,0
2019-02-08,24.47,24.71,24.0,24.34,4908500,0.0,0
2019-02-11,24.39,24.58,23.94,24.11,6303700,0.0,0
2019-02-12,24.19,24.31,23.85,24.04,7417700,0.0,0
2019-02-13,24.07,24.35,23.87,24.1,5655400,0.0,0
2019-02-14,24.08,24.33,23.66,24.12,5054500,0.0,0
2019-02-15,24.28,24.31,24.12,24.24,5359600,0.0,0
2019-02-19,24.18,24.45,24.06,24.29,6782000,0.0,0
2019-02-20,24.33,24.74,24.21,24.55,5329700,0.0,0
2019-02-21,24.5,24.65,24.28,24.43,3223400,0.0,0
2019-02-22,24.49,24.89,24.48,24.76,3192800,0.0,0
2019-02-25,24.84,24.91,24.45,24.54,3451300,0.0,0
2019-02-26,24.59,24.73,24.25,24.26,3587700,0.0,0
2019-02-27,24.2,24.7,24.11,24.53,4900800,0.0,0
2019-02-28,24.56,24.65,23.92,23.94,6255800,0.34,0
2019-03-01,24.05,24.18,23.5,24.05,7067200,0.0,0
2019-03-04,24.15,24.21,23.54,23.99,3842700,0.0,0
2019-03-05,23.95,23.98,23.46,23.65,3993500,0.0,0
2019-03-06,23.62,23.83,23.53,23.68,3113800,0.0,0
2019-03-07,23.72,23.81,23.28,23.42,3386000,0.0,0
2019-03-08,23.34,23.74,23.26,23.71,5003500,0.0,0
2019-03-11,24.28,24.88,24.19,24.85,5120500,0.0,0
2019-03-12,24.86,25.02,24.71,24.78,3737400,0.0,0
2019-03-13,24.81,25.22,24.75,25.08,3763100,0.0,0
2019-03-14,25.09,25.16,24.46,24.57,4104500,0.0,0
2019-03-15,24.67,24.67,24.29,24.55,4830800,0.0,0
2019-03-18,24.62,24.73,24.46,24.62,3872500,0.0,0
2019-03-19,24.75,24.95,24.52,24.58,3485800,0.0,0
2019-03-20,24.6,24.62,24.21,24.4,4190000,0.0,0
2019-03-21,24.32,25.22,24.24,25.19,4429100,0.0,0
2019-03-22,25.24,25.26,24.75,24.77,4601400,0.0,0
2019-03-25,24.81,24.81,24.22,24.51,3495300,0.0,0
2019-03-26,24.63,24.71,24.28,24.49,3700700,0.0,0
2019-03-27,24.52,24.68,24.38,24.61,3640400,0.0,0
2019-03-28,24.62,25.6,24.62,25.59,5755500,0.0,0
2019-03-29,25.7,25.81,25.26,25.33,4707400,0.0,0
2019-04-01,25.44,25.59,25.2,25.5,4911400,0.0,0
2019-04-02,25.5,25.71,25.41,25.56,4352300,0.0,0
2019-04-03,25.6,25.93,25.43,25.66,3872300,0.0,0
2019-04-04,25.71,25.86,25.59,25.81,3035900,0.0,0
2019-04-05,26.33,26.51,26.2,26.34,5169500,0.0,0
2019-04-08,26.27,26.43,25.96,26.05,3470100,0.0,0
2019-04-09,25.93,26.0,25.55,25.58,3086600,0.0,0
2019-04-10,25.57,25.79,25.39,25.69,2357300,0.0,0
2019-04-11,25.76,26.13,25.71,26.04,4206300,0.0,0
2019-04-12,26.06,26.14,25.64,26.13,3936600,0.0,0
2019-04-15,26.17,26.23,25.79,26.04,2385600,0.0,0
2019-04-16,26.11,26.19,25.65,25.79,4282100,0.0,0
2019-04-17,25.81,25.83,25.09,25.37,5307100,0.0,0
2019-04-18,25.35,25.46,24.9,25.35,3505500,0.0,0
2019-04-22,25.23,25.27,24.49,24.77,3369300,0.0,0
2019-04-23,24.62,25.14,24.57,24.95,3649700,0.0,0
2019-04-24,25.06,25.45,25.01,25.32,3366500,0.0,0
2019-04-25,25.27,25.67,25.13,25.25,4632000,0.0,0
2019-04-26,25.66,26.44,25.66,26.32,5980000,0.0,0
2019-04-29,26.15,26.21,25.39,25.45,4587400,0.0,0
2019-04-30,25.41,25.9,25.19,25.77,5556500,0.0,0
2019-05-01,25.83,26.07,25.61,25.62,2749700,0.0,0
2019-05-02,25.63,25.92,25.34,25.45,2514400,0.0,0
2019-05-03,25.53,25.87,25.47,25.75,2848400,0.0,0
2019-05-06,25.48,25.66,25.26,25.58,3045800,0.0,0
2019-05-07,25.36,25.58,24.89,25.03,3460800,0.0,0
2019-05-08,25.01,25.14,24.63,24.65,2825600,0.0,0
2019-05-09,24.52,24.75,24.18,24.68,2351200,0.0,0
2019-05-10,24.58,24.72,24.2,24.57,2603400,0.0,0
2019-05-13,24.22,24.44,24.04,24.18,3959600,0.0,0
2019-05-14,24.19,24.44,24.01,24.02,4183300,0.0,0
2019-05-15,23.86,24.03,23.64,23.99,5730400,0.0,0
2019-05-16,24.09,24.3,24.01,24.1,4207400,0.0,0
2019-05-17,23.85,23.92,23.37,23.42,5808900,0.0,0
2019-05-20,23.24,23.32,22.53,22.56,5639000,0.0,0
2019-05-21,22.65,22.74,22.41,22.61,6920900,0.0,0
2019-05-22,22.57,22.59,22.18,22.24,5229100,0.0,0
2019-05-23,22.0,22.07,21.64,22.03,9137800,0.0,0
2019-05-24,22.23,22.36,21.97,22.13,5074600,0.0,0
2019-05-28,22.21,22.32,21.64,21.71,7952300,0.0,0
2019-05-29,21.63,21.91,21.59,21.7,6041400,0.0,0
2019-05-30,21.68,21.79,21.49,21.66,8682100,0.0,0
2019-05-31,21.59,22.08,21.49,21.93,6454900,0.0,0
2019-06-03,21.95,22.14,21.88,22.02,5567900,0.0,0
2019-06-04,22.17,22.54,21.92,22.52,11695500,0.0,0
2019-06-05,22.68,22.71,22.23,22.45,5791100,0.0,0
2019-06-06,22.51,22.7,22.3,22.54,7765200,0.34,0
2019-06-07,22.64,23.3,22.4,23.22,9135500,0.0,0
2019-06-10,23.34,23.85,23.34,23.53,7680900,0.0,0
2019-06-11,23.76,24.08,23.59,23.88,4968300,0.0,0
2019-06-12,23.86,24.53,23.77,24.46,5125300,0.0,0
2019-06-13,24.45,24.88,24.37,24.67,5326400,0.0,0
2019-06-14,24.8,25.53,24.75,25.09,6294400,0.0,0
2019-06-17,25.06,25.3,24.91,25.05,5095200,0.0,0
2019-06-18,25.15,25.72,25.15,25.35,5797100,0.0,0
2019-06-19,25.38,25.55,25.22,25.43,6373100,0.0,0
2019-06-20,25.61,25.99,25.52,25.92,7183800,0.0,0
2019-06-21,25.9,25.91,25.2,25.52,9537000,0.0,0
2019-06-24,25.46,25.59,25.11,25.21,6334300,0.0,0
2019-06-25,25.09,25.41,24.94,24.94,6399800,0.0,0
2019-06-26,24.99,25.12,24.66,24.84,6478500,0.0,0
2019-06-27,24.97,25.53,24.97,25.34,4521900,0.0,0
2019-06-28,25.32,25.82,25.32,25.7,5349400,0.0,0
2019-07-01,25.86,26.03,25.43,25.76,5151000,0.0,0
2019-07-02,25.73,25.91,25.59,25.88,3779400,0.0,0
2019-07-03,26.06,26.23,25.89,26.2,1897800,0.0,0
2019-07-05,25.98,26.03,25.64,25.97,2865000,0.0,0
2019-07-08,25.91,25.99,25.7,25.79,3638900,0.0,0
2019-07-09,25.65,25.76,25.43,25.66,2955000,0.0,0
2019-07-10,25.86,25.86,25.56,25.68,3195200,0.0,0
2019-07-11,25.64,25.69,24.99,25.19,3151700,0.0,0
2019-07-12,25.16,25.22,24.78,24.92,2894100,0.0,0
2019-07-15,24.92,25.01,24.75,24.92,2265400,0.0,0
2019-07-16,24.86,25.24,24.73,25.12,3419300,0.0,0
2019-07-17,25.04,25.15,24.52,24.69,3497700,0.0,0
2019-07-18,24.65,24.69,24.34,24.49,3041100,0.0,0
2019-07-19,24.5,24.8,24.46,24.49,3064000,0.0,0
2019-07-22,24.54,24.67,24.41,24.53,1643800,0.0,0
2019-07-23,24.55,24.86,24.55,24.76,2571400,0.0,0
2019-07-24,24.72,24.96,24.61,24.92,2503700,0.0,0
2019-07-25,24.98,25.0,24.41,24.47,4246200,0.0,0
2019-07-26,24.84,25.76,24.7,25.58,4950600,0.0,0
2019-07-29,25.63,25.79,24.49,25.22,4432600,0.0,0
2019-07-30,25.0,25.51,24.79,25.46,2874100,0.0,0
2019-07-31,25.39,25.47,24.65,24.8,3692200,0.0,0
2019-08-01,24.74,24.98,24.38,24.43,7103000,0.0,0
2019-08-02,24.4,24.68,24.28,24.49,4680600,0.0,0
2019-08-05,24.03,24.24,23.67,23.88,4347900,0.0,0
2019-08-06,23.96,24.08,23.51,23.77,4823900,0.0,0
2019-08-07,23.53,24.15,23.44,24.08,3418200,0.0,0
2019-08-08,24.08,24.54,23.84,24.53,3244900,0.0,0
2019-08-09,24.44,24.52,23.95,24.14,3535800,0.0,0
2019-08-12,24.19,24.48,23.97,24.11,2606400,0.0,0
2019-08-13,24.1,24.65,23.98,24.49,2918300,0.0,0
2019-08-14,24.29,24.33,23.88,23.91,3057200,0.0,0
2019-08-15,23.93,24.25,23.8,24.18,2657400,0.0,0
2019-08-16,24.24,24.65,24.21,24.55,2966800,0.0,0
2019-08-19,24.72,24.74,24.43,24.57,3058900,0.0,0
2019-08-20,24.58,24.6,24.33,24.43,2583000,0.0,0
2019-08-21,24.65,24.93,24.49,24.89,2687900,0.0,0
2019-08-22,24.96,25.1,24.72,25.02,2374900,0.0,0
2019-08-23,24.92,25.3,24.43,24.51,4285200,0.0,0
2019-08-26,24.64,24.84,24.49,24.84,2518000,0.0,0
2019-08-27,25.02,25.09,24.43,24.45,3278400,0.0,0
2019-08-28,24.41,25.04,24.38,25.03,4236000,0.0,0
2019-08-29,25.23,25.69,25.16,25.48,2982500,0.0,0
2019-08-30,25.52,25.86,25.43,25.68,4557900,0.0,0
2019-09-03,25.56,25.78,25.4,25.76,2833800,0.0,0
2019-09-04,25.9,26.08,25.83,25.98,3061400,0.0,0
2019-09-05,26.18,26.48,26.1,26.28,3739900,0.34,0
2019-09-06,26.29,26.52,26.22,26.4,4290900,0.0,0
2019-09-09,26.4,26.63,26.33,26.57,3960600,0.0,0
2019-09-10,26.52,27.11,26.5,27.03,3101500,0.0,0
2019-09-11,26.97,27.68,26.95,27.67,3965300,0.0,0
2019-09-12,27.81,27.89,27.4,27.55,3343600,0.0,0
2019-09-13,27.6,27.74,27.04,27.1,4078600,0.0,0
2019-09-16,26.96,27.3,26.82,27.27,3182800,0.0,0
2019-09-17,27.49,27.53,27.09,27.51,2041200,0.0,0
2019-09-18,27.54,27.62,27.32,27.5,3159900,0.0,0
2019-09-19,27.49,27.7,27.34,27.47,2261600,0.0,0
2019-09-20,27.57,27.64,27.16,27.32,4954800,0.0,0
2019-09-23,27.1,27.55,27.06,27.3,3083000,0.0,0
2019-09-24,27.37,27.44,27.08,27.23,3000900,0.0,0
2019-09-25,27.22,27.6,27.22,27.52,2593100,0.0,0
2019-09-26,27.59,27.73,27.35,27.58,1755700,0.0,0
2019-09-27,27.68,27.75,27.27,27.47,2337800,0.0,0
2019-09-30,27.56,27.66,27.32,27.38,2462800,0.0,0
2019-10-01,27.38,27.6,26.93,26.94,2639500,0.0,0
2019-10-02,26.9,26.9,26.21,26.42,3580300,0.0,0
2019-10-03,26.38,26.64,26.05,26.63,2960600,0.0,0
2019-10-04,26.63,26.8,26.5,26.71,2810600,0.0,0
2019-10-07,26.64,26.85,26.47,26.7,2279600,0.0,0
2019-10-08,26.59,26.59,25.94,26.06,2821500,0.0,0
2019-10-09,26.22,26.46,26.2,26.31,2240200,0.0,0
2019-10-10,26.26,26.5,26.21,26.35,2487900,0.0,0
2019-10-11,26.61,27.17,26.6,26.82,3730000,0.0,0
2019-10-14,26.77,26.93,26.63,26.86,1531100,0.0,0
2019-10-15,26.84,27.08,26.8,26.92,2137500,0.0,0
2019-10-16,26.85,27.39,26.85,27.38,3458300,0.0,0
2019-10-17,27.42,27.89,27.39,27.7,3867500,0.0,0
2019-10-18,27.81,28.15,27.68,27.96,3495400,0.0,0
2019-10-21,28.13,28.4,28.12,28.4,2482500,0.0,0
2019-10-22,28.41,28.91,28.25,28.8,2812800,0.0,0
2019-10-23,28.74,29.18,28.7,29.17,3062400,0.0,0
2019-10-24,29.14,29.16,28.56,28.81,3813300,0.0,0
2019-10-25,28.59,29.05,28.27,28.73,4120200,0.0,0
2019-10-28,28.83,29.27,28.76,29.03,4851000,0.0,0
2019-10-29,28.87,29.56,28.81,29.32,3969500,0.0,0
2019-10-30,29.27,29.71,29.0,29.69,4294100,0.0,0
2019-10-31,29.6,29.69,28.81,28.87,3517800,0.0,0
2019-11-01,28.96,29.66,28.89,29.65,2820100,0.0,0
2019-11-04,29.67,29.93,29.61,29.85,3354900,0.0,0
2019-11-05,29.8,29.85,29.26,29.33,4402100,0.0,0
2019-11-06,29.35,29.37,29.14,29.2,3407300,0.0,0
2019-11-07,29.29,29.42,28.96,29.01,3621500,0.0,0
2019-11-08,28.92,29.38,28.89,29.29,2340700,0.0,0
2019-11-11,29.24,29.26,29.03,29.2,2019100,0.0,0
2019-11-12,29.2,29.3,28.77,28.81,2665300,0.0,0
2019-11-13,28.9,28.9,28.6,28.65,2345000,0.0,0
2019-11-14,28.67,29.0,28.61,28.99,2242100,0.0,0
2019-11-15,28.94,29.11,28.87,29.01,1991200,0.0,0
2019-11-18,29.04,29.32,28.89,29.28,2320300,0.0,0
2019-11-19,29.35,29.5,29.25,29.38,2537900,0.0,0
2019-11-20,29.35,29.41,28.92,29.17,2551300,0.0,0
2019-11-21,29.1,29.16,28.64,28.7,2741200,0.0,0
2019-11-22,28.71,28.88,28.48,28.66,2347500,0.0,0
2019-11-25,28.66,29.07,28.39,29.07,3914100,0.0,0
2019-11-26,29.07,29.31,28.88,29.28,3943400,0.0,0
2019-11-27,29.28,29.46,29.21,29.41,2056900,0.0,0
2019-11-29,29.49,29.54,29.09,29.17,1870300,0.0,0
2019-12-02,29.21,29.29,28.83,28.87,3233700,0.0,0
2019-12-03,28.66,29.05,28.6,28.99,4373300,0.0,0
2019-12-04,28.82,29.64,28.82,29.26,3934100,0.0,0
2019-12-05,29.19,29.36,29.09,29.25,2878800,0.34,0
2019-12-06,29.44,29.58,29.35,29.51,3301500,0.0,0
2019-12-09,29.45,29.45,29.23,29.38,2626600,0.0,0
2019-12-10,29.33,29.35,28.88,29.0,4522400,0.0,0
2019-12-11,29.07,29.4,28.98,29.33,3316100,0.0,0
2019-12-12,29.39,29.8,29.25,29.55,2510100,0.0,0
2019-12-13,29.55,29.64,29.33,29.64,3441200,0.0,0
2019-12-16,29.75,29.85,29.47,29.65,3538600,0.0,0
2019-12-17,29.65,29.85,29.54,29.66,3472400,0.0,0
2019-12-18,29.74,30.01,29.57,29.84,3556000,0.0,0
2019-12-19,29.87,30.05,29.8,30.01,3305000,0.0,0
