Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,108.88,109.96,108.13,109.81,3437700,0.36,0
2019-02-06,110.48,114.48,110.3,113.07,5066400,0.0,0
2019-02-07,111.75,113.34,110.42,111.54,4973300,0.0,0
2019-02-08,110.23,112.84,110.15,112.49,2388100,0.0,0
2019-02-11,112.98,114.41,111.97,113.69,2677900,0.0,0
2019-02-12,115.32,117.7,114.28,116.95,4731600,0.0,0
2019-02-13,117.45,117.65,115.41,116.15,3758900,0.0,0
2019-02-14,115.51,117.2,115.32,116.28,2666100,0.0,0
2019-02-15,117.26,118.06,116.02,118.05,3019600,0.0,0
2019-02-19,118.42,119.23,117.46,117.71,3153000,0.0,0
2019-02-20,117.93,118.93,117.8,118.84,1848800,0.0,0
2019-02-21,118.85,119.03,117.06,118.0,3614900,0.0,0
2019-02-22,119.23,122.35,119.02,121.46,4027400,0.0,0
2019-02-25,123.68,124.96,122.5,122.73,4261500,0.0,0
2019-02-26,123.68,123.69,120.23,121.49,3762100,0.0,0
2019-02-27,121.47,122.28,119.29,121.97,3580600,0.0,0
2019-02-28,122.25,124.51,122.19,123.98,3967900,0.0,0
2019-03-01,125.32,126.35,123.75,125.3,4202000,0.0,0
2019-03-04,125.69,125.92,118.6,121.52,6249200,0.0,0
2019-03-05,121.09,122.91,120.78,121.65,2395200,0.0,0
2019-03-06,121.76,122.25,119.67,120.08,2020600,0.0,0
2019-03-07,119.24,119.71,118.1,118.65,3678000,0.0,0
2019-03-08,116.58,117.72,115.34,117.38,4712000,0.0,0
2019-03-11,119.23,120.77,118.5,120.65,4118100,0.0,0
2019-03-12,121.21,121.95,119.89,121.1,2761400,0.0,0
2019-03-13,121.7,123.06,120.75,121.63,2778400,0.0,0
2019-03-14,121.9,122.55,120.76,121.19,2126900,0.0,0
2019-03-15,122.14,124.0,121.78,122.86,5504800,0.0,0
2019-03-18,122.91,124.58,122.91,123.96,3114600,0.0,0
2019-03-19,124.77,125.95,124.33,125.72,2674100,0.0,0
2019-03-20,124.81,126.46,124.4,124.98,2682900,0.0,0
2019-03-21,125.2,129.19,124.86,128.68,3839100,0.0,0
2019-03-22,128.44,128.59,124.88,125.55,3047900,0.0,0
2019-03-25,124.84,124.92,121.16,122.82,3914600,0.0,0
2019-03-26,124.33,125.78,124.06,125.3,2544300,0.0,0
2019-03-27,125.66,126.01,122.49,123.82,2101400,0.0,0
2019-03-28,124.58,126.72,124.18,125.24,2513600,0.0,0
2019-03-29,127.29,127.86,124.58,125.45,4083000,0.0,0
2019-04-01,127.52,128.6,126.95,128.36,3872700,0.0,0
2019-04-02,128.63,128.9,127.07,127.73,2668600,0.0,0
2019-04-03,128.74,129.27,126.18,127.21,3458700,0.0,0
2019-04-04,127.35,128.46,125.48,126.47,2798500,0.0,0
2019-04-05,127.45,128.05,126.6,127.72,2003900,0.0,0
2019-04-08,127.71,128.64,126.01,128.53,2128400,0.0,0
2019-04-09,127.94,128.78,126.31,127.57,2641300,0.0,0
2019-04-10,128.05,131.67,127.68,130.2,4153700,0.0,0
2019-04-11,130.02,131.11,129.25,130.68,1663400,0.0,0
2019-04-12,131.7,133.06,131.1,132.99,3030500,0.0,0
2019-04-15,132.99,133.95,132.04,132.65,2771500,0.0,0
2019-04-16,133.31,134.32,131.98,133.56,3051400,0.0,0
2019-04-17,134.57,135.78,133.24,134.39,2539500,0.0,0
2019-04-18,134.57,134.95,131.53,133.53,4030900,0.0,0
2019-04-22,133.58,134.26,131.97,133.02,1984400,0.0,0
2019-04-23,133.58,136.01,133.33,135.7,3455200,0.0,0
2019-04-24,136.0,140.11,135.37,138.25,8556400,0.0,0
2019-04-25,125.02,125.27,114.04,114.64,24053900,0.0,0
2019-04-26,114.3,118.04,109.15,117.68,14285600,0.0,0
2019-04-29,117.3,117.68,114.62,115.85,5266300,0.0,0
2019-04-30,115.9,119.15,115.77,118.87,4739400,0.0,0
2019-05-01,119.72,120.47,115.21,115.41,4833500,0.0,0
2019-05-02,115.41,118.33,115.12,117.65,3503200,0.0,0
2019-05-03,118.49,118.62,116.65,117.77,3255700,0.0,0
2019-05-06,113.79,117.62,112.49,117.56,3316800,0.0,0
2019-05-07,116.66,118.14,115.24,116.57,5390000,0.0,0
2019-05-08,116.57,118.05,115.48,116.45,3223200,0.0,0
2019-05-09,114.76,116.51,113.39,115.47,3565400,0.0,0
2019-05-10,115.21,117.86,113.92,115.69,3770400,0.0,0
2019-05-13,112.69,113.24,108.62,109.47,5779000,0.0,0
2019-05-14,110.86,112.75,110.38,111.99,3411700,0.0,0
2019-05-15,110.71,114.81,110.5,113.61,3902000,0.37,0
2019-05-16,109.19,109.69,104.03,105.36,13656500,0.0,0
2019-05-17,103.9,105.75,102.71,104.0,8374500,0.0,0
2019-05-20,100.25,101.22,96.97,100.29,10459300,0.0,0
2019-05-21,103.11,105.3,101.94,104.94,6375000,0.0,0
2019-05-22,103.24,105.01,102.99,103.93,3236500,0.0,0
2019-05-23,102.14,102.71,100.33,101.55,4388100,0.0,0
2019-05-24,102.63,104.13,100.23,100.47,3740300,0.0,0
2019-05-28,101.21,101.25,98.83,100.96,4789600,0.0,0
2019-05-29,100.46,103.24,100.26,102.89,4417700,0.0,0
2019-05-30,103.26,105.35,103.24,104.68,3342200,0.0,0
2019-05-31,103.23,105.24,101.49,101.56,4143300,0.0,0
2019-06-03,102.79,103.44,100.77,101.55,3182600,0.0,0
2019-06-04,102.8,106.23,102.29,106.12,4133200,0.0,0
2019-06-05,107.34,108.6,103.45,104.83,3021400,0.0,0
