Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,4.17,4.22,3.92,3.94,1847700,0,0
2019-02-06,3.93,4.04,3.87,3.88,2217100,0,0
2019-02-07,3.86,3.88,3.54,3.57,3431600,0,0
2019-02-08,3.55,3.585,3.39,3.49,2523400,0,0
2019-02-11,3.45,3.5,3.39,3.45,3556200,0,0
2019-02-12,3.51,3.66,3.14,3.5,8360500,0,0
2019-02-13,3.52,3.66,3.49,3.53,5652700,0,0
2019-02-14,3.5,3.715,3.5,3.67,2457500,0,0
2019-02-15,3.71,3.91,3.695,3.89,3329400,0,0
2019-02-19,3.87,3.925,3.78,3.79,2444500,0,0
2019-02-20,3.79,3.95,3.76,3.91,3792500,0,0
2019-02-21,3.94,4.081,3.715,3.81,8420300,0,0
2019-02-22,4.45,5.05,4.39,4.52,12829600,0,0
2019-02-25,4.46,4.64,4.42,4.58,5654600,0,0
2019-02-26,4.56,4.65,4.455,4.54,2698300,0,0
2019-02-27,4.57,4.57,4.16,4.18,6619600,0,0
2019-02-28,4.19,4.26,4.1,4.2,4211800,0,0
2019-03-01,4.23,4.36,4.13,4.16,4354400,0,0
2019-03-04,4.23,4.3,4.12,4.25,2911500,0,0
2019-03-05,4.33,4.33,4.065,4.13,4225200,0,0
2019-03-06,4.09,4.1,3.715,3.86,4207800,0,0
2019-03-07,3.88,3.925,3.74,3.86,6825100,0,0
2019-03-08,3.77,3.795,3.58,3.62,6301100,0,0
2019-03-11,3.63,3.78,3.525,3.76,6348000,0,0
2019-03-12,3.78,3.88,3.73,3.81,4949100,0,0
2019-03-13,3.86,4.08,3.86,4.04,3561000,0,0
2019-03-14,4.02,4.13,3.99,4.08,2683800,0,0
2019-03-15,4.05,4.11,3.95,3.96,7089200,0,0
2019-03-18,3.99,4.3,3.94,4.24,3814800,0,0
2019-03-19,4.27,4.32,4.21,4.29,2877900,0,0
2019-03-20,4.28,4.46,4.16,4.4,9578900,0,0
2019-03-21,4.4,4.48,4.33,4.46,4971600,0,0
2019-03-22,4.41,4.41,4.15,4.19,3935700,0,0
2019-03-25,4.16,4.17,4.01,4.15,6513800,0,0
2019-03-26,4.2,4.31,4.125,4.23,3365000,0,0
2019-03-27,4.24,4.29,3.995,4.18,3680200,0,0
2019-03-28,4.14,4.19,4.04,4.17,6281300,0,0
2019-03-29,4.21,4.335,4.13,4.23,11623800,0,0
2019-04-01,4.31,4.46,4.23,4.37,4585000,0,0
2019-04-02,4.4,4.46,4.24,4.25,5924900,0,0
2019-04-03,4.33,4.345,4.19,4.28,5484100,0,0
2019-04-04,4.21,4.95,4.21,4.89,6360800,0,0
2019-04-05,4.86,5.428,4.86,5.3,7042400,0,0
2019-04-08,5.35,5.52,5.21,5.36,4350500,0,0
2019-04-09,5.31,5.37,4.98,5.01,5099100,0,0
2019-04-10,5.03,5.115,4.94,5.08,3463000,0,0
2019-04-11,5.06,5.08,4.86,4.9,5411900,0,0
2019-04-12,5.14,5.24,5.0,5.12,4840500,0,0
2019-04-15,5.11,5.15,4.95,5.01,3588100,0,0
2019-04-16,5.06,5.098,4.88,5.02,2915300,0,0
2019-04-17,5.04,5.135,4.87,5.06,6594000,0,0
2019-04-18,5.06,5.22,5.04,5.06,4482300,0,0
2019-04-22,5.13,5.6,5.09,5.59,6263900,0,0
2019-04-23,5.61,5.67,5.355,5.48,4685200,0,0
2019-04-24,5.48,5.49,5.23,5.24,7593700,0,0
2019-04-25,5.29,5.425,5.12,5.17,3414200,0,0
2019-04-26,5.11,5.126,4.7,4.82,5215500,0,0
2019-04-29,4.85,4.9,4.67,4.73,4321800,0,0
2019-04-30,4.77,4.8,4.63,4.7,3535700,0,0
2019-05-01,4.71,4.76,4.44,4.47,2817300,0,0
2019-05-02,4.43,4.511,4.245,4.26,4641600,0,0
2019-05-03,4.16,4.645,4.1,4.58,7676600,0,0
2019-05-06,4.42,4.58,4.31,4.56,4357600,0,0
2019-05-07,4.5,4.51,4.26,4.41,3795700,0,0
2019-05-08,4.42,4.515,4.27,4.37,3956400,0,0
2019-05-09,4.3,4.39,4.24,4.31,1745400,0,0
2019-05-10,4.31,4.335,4.13,4.24,2241000,0,0
2019-05-13,4.2,4.26,3.87,3.96,2906900,0,0
2019-05-14,3.99,4.13,3.98,4.12,1980700,0,0
2019-05-15,4.07,4.289,3.97,4.27,1966500,0,0
2019-05-16,4.3,4.35,4.16,4.18,2143500,0,0
2019-05-17,4.12,4.19,3.895,3.97,4098500,0,0
2019-05-20,3.95,4.065,3.925,4.02,3020200,0,0
2019-05-21,4.06,4.25,4.015,4.21,4251800,0,0
2019-05-22,4.13,4.2,3.9,3.95,4047700,0,0
2019-05-23,3.84,3.84,3.55,3.6,4121700,0,0
2019-05-24,3.66,3.77,3.41,3.67,5378000,0,0
2019-05-28,3.62,3.63,3.385,3.42,5099100,0,0
2019-05-29,3.3,3.53,3.256,3.51,5519500,0,0
2019-05-30,3.53,3.612,3.38,3.45,4166500,0,0
2019-05-31,3.33,3.46,3.221,3.39,4653000,0,0
2019-06-03,3.42,3.45,3.3,3.41,2952000,0,0
2019-06-04,3.52,3.735,3.43,3.64,7537200,0,0
2019-06-05,3.62,3.62,3.33,3.49,5640000,0,0
2019-06-06,3.5,3.74,3.47,3.68,5536800,0,0
2019-06-07,3.67,3.73,3.52,3.65,5254200,0,0
