Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,71.74,72.18,71.58,72.14,12786700,0.0,0
2019-02-06,72.13,72.31,71.7,71.82,10866900,0.0,0
2019-02-07,71.52,71.75,70.52,71.27,14418900,0.0,0
2019-02-08,71.17,71.47,70.18,71.38,11959500,0.82,0
2019-02-11,71.29,71.61,70.82,71.5,10434800,0.0,0
2019-02-12,72.44,72.8,72.19,72.75,12599200,0.0,0
2019-02-13,72.93,73.85,72.86,73.57,13214600,0.0,0
2019-02-14,73.58,73.96,73.05,73.59,12772900,0.0,0
2019-02-15,74.24,75.03,74.06,74.98,14330300,0.0,0
2019-02-19,74.84,75.72,74.73,75.48,13551500,0.0,0
2019-02-20,75.55,76.04,75.26,75.77,12633100,0.0,0
2019-02-21,75.46,75.9,74.89,75.09,10266000,0.0,0
2019-02-22,75.95,76.18,74.89,75.67,9519300,0.0,0
2019-02-25,75.68,76.08,75.45,75.74,9274400,0.0,0
2019-02-26,75.92,76.35,75.64,75.9,10990600,0.0,0
2019-02-27,76.11,76.95,75.9,76.68,12398200,0.0,0
2019-02-28,76.66,76.95,75.95,76.26,14597900,0.0,0
2019-03-01,76.59,77.19,76.26,77.19,15419400,0.0,0
2019-03-04,77.42,77.72,76.24,77.49,18089900,0.0,0
2019-03-05,77.31,77.58,76.95,77.37,13745500,0.0,0
2019-03-06,76.08,76.59,75.13,76.5,18633600,0.0,0
2019-03-07,76.76,77.44,76.53,77.35,16541700,0.0,0
2019-03-08,76.12,76.53,75.5,76.24,16211300,0.0,0
2019-03-11,77.17,77.47,76.85,76.98,11060900,0.0,0
2019-03-12,77.3,77.75,77.08,77.19,11320000,0.0,0
2019-03-13,77.76,77.92,77.38,77.88,10260200,0.0,0
2019-03-14,77.96,78.07,77.53,77.62,9976700,0.0,0
2019-03-15,77.36,77.72,77.29,77.34,25316400,0.0,0
2019-03-18,77.62,78.4,77.62,78.23,9840600,0.0,0
2019-03-19,78.72,79.12,77.81,78.03,13936500,0.0,0
2019-03-20,77.91,79.04,77.73,78.46,13133600,0.0,0
2019-03-21,77.97,79.01,77.96,78.92,10117000,0.0,0
2019-03-22,78.38,78.58,77.48,77.65,12497700,0.0,0
2019-03-25,77.19,77.62,76.8,77.11,11320400,0.0,0
2019-03-26,77.51,78.42,77.36,78.12,9472800,0.0,0
2019-03-27,78.13,78.46,77.02,77.52,7258700,0.0,0
2019-03-28,77.22,77.95,77.21,77.91,7412300,0.0,0
2019-03-29,78.47,78.62,77.65,77.96,10889200,0.0,0
2019-04-01,78.38,78.91,78.23,78.86,10816400,0.0,0
2019-04-02,78.88,79.07,78.26,78.52,7646000,0.0,0
2019-04-03,78.9,78.9,77.78,78.06,8562900,0.0,0
2019-04-04,78.27,79.2,77.93,79.17,9360600,0.0,0
2019-04-05,79.27,79.63,79.07,79.59,10059100,0.0,0
2019-04-08,79.77,80.28,79.69,80.09,9108200,0.0,0
2019-04-09,79.62,79.68,78.87,79.05,8561600,0.0,0
2019-04-10,79.04,79.2,78.55,78.7,10324300,0.0,0
2019-04-11,78.68,79.19,78.18,79.07,9115100,0.0,0
2019-04-12,79.9,79.9,77.75,78.08,16638700,0.0,0
2019-04-15,78.05,78.21,77.69,77.82,8536100,0.0,0
2019-04-16,77.97,78.49,77.86,78.35,7005700,0.0,0
2019-04-17,78.69,78.83,78.23,78.57,8311400,0.0,0
2019-04-18,78.7,78.96,78.22,78.28,9493900,0.0,0
2019-04-22,79.0,80.3,78.77,79.99,10770600,0.0,0
2019-04-23,80.27,80.56,79.78,80.45,10595100,0.0,0
2019-04-24,80.1,80.16,78.86,78.89,11684000,0.0,0
2019-04-25,78.78,79.93,78.54,79.33,11135000,0.0,0
2019-04-26,77.45,77.8,76.77,77.66,18053500,0.0,0
2019-04-29,77.31,77.56,76.86,77.16,10023700,0.0,0
2019-04-30,77.55,77.7,77.12,77.46,13721500,0.0,0
2019-05-01,77.13,77.44,75.86,75.91,13909800,0.0,0
2019-05-02,75.53,75.74,74.53,74.58,15360400,0.0,0
2019-05-03,75.06,75.46,74.72,74.75,12180700,0.0,0
2019-05-06,74.22,74.93,74.02,74.42,13367100,0.0,0
2019-05-07,73.81,74.09,73.11,74.03,13498800,0.0,0
2019-05-08,73.85,74.58,73.74,74.14,11352900,0.0,0
2019-05-09,73.67,74.18,73.29,74.07,13221600,0.0,0
2019-05-10,74.35,74.94,73.36,74.72,11056000,0.87,0
2019-05-13,73.83,74.4,73.55,73.89,12176100,0.0,0
2019-05-14,74.3,74.95,73.94,73.99,10548400,0.0,0
2019-05-15,73.75,74.71,73.4,74.53,8918000,0.0,0
2019-05-16,74.56,75.1,74.39,74.52,8105200,0.0,0
2019-05-17,73.83,74.46,73.77,74.08,9279400,0.0,0
2019-05-20,74.22,74.52,73.85,74.07,7154300,0.0,0
2019-05-21,74.44,74.62,74.1,74.42,8489900,0.0,0
2019-05-22,74.19,74.39,73.58,73.74,7858300,0.0,0
2019-05-23,72.97,73.0,71.28,72.02,14657200,0.0,0
2019-05-24,72.36,72.46,71.67,72.32,7056400,0.0,0
2019-05-28,72.45,72.46,70.75,70.86,14912900,0.0,0
2019-05-29,70.16,70.69,69.9,70.42,13645200,0.0,0
2019-05-30,70.29,70.4,69.81,70.24,9362100,0.0,0
2019-05-31,69.48,69.83,68.93,69.07,13983300,0.0,0
2019-06-03,69.38,70.28,69.26,70.15,11831000,0.0,0
2019-06-04,70.71,71.89,70.43,71.82,10423000,0.0,0
2019-06-05,71.87,71.87,70.83,71.22,10617800,0.0,0
2019-06-06,71.94,72.83,71.82,72.52,11738900,0.0,0
2019-06-07,72.72,73.16,72.64,72.79,9095500,0.0,0
2019-06-10,73.38,73.52,72.66,73.11,7760400,0.0,0
2019-06-11,73.69,73.99,73.02,73.04,9415100,0.0,0
2019-06-12,72.69,72.82,72.03,72.25,7920800,0.0,0
2019-06-13,72.9,73.36,72.59,72.88,8986400,0.0,0
2019-06-14,72.88,73.01,72.44,72.56,8575900,0.0,0
2019-06-17,72.38,73.38,72.26,73.28,9355700,0.0,0
2019-06-18,73.61,74.39,73.54,73.92,10091500,0.0,0
2019-06-19,73.59,74.03,73.36,73.51,9757400,0.0,0
2019-06-20,74.41,75.12,74.25,74.77,16229700,0.0,0
2019-06-21,75.28,75.89,75.02,75.82,23108100,0.0,0
2019-06-24,75.67,75.89,74.96,75.1,10011800,0.0,0
2019-06-25,75.23,75.36,74.36,74.44,9740000,0.0,0
2019-06-26,74.84,75.27,74.63,74.76,11365500,0.0,0
2019-06-27,74.75,74.9,73.94,74.0,8147800,0.0,0
2019-06-28,74.36,74.88,74.11,74.79,14781300,0.0,0
2019-07-01,75.27,76.06,74.46,74.72,11453800,0.0,0
2019-07-02,74.31,74.44,73.6,73.9,10475400,0.0,0
2019-07-03,74.0,74.66,73.81,74.6,5246100,0.0,0
2019-07-05,74.36,74.51,73.77,74.3,6880800,0.0,0
2019-07-08,74.31,74.86,74.09,74.64,7876100,0.0,0
2019-07-09,74.61,74.92,73.91,74.59,7863000,0.0,0
2019-07-10,74.95,75.76,74.89,75.65,8077400,0.0,0
2019-07-11,75.55,75.74,75.2,75.7,6404000,0.0,0
2019-07-12,75.88,76.01,75.64,75.76,6139000,0.0,0
2019-07-15,75.76,75.87,75.04,75.23,7116400,0.0,0
2019-07-16,75.07,75.22,73.97,74.1,10197400,0.0,0
2019-07-17,73.92,74.13,73.54,73.66,7419300,0.0,0
2019-07-18,73.23,73.46,72.4,73.04,11425700,0.0,0
2019-07-19,73.1,73.44,72.75,73.19,11243100,0.0,0
2019-07-22,73.43,73.49,72.71,73.26,8368800,0.0,0
2019-07-23,73.34,73.95,72.95,73.56,8551200,0.0,0
2019-07-24,73.58,74.22,73.05,73.55,8260200,0.0,0
2019-07-25,73.96,73.96,73.0,73.13,9083900,0.0,0
2019-07-26,73.07,73.27,72.81,73.01,7677300,0.0,0
2019-07-29,73.08,73.57,72.9,73.53,7091900,0.0,0
2019-07-30,73.25,73.74,73.09,73.54,6961200,0.0,0
2019-07-31,73.24,73.84,72.47,72.57,13104600,0.0,0
2019-08-01,71.97,72.48,70.53,70.72,17132800,0.0,0
2019-08-02,70.86,71.5,69.47,70.02,18802300,0.0,0
2019-08-05,69.08,69.21,67.94,68.59,19080900,0.0,0
2019-08-06,68.6,69.3,68.59,69.25,12282400,0.0,0
2019-08-07,68.18,69.18,67.73,68.8,15231100,0.0,0
2019-08-08,69.15,70.67,68.92,70.64,14304100,0.0,0
2019-08-09,70.4,70.51,68.78,69.14,13686600,0.0,0
2019-08-12,69.23,69.32,68.5,68.8,8668400,0.87,0
2019-08-13,68.44,69.78,68.1,69.65,12403300,0.0,0
2019-08-14,68.25,68.27,66.84,66.84,18114400,0.0,0
2019-08-15,66.66,66.75,65.74,66.45,12874400,0.0,0
2019-08-16,66.97,67.64,66.47,67.49,12649000,0.0,0
2019-08-19,68.15,68.82,68.04,68.62,10032800,0.0,0
2019-08-20,68.47,68.47,67.89,68.21,9743500,0.0,0
2019-08-21,69.13,69.15,68.54,68.89,10134200,0.0,0
2019-08-22,69.08,69.13,68.42,68.74,8972000,0.0,0
2019-08-23,68.0,68.7,66.23,66.69,15371900,0.0,0
2019-08-26,67.31,67.45,66.73,67.04,7343900,0.0,0
2019-08-27,67.32,67.62,66.17,66.39,9490900,0.0,0
2019-08-28,66.73,67.17,66.36,66.87,9647400,0.0,0
2019-08-29,67.49,67.85,67.28,67.61,9004100,0.0,0
2019-08-30,67.79,68.26,67.25,67.66,9180800,0.0,0
2019-09-03,67.08,67.86,66.82,67.74,9849700,0.0,0
2019-09-04,68.67,68.78,68.27,68.46,6959200,0.0,0
2019-09-05,69.01,69.71,68.87,69.43,9901500,0.0,0
2019-09-06,69.51,70.1,69.28,70.08,10418500,0.0,0
2019-09-09,70.31,71.21,70.13,70.64,12840200,0.0,0
2019-09-10,71.28,71.98,70.77,71.21,13810800,0.0,0
2019-09-11,71.91,71.97,70.7,71.07,10525700,0.0,0
2019-09-12,70.13,71.3,69.86,71.12,9100700,0.0,0
2019-09-13,71.4,71.85,71.2,71.77,7337200,0.0,0
2019-09-16,74.15,74.28,72.72,72.85,19830200,0.0,0
2019-09-17,72.94,73.2,71.76,72.3,14452200,0.0,0
2019-09-18,71.78,72.1,71.47,71.95,7292200,0.0,0
2019-09-19,72.1,72.32,71.33,71.47,8050200,0.0,0
2019-09-20,71.63,71.64,71.0,71.22,19736600,0.0,0
2019-09-23,70.67,71.5,70.61,71.27,7495200,0.0,0
2019-09-24,70.95,71.01,69.98,70.29,13307100,0.0,0
2019-09-25,70.13,70.62,69.98,70.5,8035200,0.0,0
2019-09-26,70.37,70.5,69.84,70.12,8420200,0.0,0
2019-09-27,69.86,70.82,69.79,70.63,8224000,0.0,0
2019-09-30,70.39,70.6,69.74,69.77,9768900,0.0,0
2019-10-01,69.99,70.07,68.09,68.13,10279100,0.0,0
2019-10-02,67.46,67.77,66.21,66.35,14503700,0.0,0
2019-10-03,66.2,67.19,65.52,67.17,10788400,0.0,0
2019-10-04,67.3,68.25,67.01,68.15,10534800,0.0,0
2019-10-07,67.88,68.21,67.21,67.21,10993000,0.0,0
2019-10-08,66.74,67.11,65.85,65.91,9748700,0.0,0
2019-10-09,66.5,66.89,66.4,66.64,8580900,0.0,0
2019-10-10,66.63,67.55,66.58,67.44,7100100,0.0,0
2019-10-11,68.16,68.66,68.07,68.16,10101900,0.0,0
2019-10-14,67.78,68.54,67.77,68.36,6234600,0.0,0
2019-10-15,68.24,69.17,68.19,68.59,6645700,0.0,0
2019-10-16,68.39,68.7,67.4,67.42,9765800,0.0,0
2019-10-17,67.66,68.06,67.27,67.33,9757200,0.0,0
2019-10-18,67.06,67.34,66.8,66.8,13472700,0.0,0
2019-10-21,67.01,67.95,67.01,67.92,10199300,0.0,0
2019-10-22,67.96,68.93,67.83,68.27,9536000,0.0,0
2019-10-23,68.14,68.93,67.96,68.92,8641800,0.0,0
2019-10-24,69.13,69.22,68.2,68.27,9003600,0.0,0
2019-10-25,68.08,68.65,68.08,68.42,7607200,0.0,0
2019-10-28,68.63,68.84,67.76,67.82,11209600,0.0,0
2019-10-29,67.66,68.21,67.43,67.62,13894400,0.0,0
2019-10-30,67.56,67.56,66.47,66.91,12840600,0.0,0
2019-10-31,66.66,66.91,66.34,66.76,16169100,0.0,0
2019-11-01,67.58,68.78,67.5,68.77,14108700,0.0,0
2019-11-04,69.24,71.01,69.11,70.82,15858200,0.0,0
2019-11-05,71.18,72.25,70.99,72.22,14930400,0.0,0
2019-11-06,71.86,72.0,70.35,70.64,13996500,0.0,0
2019-11-07,71.17,72.16,71.14,72.14,13073800,0.0,0
2019-11-08,71.61,71.8,70.66,70.77,12106000,0.87,0
2019-11-11,70.21,70.61,69.97,70.34,8674000,0.0,0
2019-11-12,70.27,70.41,68.98,69.37,13918600,0.0,0
2019-11-13,69.02,69.15,68.6,68.8,11773700,0.0,0
2019-11-14,68.86,68.97,68.18,68.5,11279800,0.0,0
2019-11-15,68.71,69.3,68.67,69.19,11252800,0.0,0
2019-11-18,68.7,68.82,68.3,68.52,10095600,0.0,0
2019-11-19,68.4,68.56,67.78,67.82,12605500,0.0,0
2019-11-20,67.67,68.54,67.32,68.03,16930700,0.0,0
2019-11-21,68.02,69.75,67.92,69.67,14080500,0.0,0
2019-11-22,69.71,70.18,69.33,69.37,12143600,0.0,0
