Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,60.29,61.5,60.06,60.37,1182300,0,0
2019-02-06,60.09,60.49,59.14,59.31,1668300,0,0
2019-02-07,59.09,60.26,58.42,58.98,1450400,0,0
2019-02-08,58.21,59.21,56.31,57.55,2577100,0,0
2019-02-11,57.6,58.26,57.17,57.73,1884300,0,0
2019-02-12,58.12,59.51,57.76,58.62,2573200,0,0
2019-02-13,58.82,60.33,58.82,59.67,1370500,0,0
2019-02-14,59.18,60.29,58.52,59.55,3311300,0,0
2019-02-15,49.86,52.29,47.11,51.97,19269800,0,0
2019-02-19,51.27,55.15,51.19,54.64,6046300,0,0
2019-02-20,54.9,55.74,53.99,55.09,3523000,0,0
2019-02-21,55.05,55.88,53.69,54.06,4248100,0,0
2019-02-22,53.87,53.93,50.8,52.17,4206800,0,0
2019-02-25,52.47,52.92,51.04,51.17,2946900,0,0
2019-02-26,50.88,51.09,50.03,50.16,2305400,0,0
2019-02-27,50.06,50.11,48.5,48.88,4737000,0,0
2019-02-28,48.84,50.39,48.82,50.35,3450400,0,0
2019-03-01,50.62,51.4,49.36,49.71,3334300,0,0
2019-03-04,49.95,50.2,48.2,48.54,2244000,0,0
2019-03-05,48.55,48.61,47.48,47.56,3592300,0,0
2019-03-06,47.49,47.98,46.46,47.44,4139800,0,0
2019-03-07,47.27,48.79,46.92,47.59,4062800,0,0
2019-03-08,46.99,47.21,45.73,46.2,2756100,0,0
2019-03-11,47.76,50.2,47.51,49.85,7404500,0,0
2019-03-12,49.68,49.7,47.35,49.02,6253200,0,0
2019-03-13,49.43,50.74,49.33,49.86,4317100,0,0
2019-03-14,50.07,50.94,49.71,50.22,4306700,0,0
2019-03-15,50.38,50.49,49.38,49.65,19354700,0,0
2019-03-18,49.69,51.56,49.67,51.52,3980900,0,0
2019-03-19,51.66,52.4,50.59,50.83,4582800,0,0
2019-03-20,50.3,50.6,49.0,50.2,4821800,0,0
2019-03-21,50.06,51.53,50.01,51.48,1998000,0,0
2019-03-22,51.33,51.4,49.4,49.46,2634200,0,0
2019-03-25,48.82,50.67,48.6,49.72,2582600,0,0
2019-03-26,50.16,51.69,50.14,51.34,2451100,0,0
2019-03-27,51.4,51.91,50.51,51.12,1775900,0,0
2019-03-28,51.04,53.57,51.04,53.28,3155500,0,0
2019-03-29,53.8,54.51,53.1,53.74,2309100,0,0
2019-04-01,54.48,55.93,54.2,55.42,2393700,0,0
2019-04-02,55.69,55.99,54.73,55.31,1661600,0,0
2019-04-03,55.63,56.62,55.55,55.98,1813200,0,0
2019-04-04,56.07,58.72,55.79,58.57,2688400,0,0
2019-04-05,59.2,59.8,58.02,59.53,2302700,0,0
2019-04-08,59.4,59.96,58.46,59.84,1506600,0,0
2019-04-09,59.43,59.91,59.06,59.76,1702900,0,0
2019-04-10,59.98,61.23,59.52,61.2,1763800,0,0
2019-04-11,61.34,61.92,61.06,61.85,1624800,0,0
2019-04-12,62.77,63.68,62.49,63.19,2193200,0,0
2019-04-15,63.16,63.85,62.75,63.07,1804300,0,0
2019-04-16,62.48,62.93,61.09,62.51,1579100,0,0
2019-04-17,63.06,65.07,63.0,64.88,1559700,0,0
2019-04-18,64.55,66.21,64.35,66.03,1540000,0,0
2019-04-22,65.76,67.2,65.0,66.59,1449900,0,0
2019-04-23,67.0,67.18,65.97,67.05,1326900,0,0
