Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,93.04,93.6,92.61,92.89,1888200,0.0,0
2019-02-06,93.0,93.1,92.32,93.04,1743300,0.0,0
2019-02-07,88.03,93.2,87.07,93.06,2653900,0.0,0
2019-02-08,92.46,93.11,91.45,92.94,1961300,0.0,0
2019-02-11,92.88,93.49,91.6,91.73,2468900,0.0,0
2019-02-12,92.53,92.53,91.54,92.51,2086800,0.0,0
2019-02-13,92.9,93.1,91.7,92.21,1724200,0.42,0
2019-02-14,91.81,93.09,90.91,92.72,1527100,0.0,0
2019-02-15,93.61,93.86,92.72,92.99,2862200,0.0,0
2019-02-19,93.12,93.65,92.97,93.38,1999800,0.0,0
2019-02-20,93.53,94.06,93.23,93.58,2322300,0.0,0
2019-02-21,93.39,93.94,93.0,93.74,1364400,0.0,0
2019-02-22,93.86,94.25,93.35,94.24,1932100,0.0,0
2019-02-25,94.55,94.55,92.06,92.38,2204500,0.0,0
2019-02-26,92.25,92.85,91.88,92.24,1660800,0.0,0
2019-02-27,92.04,92.33,91.39,91.99,1342400,0.0,0
2019-02-28,91.94,93.68,91.83,93.36,2359300,0.0,0
2019-03-01,93.86,94.39,93.81,94.22,1589700,0.0,0
2019-03-04,94.65,94.65,93.62,94.0,2291400,0.0,0
2019-03-05,94.16,94.8,93.69,94.78,1692800,0.0,0
2019-03-06,94.93,95.79,94.86,95.44,1937800,0.0,0
2019-03-07,95.29,95.4,94.74,95.38,1901600,0.0,0
2019-03-08,94.75,95.53,94.46,95.51,1791400,0.0,0
2019-03-11,95.68,96.64,95.59,96.62,1466500,0.0,0
2019-03-12,96.86,96.9,96.04,96.8,1873200,0.0,0
2019-03-13,97.14,97.77,96.99,97.45,2010600,0.0,0
2019-03-14,97.12,97.8,96.87,97.79,1319800,0.0,0
2019-03-15,97.9,99.72,97.54,99.69,3947900,0.0,0
2019-03-18,99.69,100.17,98.71,99.04,1615200,0.0,0
2019-03-19,98.34,98.81,97.45,98.05,2175500,0.0,0
2019-03-20,97.06,97.81,96.78,97.39,2928800,0.0,0
2019-03-21,97.14,98.09,97.01,98.0,1014100,0.0,0
2019-03-22,97.97,98.5,97.55,97.78,1033400,0.0,0
2019-03-25,98.03,98.31,97.58,97.78,1289700,0.0,0
2019-03-26,97.93,97.96,97.03,97.56,1361100,0.0,0
2019-03-27,97.38,98.22,97.38,97.79,1524600,0.0,0
2019-03-28,97.83,98.17,97.38,97.95,1587500,0.0,0
2019-03-29,98.5,98.9,97.99,98.61,2356600,0.0,0
2019-04-01,99.22,99.55,98.62,99.37,1195200,0.0,0
2019-04-02,99.49,99.49,98.29,98.98,959600,0.0,0
2019-04-03,99.28,99.48,98.66,99.33,1060200,0.0,0
2019-04-04,99.37,99.56,98.74,99.24,860700,0.0,0
2019-04-05,99.11,99.37,98.65,98.76,1600100,0.0,0
2019-04-08,98.56,98.7,97.81,98.39,1340000,0.0,0
2019-04-09,97.95,98.32,97.8,98.28,993000,0.0,0
2019-04-10,98.69,99.25,98.32,98.84,1187700,0.0,0
2019-04-11,98.61,99.6,98.53,99.56,1169800,0.0,0
2019-04-12,99.79,100.38,99.69,100.18,1193100,0.0,0
2019-04-15,100.16,100.93,100.0,100.42,1234000,0.0,0
2019-04-16,100.77,100.85,99.92,100.41,863500,0.0,0
2019-04-17,100.66,100.89,100.11,100.28,920400,0.0,0
2019-04-18,100.48,102.19,100.39,102.08,1261600,0.0,0
2019-04-22,101.76,102.12,101.5,101.94,833200,0.0,0
2019-04-23,101.87,102.94,101.5,101.68,1474000,0.0,0
2019-04-24,102.02,102.79,101.86,102.1,1304600,0.0,0
2019-04-25,101.85,102.44,101.28,102.21,1059200,0.0,0
2019-04-26,102.63,103.19,102.23,102.84,1368300,0.0,0
2019-04-29,102.9,102.9,101.96,102.55,1473400,0.0,0
2019-04-30,102.64,103.21,102.21,103.14,2181300,0.0,0
2019-05-01,100.28,101.52,99.47,100.72,2178500,0.0,0
2019-05-02,100.35,101.37,100.01,100.52,1827400,0.0,0
2019-05-03,100.85,102.24,100.81,101.49,1719300,0.0,0
2019-05-06,100.34,101.38,100.33,101.18,1031800,0.0,0
2019-05-07,100.45,101.05,99.32,100.25,1668900,0.0,0
2019-05-08,99.95,100.13,99.27,99.28,2097400,0.0,0
