Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,69.3,69.44,68.08,68.6,3379600,0,0
2019-02-06,78.0,78.85,71.01,72.4,9472300,0,0
2019-02-07,71.34,73.43,69.87,73.27,3060400,0,0
2019-02-08,72.7,76.41,72.25,76.38,3164500,0,0
2019-02-11,77.04,78.41,75.84,76.79,2007200,0,0
2019-02-12,77.84,78.74,76.98,78.47,1715400,0,0
2019-02-13,79.0,79.83,77.29,77.49,1488500,0,0
2019-02-14,77.35,79.16,76.14,78.97,2282200,0,0
2019-02-15,79.15,79.31,77.39,78.73,1307500,0,0
2019-02-19,78.32,79.08,77.2,78.07,1644000,0,0
2019-02-20,78.06,79.72,76.96,77.16,2999300,0,0
2019-02-21,76.58,77.22,75.66,77.06,1628500,0,0
2019-02-22,77.4,78.84,77.33,78.84,1211700,0,0
2019-02-25,79.72,80.23,78.91,79.06,2023500,0,0
2019-02-26,78.73,79.63,78.07,79.17,1198500,0,0
2019-02-27,79.22,79.85,78.57,79.32,1143700,0,0
2019-02-28,79.27,80.25,78.61,79.02,2736100,0,0
2019-03-01,80.0,80.63,79.14,80.27,1849100,0,0
2019-03-04,80.73,80.98,74.61,77.01,3708400,0,0
2019-03-05,76.83,77.49,75.52,77.04,1915200,0,0
2019-03-06,76.63,77.38,74.9,75.21,1953300,0,0
2019-03-07,75.01,77.02,74.18,75.92,2146400,0,0
2019-03-08,74.5,77.23,73.84,77.2,1373100,0,0
2019-03-11,77.43,80.4,77.39,79.21,2473400,0,0
2019-03-12,79.59,81.49,78.42,81.4,2268300,0,0
2019-03-13,81.61,82.92,81.22,81.7,3343300,0,0
2019-03-14,81.79,83.83,81.26,82.96,1455400,0,0
2019-03-15,82.73,83.59,82.05,82.6,1955100,0,0
2019-03-18,82.6,83.5,81.3,82.92,1979200,0,0
2019-03-19,83.41,84.56,82.51,83.88,1534500,0,0
2019-03-20,83.54,84.95,82.77,84.02,1545100,0,0
2019-03-21,83.8,86.13,83.79,85.64,1325000,0,0
2019-03-22,84.94,85.0,81.83,82.82,1590300,0,0
2019-03-25,82.11,83.16,81.32,82.72,2026200,0,0
2019-03-26,83.93,84.87,83.2,84.18,1025200,0,0
2019-03-27,84.27,84.5,80.91,82.41,1361400,0,0
2019-03-28,82.77,83.68,81.86,83.32,826300,0,0
2019-03-29,84.13,85.5,83.42,85.0,1002100,0,0
2019-04-01,86.01,86.48,83.66,85.33,1119100,0,0
2019-04-02,85.38,86.49,84.55,86.27,886800,0,0
2019-04-03,86.58,86.85,85.26,85.43,1146100,0,0
2019-04-04,85.48,85.69,80.15,82.1,2008500,0,0
2019-04-05,82.53,82.89,81.12,81.71,1797100,0,0
2019-04-08,81.55,82.28,79.7,81.79,964700,0,0
2019-04-09,81.2,83.06,81.2,82.6,1225100,0,0
2019-04-10,83.09,84.91,82.63,83.34,1597300,0,0
2019-04-11,83.43,84.01,82.64,83.89,1053600,0,0
2019-04-12,84.48,84.51,82.4,83.2,590300,0,0
2019-04-15,83.0,84.12,82.7,83.22,1439200,0,0
2019-04-16,83.66,83.88,81.31,81.97,1544100,0,0
2019-04-17,82.09,82.55,79.26,80.7,1821900,0,0
2019-04-18,80.0,81.21,78.43,80.9,1484300,0,0
2019-04-22,80.87,82.71,80.25,82.58,769200,0,0
2019-04-23,82.92,83.87,82.81,83.48,1211800,0,0
2019-04-24,84.35,84.84,82.67,82.96,2300600,0,0
2019-04-25,84.01,86.09,83.25,84.53,1756000,0,0
2019-04-26,84.69,86.04,84.21,85.77,1035700,0,0
2019-04-29,86.44,87.72,86.0,87.55,2065100,0,0
2019-04-30,87.49,87.92,86.0,87.78,2122600,0,0
2019-05-01,85.25,85.92,83.49,84.77,3913000,0,0
2019-05-02,84.65,84.96,81.61,83.65,2015900,0,0
2019-05-03,84.47,87.09,83.4,86.95,1888200,0,0
2019-05-06,84.64,87.89,83.52,87.81,2122100,0,0
2019-05-07,86.96,87.31,83.93,85.25,1914500,0,0
2019-05-08,85.05,86.57,84.54,86.18,858700,0,0
2019-05-09,85.27,87.74,84.39,87.26,1572300,0,0
2019-05-10,86.75,89.07,85.56,88.58,1178200,0,0
2019-05-13,86.22,86.22,82.24,83.89,1882400,0,0
2019-05-14,84.68,85.95,83.66,85.49,1573700,0,0
2019-05-15,84.24,87.36,84.23,86.67,1601200,0,0
2019-05-16,87.09,90.0,87.03,89.0,1519900,0,0
2019-05-17,88.16,89.6,87.55,87.96,920600,0,0
2019-05-20,86.51,87.89,85.21,87.32,1520900,0,0
2019-05-21,88.29,89.96,87.63,88.18,932000,0,0
2019-05-22,87.65,90.0,87.48,89.01,766100,0,0
2019-05-23,88.21,88.23,85.81,86.66,1343800,0,0
2019-05-24,87.15,88.46,87.01,88.02,741800,0,0
2019-05-28,88.36,90.53,87.94,88.52,1029400,0,0
2019-05-29,87.54,87.85,84.11,84.2,1467300,0,0
2019-05-30,84.61,85.44,83.38,84.73,1505400,0,0
2019-05-31,83.44,85.14,83.16,84.25,1438700,0,0
2019-06-03,84.05,84.41,77.61,78.42,3029600,0,0
2019-06-04,79.7,81.74,78.69,81.63,3411000,0,0
2019-06-05,82.81,84.23,81.58,83.71,1660300,0,0
2019-06-06,83.17,85.25,82.55,84.73,1941100,0,0
2019-06-07,86.44,89.57,86.34,89.37,2151400,0,0
2019-06-10,90.3,93.72,90.28,91.88,2461600,0,0
2019-06-11,91.87,92.5,86.54,87.69,2417600,0,0
2019-06-12,88.23,88.83,87.02,88.05,1288100,0,0
2019-06-13,88.16,88.61,86.85,87.99,1018900,0,0
2019-06-14,87.68,87.77,85.83,86.81,1204600,0,0
2019-06-17,87.0,89.1,86.54,87.25,1173100,0,0
2019-06-18,88.68,89.78,87.66,87.7,1158700,0,0
2019-06-19,88.42,89.95,86.93,89.8,1572300,0,0
2019-06-20,91.42,93.18,91.17,92.66,1853200,0,0
2019-06-21,92.47,92.9,91.42,92.55,1608800,0,0
2019-06-24,91.98,92.67,90.17,91.3,1527300,0,0
2019-06-25,91.35,91.57,87.22,87.81,1492700,0,0
2019-06-26,88.44,89.09,85.85,86.33,1423300,0,0
2019-06-27,86.72,88.55,85.67,88.28,1426300,0,0
2019-06-28,88.28,89.15,86.52,89.03,1298700,0,0
2019-07-01,91.23,91.84,89.66,90.62,1127700,0,0
2019-07-02,90.94,91.65,90.19,90.9,956600,0,0
2019-07-03,90.95,92.55,90.91,91.8,986400,0,0
