Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,33.67,34.67,33.45,34.53,568600,0,0
2019-02-06,34.5,34.78,33.65,34.02,491800,0,0
2019-02-07,33.75,34.15,32.64,34.09,575900,0,0
2019-02-08,33.88,35.42,33.83,35.26,494400,0,0
2019-02-11,35.31,35.72,33.88,34.17,631700,0,0
2019-02-12,34.42,36.14,34.28,35.81,699700,0,0
2019-02-13,35.87,36.26,35.51,35.64,471300,0,0
2019-02-14,35.62,36.5,35.36,35.82,387200,0,0
2019-02-15,36.49,37.19,36.01,36.93,643600,0,0
2019-02-19,36.78,36.95,35.92,36.22,633200,0,0
2019-02-20,36.15,37.33,34.84,34.9,1272200,0,0
2019-02-21,34.71,35.49,33.68,35.06,1736200,0,0
2019-02-22,37.99,43.9,36.94,43.71,4987200,0,0
2019-02-25,43.19,44.73,42.5,43.16,2340200,0,0
2019-02-26,42.63,43.03,40.58,41.71,1144000,0,0
2019-02-27,41.29,42.33,39.88,41.43,1627400,0,0
2019-02-28,41.26,42.25,41.09,41.43,1043200,0,0
2019-03-01,41.66,42.0,39.36,39.94,950000,0,0
2019-03-04,40.0,40.24,38.91,39.42,1296300,0,0
2019-03-05,39.3,39.36,38.31,39.09,633800,0,0
2019-03-06,39.36,39.36,37.39,38.02,616100,0,0
2019-03-07,38.03,38.05,36.82,37.12,1181400,0,0
2019-03-08,36.79,38.18,36.6,37.84,998600,0,0
2019-03-11,38.0,40.13,37.96,39.59,950200,0,0
2019-03-12,39.86,39.97,38.45,39.23,1471200,0,0
2019-03-13,39.39,39.39,38.6,38.93,702300,0,0
2019-03-14,38.87,38.87,37.5,37.61,719500,0,0
2019-03-15,36.2,37.22,36.19,37.03,1482400,0,0
2019-03-18,37.25,37.43,36.76,37.09,1191100,0,0
2019-03-19,37.39,37.51,36.76,36.89,942100,0,0
2019-03-20,36.88,37.32,34.93,35.11,1032600,0,0
2019-03-21,35.01,35.7,34.52,35.61,994100,0,0
2019-03-22,35.48,36.22,35.02,35.1,704200,0,0
2019-03-25,34.97,35.69,34.48,35.29,721200,0,0
2019-03-26,35.5,35.9,34.45,34.85,1002000,0,0
2019-03-27,35.41,36.05,34.56,34.7,1367000,0,0
2019-03-28,34.74,34.87,33.71,33.85,968800,0,0
2019-03-29,34.12,34.56,33.37,34.2,1652400,0,0
2019-04-01,34.51,35.03,34.35,34.72,734000,0,0
2019-04-02,34.9,35.78,34.28,35.58,1057100,0,0
2019-04-03,35.93,37.36,35.69,36.59,1245000,0,0
2019-04-04,36.59,36.9,35.85,36.41,1123100,0,0
2019-04-05,36.53,37.12,36.32,36.65,785400,0,0
2019-04-08,37.85,38.25,36.88,36.94,1216800,0,0
2019-04-09,36.88,37.19,36.3,36.5,879800,0,0
2019-04-10,36.38,36.75,36.12,36.43,535300,0,0
2019-04-11,36.47,36.73,35.7,36.41,787000,0,0
2019-04-12,36.79,36.97,36.39,36.74,435100,0,0
2019-04-15,36.52,37.12,36.52,36.76,504900,0,0
2019-04-16,36.97,37.69,36.86,37.48,437600,0,0
2019-04-17,37.61,37.64,36.11,36.34,642500,0,0
2019-04-18,36.39,36.65,35.29,35.61,604400,0,0
2019-04-22,35.45,35.57,34.33,34.36,715600,0,0
2019-04-23,34.5,35.8,34.38,35.11,955000,0,0
2019-04-24,34.97,35.36,33.63,34.16,1471700,0,0
2019-04-25,34.17,34.26,33.35,33.79,636500,0,0
2019-04-26,33.9,34.03,33.4,33.94,375100,0,0
2019-04-29,33.96,34.32,33.57,33.69,517000,0,0
2019-04-30,33.63,33.74,32.56,33.21,879800,0,0
2019-05-01,33.37,33.4,32.28,32.3,546500,0,0
2019-05-02,32.24,32.55,31.47,32.06,880700,0,0
2019-05-03,32.13,33.52,32.01,33.44,1062500,0,0
2019-05-06,32.76,34.73,32.31,33.98,1025200,0,0
2019-05-07,33.56,33.93,32.77,33.22,707100,0,0
2019-05-08,33.32,34.58,33.0,34.24,705100,0,0
2019-05-09,33.91,34.37,33.11,33.57,2490100,0,0
2019-05-10,38.29,39.18,34.28,35.41,5822000,0,0
2019-05-13,34.6,36.27,34.03,35.46,1841000,0,0
2019-05-14,35.48,37.31,35.37,36.54,1527000,0,0
2019-05-15,37.01,38.68,36.82,38.28,1758500,0,0
2019-05-16,38.23,39.49,37.91,38.83,1431900,0,0
2019-05-17,38.42,40.35,38.29,39.78,1019300,0,0
2019-05-20,39.36,40.93,39.07,40.14,1265200,0,0
2019-05-21,40.41,41.59,40.35,41.28,959600,0,0
2019-05-22,41.26,42.21,41.15,41.89,868600,0,0
2019-05-23,41.49,41.63,40.21,41.1,804800,0,0
2019-05-24,41.49,41.92,41.08,41.36,661800,0,0
2019-05-28,41.59,41.99,41.13,41.18,527600,0,0
2019-05-29,41.86,42.61,41.26,41.95,918000,0,0
2019-05-30,41.99,43.49,41.99,43.08,1067800,0,0
2019-05-31,42.53,43.02,42.18,42.33,790200,0,0
